response,ground_truth
No,No
No,No
No,No
No,No
No,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
"Cameron Parish, Louisiana to Grand Isle, Louisiana",Hurricane and Tropical Storm Watches extend from the Mouth of the Mississippi River to Cameron LA and eastward to the MS/AL border
None,"Hurricane Watch: Mouth of the Mississippi River to Grand Isle, LA and Intracoastal City to Cameron, LA.  Tropical Storm Watch: east of the Mouth of the Pearl River to the MS/AL border."
None,Hurricane Watch and Tropical Storm Watch extend from the mouth of the Mississippi River eastward to the MS/AL border and westward to Cameron LA (no Texas coast included)
None,Tropical Storm Watch – east of the Mouth of the Pearl River to the MS/AL border; Lake Pontchartrain & Lake Maurepas including metro New Orleans
None,"Storm Surge Watch: Pearl River‒Intracoastal City, LA; Hurricane Watch: Mouth of Mississippi River‒Cameron, LA; Tropical-Storm Watch: Mouth of Mississippi River‒Pearl River"
None,"Tropical-storm and storm-surge watches from the Mouth of the Mississippi River to Morgan City, LA"
None,Hurricane Warning from Intracoastal City to Grand Isle LA; Tropical Storm Warning from Mouth of the Pearl River to Grand Isle and Intracoastal City to Cameron LA
Galveston to Grand Isle,"Hurricane Warning: Intracoastal City to Grand Isle, LA.  Tropical Storm Warning: Mouth of the Pearl River to Grand Isle, LA; Lake Pontchartrain and Lake Maurepas; Intracoastal City to Cameron, LA.  Storm-Surge Warning: Intracoastal City, LA to Biloxi, MS including Lake Pontchartrain."
"Cameron, Louisiana to Grand Isle, Louisiana",Hurricane and Tropical-Storm Warnings from Intracoastal City LA to Grand Isle LA and Pearl River mouth (no Texas coast included)
"Morgan City, LA to Grand Isle, LA",Tropical Storm Warning – Mouth of the Pearl River to Morgan City LA; Storm Surge Warning – Mouth of the Atchafalaya River to Shell Beach LA
None,None issued yet (all are watches at this time)
None,None at this time
"28.7N, 90.9W","28.6N, 91.0W"
"28.1N, 90.2W","28.2N, 90.4W"
"27.8N, 89.3W","27.9N, 89.4W"
"27.5N, 88.2W","27.8N, 88.7W"
"28.1N, 87.4W","27.7N, 88.0W"
"28.5N, 86.4W","28.5N, 86.4W"
WNW,WNW
WNW,WNW
W,W
W,W
WSW,WSW
WSW,WSW
6,3 mph
5,5 mph
5,3 mph
5,5 mph
8,9 mph
30,8 mph
"Louisiana, Mississippi, Alabama, Florida",North-central Gulf Coast from the Louisiana coast eastward to coastal Mississippi and Alabama
Louisiana,North-central Gulf Coast from the upper Texas coast eastward to coastal Mississippi/Alabama with greatest impacts over south-central Louisiana.
"Louisiana, Mississippi, Alabama, Florida","Central and southeastern Louisiana coast, Mississippi coast, and adjacent north-central Gulf waters"
"Louisiana, Mississippi, Alabama, Florida","North-central Gulf Coast, especially Louisiana and southern Mississippi"
