response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,B.
B,B.
A,A.
A,A.
A,A.
B,B.
B,A.
B,A.
B,A.
B,A.
A,A.
"Jupiter, Florida to Charleston, South Carolina","Altamaha Sound GA to South Santee River SC (Storm Surge Watch covers this reach, including Savannah)"
"Florida coast to Cape Fear, North Carolina",Altamaha Sound GA to South Santee River SC
None,Altamaha Sound GA to Savannah River GA
None,"Tropical Storm Watch from Hallandale Beach to north of Ocean Reef, FL"
Florida coast to South Carolina coast,"Storm Surge Watch from Altamaha Sound, GA southward to Hallandale Beach, FL; Tropical Storm Watch Altamaha Sound southward to Volusia/Brevard County line, FL"
Cape Canaveral to Jupiter Inlet,Tropical-storm watch currently limited to the northwestern Bahamas
Florida coast,Flagler/Volusia County Line FL to South Santee River SC (Tropical Storm Warning)
Florida coast to Outer Banks,North Palm Beach FL to Altamaha Sound GA (storm-surge and tropical-storm warnings south of the port)
FL to GA,Flagler/Volusia County Line FL to Altamaha Sound GA (Tropical-Storm Warning south of the port)
Florida coast to South Carolina coast,Tropical Storm Warning Hallandale Beach FL to Altamaha Sound GA; Storm Surge Warning North Palm Beach FL to Altamaha Sound GA including mouth of St. Johns River
None,None at this time
None,None issued yet; expected later for portions of Florida and possibly the Georgia/South Carolina coast
"26.5N, 76.7W","26.5N, 76.7W"
"27.1N, 74.8W","27.1N, 74.8W"
"27.8N, 72.7W","27.8N, 72.7W"
"27.0N, 71.1W","27.0N, 71.1W"
"26.3N, 69.6W","26.3N, 69.6W"
"25.5N, 68.5W","25.5N, 68.5W"
W,W
WSW,WSW
W,W
NW,NW
NW,NW
NNW,NNW
70,12 mph
70,10 mph
50,9 mph
45,8 mph
45,9 mph
14,14 mph
Florida,Southeastern U.S. coast from east-central Florida northward through Georgia and the Carolinas
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Entire Georgia and South Carolina coastline likely to experience tropical-storm conditions, storm surge, heavy surf and rain"
Florida,Florida east coast north of Palm Beach through Georgia and South Carolina coasts
Florida,Entire southeast U.S. coastline from Florida through Georgia and the Carolinas inside the forecast cone
Florida,Entire southeast U.S. coastline from central Florida through the Georgia and South Carolina coasts
"Florida East Coast
Georgia Coast
South Carolina Coast
North Carolina Coast","Northwestern Bahamas, Florida east coast, and the southeast U.S. coast from Florida through Georgia and the Carolinas"
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
16,16%
16,16%
31,31%
23,23%
21,21%
21,21%
16,0%
16,<3%
31,3%
23,0%
21,3%
5,5%
12,72
48,48
48,96
18,96
72,120
72,120
N/A,
25,
28,96
168,
48,120
N/A,120
16,16%
16,16%
31,31%
23,14%
15,21%
21,15%
C,A.
B,C.
B,B.
D,B.
D,D.
B,B.
Boca Raton Florida to Flagler/Volusia County Line Florida,Southeastern U.S. coast from east-central Florida northward through Georgia and the Carolinas
Boca Raton to Flagler/Volusia County Line Florida,"Entire Georgia and South Carolina coastline likely to experience tropical-storm conditions, storm surge, heavy surf and rain"
Boca Raton to Flagler/Volusia County Line,Florida east coast north of Palm Beach through Georgia and South Carolina coasts
Hallandale Beach to Altamaha Sound,Entire southeast U.S. coastline from Florida through Georgia and the Carolinas inside the forecast cone
Northwest Bahamas to east coast of Florida,Entire southeast U.S. coastline from central Florida through the Georgia and South Carolina coasts
northwestern Bahamas,"Northwestern Bahamas, Florida east coast, and the southeast U.S. coast from Florida through Georgia and the Carolinas"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
D,C.
D,D.
B,C.
C,A.
B,B.
Florida Atlantic Coast,Southeastern U.S. coast from east-central Florida northward through Georgia and the Carolinas
Florida,"Entire Georgia and South Carolina coastline likely to experience tropical-storm conditions, storm surge, heavy surf and rain"
Florida,Florida east coast north of Palm Beach through Georgia and South Carolina coasts
Florida,Entire southeast U.S. coastline from Florida through Georgia and the Carolinas inside the forecast cone
Florida,Entire southeast U.S. coastline from central Florida through the Georgia and South Carolina coasts
Florida,"Northwestern Bahamas, Florida east coast, and the southeast U.S. coast from Florida through Georgia and the Carolinas"
21,12
24,26
48,33
52,48
21,72
70,66
None,36
72,48
51,72
58,96
71,96
44,12
D,B.
D,D.
D,D.
D,D.
D,D.
D,D.
C,C.
B,C.
C,B.
C,B.
B,C.
C,B.
C,D.
C,C.
C,D.
D,D.
D,D.
D,D.
No,No
No,No
Yes,Yes
Yes,No
Yes,Yes
No,No
C,B.
C,B.
C,C.
C,C.
C,D.
D,D.
24,12
36,26
40,33
40,48
72,72
120,66
A,A.
A,A.
A,A.
A,B.
A,B.
D,B.
C,C.
C,C.
C,C.
C,B.
C,D.
C,A.
C,A.
C,B.
C,B.
C,C.
C,D.
D,D.
Tornadoes,Isolated tornadoes and dangerous surf/rip currents
Isolated tornadoes will be possible.,Isolated tornadoes late Wednesday night through Friday; dangerous surf and rip currents
"No additional hazards besides rainfall, wind, and storm surge are mentioned for the Port of Savannah, GA.","Dangerous surf, rip currents, and minor coastal erosion are likely ahead of and during the storm passage."
Rip currents,Large swells and dangerous rip currents along the Georgia coast could disrupt vessel movements and pilot boarding operations.
"No additional hazards are mentioned for Port of Savannah, GA.","Coastal flooding at high tide, dangerous surf and rip currents, possible short-lived tornadoes in outer rain-bands during Friday"
Tides,"High surf, dangerous rip currents, and coastal erosion along Georgia beaches; possible river/flash flooding inland."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 89,
    ""in 24h"": 10,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '8%', 'in 48h': '15%', 'in 72h': '16%', 'in 96h': '16%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '9%', 'in 72h': '16%', 'in 96h': '16%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 10,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '9%', 'in 72h': '28%', 'in 96h': '31%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 4
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '8%', 'in 96h': '14%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 10,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '3%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 2,
    ""in 96h"": 4
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '1%', 'in 96h': '5%'}"
10-11-2022,None
10-11-2022,None
09-11-2022,None
11-11-2022,None
10-11-2022,None
09-11-2022,None
10-11-2022,None
10-11-2022,None
10-11-2022,None
10-11-2022,None
11-11-2022,None
10-11-2022,None
11-11-2022,None
11-11-2022,None
13-11-2022,None
12-11-2022,None
12-11-2022,None
12-11-2022,None
3,0
4,0
3,0
5,0
5,0
4,0
1,None
0,None
3,None
5,None
2,None
3,None
7,None
16,None
12,None
8,None
15,None
15,None
C,A.
C,A.
C,A.
D,A.
D,A.
C,A.
