response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
C,C.
C,C.
A,A.
A,A.
A,C.
A,C.
A,C.
C,A.
A,A.
A,A.
A,A.
Florida's west coast to Georgia coast,
Florida Big Bend coast to Suwannee River,Englewood to the Middle of Longboat Key
None,Hurricane Watch from Englewood to the Middle of Longboat Key
None,"Englewood to Indian Pass, FL including Tampa Bay"
None,"Hurricane Watch from Englewood to Indian Pass, FL (includes Tampa Bay); Storm Surge Watch from Chokoloskee to Indian Pass, FL (includes Tampa Bay)"
Florida East Coast to South Carolina Coast,"N/A – no U.S. watches yet, only Yucatan & Cuba"
None,None at this time (only Yucatan and W Cuba listed)
Florida coast from Tarpon Springs to St. Marks,"Hurricane Warning: Middle of Longboat Key northward to Indian Pass, including Tampa Bay; Storm Surge Warning: Englewood northward to Indian Pass, including Tampa Bay"
Florida coast from Naples to Tampa to Steinhatchee to Keaton Beach to Destin,"Middle of Longboat Key northward to Indian Pass, including Tampa Bay"
South Carolina to Florida,"Hurricane & Storm-Surge Warning from the Middle of Longboat Key northward to Indian Pass, including Tampa Bay"
Tampa to west coast of Florida,None for Tampa Bay at this time
None,None at this time for Florida coast
None,"N/A – no U.S. warnings yet, only Yucatan & Cuba"
None,None at this time (only Yucatan Peninsula listed)
"26.1N, 84.8W","26.1N, 84.8W"
"23.1N, 85.0W","23.1N, 85.0W"
"21.4N, 85.1W","21.4N, 85.1W"
"20.1N, 85.2W","20.1N, 85.2W"
"20.1N, 85.5W","20.1N, 85.5W"
"20.1N, 86.8W","20.1N, 86.8W"
"21.1N, 86.1W","21.1N, 86.2W"
N,N
N,N
N,N
N,N
NE,NE
S,S
Stationary,Stationary
16,16 mph
14,14 mph
70,8 mph
65,7 mph
40,3 mph
5,5 mph
Stationary,0 mph
Florida,West-central Florida coast including Tampa Bay and Big Bend
"Florida, Georgia, South Carolina, North Carolina",Florida west coast from Naples through Tampa Bay to the Big Bend region
"Florida Gulf Coast, Florida Big Bend, Georgia Coast, South Carolina Coast",Florida west coast from Englewood northward through Tampa Bay to Indian Pass (Big Bend)
Florida,"Florida west coast from Chokoloskee northward to Indian Pass, including Tampa Bay"
"Florida, Georgia, South Carolina, North Carolina",Entire northeast Gulf coast of Florida from southwest of Tampa northward to the Big Bend and eastern Panhandle
"Florida, Georgia, South Carolina, North Carolina, Virginia, Bermuda",Florida Gulf Coast from Naples northward through Tampa Bay to the Florida Panhandle
Florida,"Eastern Gulf Coast from Tampa Bay northward to Apalachee Bay and the Florida Big Bend, then inland across southeast U.S."
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
87,87%
91,91%
88,88%
85,85%
71,71%
48,43%
34,34%
3,3%
32,32%
42,42%
85,50%
32,32%
15,15%
8,8%
12,0
0,36
72,48
73,48
71,72
48,72
34,96
0,0
N/A,36
72,48
72,48
71,72
48,96
N/A,96
87,87%
91,91%
88,88%
85,65%
71,71%
48,43%
34,34%
C,C.
C,C.
D,D.
D,D.
D,D.
C,C.
B,B.
"Aucilla River, FL to Yankeetown, FL",West-central Florida coast including Tampa Bay and Big Bend
the Gulf coast of Florida,Florida west coast from Naples through Tampa Bay to the Big Bend region
Cuban province of Pinar del Rio,Florida west coast from Englewood northward through Tampa Bay to Indian Pass (Big Bend)
"Englewood, FL to Indian Pass, FL","Florida west coast from Chokoloskee northward to Indian Pass, including Tampa Bay"
Englewood to Indian Pass Florida,Entire northeast Gulf coast of Florida from southwest of Tampa northward to the Big Bend and eastern Panhandle
"Tulum to Rio Lagartos, including Cozumel",Florida Gulf Coast from Naples northward through Tampa Bay to the Florida Panhandle
Tulum to Rio Lagartos,"Eastern Gulf Coast from Tampa Bay northward to Apalachee Bay and the Florida Big Bend, then inland across southeast U.S."
D,D.
C,C.
B,B.
B,B.
B,B.
A,A.
A,A.
C,C.
C,C.
B,B.
D,D.
A,A.
D,D.
B,B.
Florida Gulf Coast,West-central Florida coast including Tampa Bay and Big Bend
Florida Big Bend,Florida west coast from Naples through Tampa Bay to the Big Bend region
Florida,Florida west coast from Englewood northward through Tampa Bay to Indian Pass (Big Bend)
Florida,"Florida west coast from Chokoloskee northward to Indian Pass, including Tampa Bay"
Florida,Entire northeast Gulf coast of Florida from southwest of Tampa northward to the Big Bend and eastern Panhandle
Florida,Florida Gulf Coast from Naples northward through Tampa Bay to the Florida Panhandle
Florida,"Eastern Gulf Coast from Tampa Bay northward to Apalachee Bay and the Florida Big Bend, then inland across southeast U.S."
23,15
18,30
20,44
28,48
48,72
60,72
72,84
24,24
46,24
None,36
28,72
19,96
73,96
69,72
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
A,C.
A,C.
C,C.
C,C.
C,C.
C,B.
C,C.
A,A.
C,C.
C,C.
C,C.
C,D.
D,D.
D,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
C,B.
C,B.
C,C.
C,C.
C,C.
D,D.
7,15
19,30
24,44
24,48
24,72
72,72
108,84
A,A.
A,A.
A,A.
A,A.
A,A.
D,A.
D,A.
C,C.
C,C.
C,C.
C,C.
C,C.
A,C.
A,D.
C,C.
C,C.
C,C.
D,C.
C,C.
D,C.
Tornadoes are possible.,Dangerous surf/rip currents and a few tornadoes possible along the west-central Florida coast.
Tornadoes are possible.,Isolated tornadoes possible late Tuesday and Wednesday; dangerous surf and rip currents.
Tornadoes are possible.,A few tornadoes Tuesday into Wednesday; dangerous surf and rip currents ahead of the storm.
Surf,"Dangerous marine conditions, large waves in the bay, life-threatening rip currents, and the risk of a few tornadoes in outer rain-bands."
"There are no additional hazards associated with the possible future storm at Tampa Port Authority, FL, excluding rainfall, wind, and storm surge.","Tornadoes in outer rainbands, very rough seas in the approaches to the port, large breaking waves along the bay entrance channels."
"No additional hazards are mentioned for Tampa Port Authority, FL.",Isolated tornadoes in outer rainbands Tuesday night–Wednesday; dangerous marine conditions with very rough seas beginning late Tuesday
"No additional hazards are mentioned for Tampa Port Authority, FL.",Outer rainbands may produce brief tornadoes and squalls that could interrupt cargo and crane operations.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 77,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '77%', 'in 24h': '87%', 'in 48h': '87%', 'in 72h': '87%', 'in 96h': '87%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 16,
    ""in 96h"": 21
  }
}
```","{'in 12h': '2%', 'in 24h': '79%', 'in 48h': '91%', 'in 72h': '91%', 'in 96h': '91%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""2"",
    ""in 72h"": ""17"",
    ""in 96h"": ""11""
  }
}
```","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '88%', 'in 72h': '88%', 'in 96h': '88%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '65%', 'in 72h': '12%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 10,
    ""in 96h"": 10
  }
}
```","{'in 12h': '≈0%', 'in 24h': '≈0%', 'in 48h': '≈22%', 'in 72h': '≈47%', 'in 96h': '≈0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 39,
    ""in 24h"": 20,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '43%', 'in 96h': '48%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '17%', 'in 96h': '17%'}"
29-08-2023,None
29-08-2023,None
29-08-2023,None
29-08-2023,None
29-08-2023,None
28-08-2023,None
28-08-2023,None
30-08-2023,None
29-08-2023,None
29-08-2023,None
29-08-2023,None
30-08-2023,None
01-09-2023,None
28-08-2023,None
01-09-2023,None
01-09-2023,None
02-09-2023,None
01-09-2023,None
01-09-2023,None
01-09-2023,None
31-08-2023,None
3,0
4,0
3,0
4,0
3,0
3,0
5,0
2,None
3,None
2,None
3,None
1,None
2,None
0,None
77,None
77,None
72,None
65,None
71,None
42,None
20,None
B,A.
D,A.
C,A.
C,A.
C,A.
D,A.
D,A.
D,E.
C,D.
D,B.
E,E.
C,D.
D,E.
B,D.
C,E.
