response,ground_truth
No,No
Yes,No
Yes,No
No,No
No,No
Yes,No
No,No
No,No
No,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Barbuda and Antigua
None,Tropical Storm Watch for Antigua and Barbuda
None,Tropical Storm Watch for Antigua and Barbuda
None,No coastal watches issued as of Advisory 32
None,None
None,None
None,None
None,None issued
None,None in effect
None,
None,Barbuda and Antigua
None,None in effect
None,None
None,No coastal warnings issued as of Advisory 32
None,None
None,None
None,None
None,None issued
None,None in effect
None,
"17.6N, 61.5W","17.6N, 61.5W"
"17.1N, 60.0W","17.1N, 60.0W"
"16.4N, 59.0W","16.4N, 59.0W"
"16.4N, 58.2W","16.4N, 58.2W"
"16.3N, 56.5W","16.3N, 56.5W"
"17.1N, 55.9W","17.1N, 55.9W"
"18.0N, 55.9W","18.0N, 55.9W"
"18.5N, 55.2W","18.5N, 55.2W"
"18.9N, 55.1W","18.9N, 55.1W"
"18.8N, 54.6W","18.8N, 54.6W"
NW,NW
NW,NW
WNW,WNW
W,W
SW,SW
SSW,SSW
WSW,WSW
SW,SW
WNW,WNW
WNW,WNW
50,7 mph
7,7 mph
7,7 mph
50,7 mph
5,5 mph
5,5 mph
5,5 mph
2,2 mph
2,2 mph
5,5 mph
Bermuda,"Northern Leeward Islands, U.S. Virgin Islands and Puerto Rico Atlantic coasts (swells and rain bands)"
Bahamas,"Northern Leeward Islands (especially Antigua, Barbuda) with swell reaching the Virgin Islands and Puerto Rico coasts"
"Dominican Republic
Puerto Rico
United States Virgin Islands","Northern Leeward Islands, with swells affecting the Virgin Islands and Puerto Rico"
Bermuda,"Atlantic coasts of the northern Leeward Islands, Virgin Islands, and Puerto Rico will experience increased swell and rip-current risk"
Bermuda,"Atlantic coasts of the northern Leeward Islands, the U.S. and British Virgin Islands, and Puerto Rico subject to large swells and rip currents"
Bahamas,"Atlantic coasts of the northern Leeward Islands, the Virgin Islands, and Puerto Rico will experience hazardous surf and rip currents"
"Bahamas
Turks and Caicos Islands
Turks and Caicos Islands","Atlantic coasts of the northern Leeward Islands, U.S. and British Virgin Islands, and Puerto Rico will experience hazardous surf and rip currents"
Bermuda,"Atlantic coasts of the northern Leeward Islands, the Virgin Islands, and Puerto Rico will be affected by swells and possible heavy rain"
Bahamas,Northern Leeward Islands and adjacent Atlantic waters
"Bahamas, Bermuda","Northern Leeward Islands, U.S. & British Virgin Islands, and Puerto Rico"
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT MAARTEN,SAINT MAARTEN
SAINT MAARTEN,SAINT MAARTEN
SAINT MAARTEN,ST KITTS-NEVIS
SAINT MAARTEN,SAINT MAARTEN
SAINT MAARTEN,SAINT MAARTEN
SAINT MAARTEN,SAINT MAARTEN
3,3%
3,3%
5,5%
5,5%
0,8%
0,7%
0,3%
X,3%
0,4%
"The provided text does not contain information for Virgin Islands - St. Croix, VI. Therefore, I cannot answer your question.",3%
0,0%
3,0%
5,0%
4,0%
X,0%
0,<3%
0,<1%
0,<1%
0,0%
0,0%
N/A,24
72,72
72,72
24,120
N/A,72
N/A,96
N/A,72
N/A,120
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,0
N/A,N/A
N/A,
N/A,
N/A,N/A
N/A,
N/A,
N/A,N/A
2,3%
1,3%
2,5%
5,5%
N/A,4%
N/A,7%
N/A,3%
N/A,3%
N/A,4%
N/A,3%
D,D.
C,C.
B,B.
A,A.
B,B.
A,A.
A,A.
A,A.
A,A.
A,A.
Barbuda to Antigua,"Northern Leeward Islands, U.S. Virgin Islands and Puerto Rico Atlantic coasts (swells and rain bands)"
Antigua and Barbuda,"Northern Leeward Islands (especially Antigua, Barbuda) with swell reaching the Virgin Islands and Puerto Rico coasts"
"Antigua, Barbuda","Northern Leeward Islands, with swells affecting the Virgin Islands and Puerto Rico"
No landfall expected.,"Atlantic coasts of the northern Leeward Islands, Virgin Islands, and Puerto Rico will experience increased swell and rip-current risk"
No coastal watches or warnings in effect,"Atlantic coasts of the northern Leeward Islands, the U.S. and British Virgin Islands, and Puerto Rico subject to large swells and rip currents"
northern Leeward Islands,"Atlantic coasts of the northern Leeward Islands, the Virgin Islands, and Puerto Rico will experience hazardous surf and rip currents"
north of 18.0N 55.9W,"Atlantic coasts of the northern Leeward Islands, U.S. and British Virgin Islands, and Puerto Rico will experience hazardous surf and rip currents"
no landfall,"Atlantic coasts of the northern Leeward Islands, the Virgin Islands, and Puerto Rico will be affected by swells and possible heavy rain"
No landfall expected,Northern Leeward Islands and adjacent Atlantic waters
Northern Leeward Islands to Virgin Islands,"Northern Leeward Islands, U.S. & British Virgin Islands, and Puerto Rico"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
B,B.
C,C.
D,D.
C,C.
C,C.
D,C.
C,C.
Bermuda,"Northern Leeward Islands, U.S. Virgin Islands and Puerto Rico Atlantic coasts (swells and rain bands)"
Bermuda,"Northern Leeward Islands (especially Antigua, Barbuda) with swell reaching the Virgin Islands and Puerto Rico coasts"
Bermuda,"Northern Leeward Islands, with swells affecting the Virgin Islands and Puerto Rico"
Bermuda,"Atlantic coasts of the northern Leeward Islands, Virgin Islands, and Puerto Rico will experience increased swell and rip-current risk"
