response,ground_truth
No,No
No,No
No,No
No,No
No,No
Yes,No
Yes,No
Yes,No
Yes,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
"Florida coast, Georgia coast",Hurricane Watch from north of Surf City NC to Cape Lookout NC
Florida coast to South Carolina coast,North of Surf City NC to Cape Lookout NC (Hurricane Watch)
Florida coast to South Carolina coast,"Tropical Storm Watch from Englewood to Anclote River, FL"
Florida coast,"Hurricane Watch north of Edisto Beach, SC to South Santee River, SC; Tropical Storm Watch north of Chokoloskee to Anclote River, FL"
FL to SC,North of Fernandina Beach FL to Edisto Beach SC (hurricane watch); Chokoloskee to Suwannee River FL (tropical-storm watch)
Florida coast to Georgia coast,N/A – no watches posted for Puerto Rico
"Jupiter, FL to Charleston, SC",Hurricane Watch north of Sebastian Inlet to the Flagler/Volusia county line (Florida Atlantic coast)
Jamaica to Dominican Rep.,"Hurricane Watch from Deerfield Beach, FL to the Volusia/Brevard county line; Tropical Storm Watch Seven Mile Bridge to south of Deerfield Beach FL, including Lake Okeechobee; Hurricane Watch Camaguey Province, Cuba"
Bahamas to Florida,Tropical Storm Watch for Dominican Republic from Puerto Plata westward to the Haiti border
Florida coast from Deerfield Beach to the Volusia/Brevard County Line,Tropical Storm Watch for Dominican Republic from Puerto Plata westward to the Haiti border
Cape Canaveral to Fernandina Beach,Hurricane Warning from north of Fernandina Beach FL to Surf City NC; Tropical-storm warnings extend north of Surf City to Duck NC
FL to SC,Cocoa Beach FL to Surf City NC (Hurricane Warning); Sebastian Inlet FL to Cocoa Beach FL and north of Surf City NC to Duck NC including the Pamlico and Albemarle Sounds (Tropical Storm Warning)
Cape Canaveral to South Santee River,"Hurricane Warning Boca Raton, FL to South Santee River, SC and north-western Bahamas; Tropical Storm Warning Ocean Reef to south of Boca Raton, FL and portions of FL Big Bend and NC coast"
Cape Canaveral to Jupiter Inlet,"Hurricane Warning north of Golden Beach, FL to Edisto Beach, SC including Lake Okeechobee and the central & north-western Bahamas; Tropical Storm Warning Chokoloskee to Golden Beach, FL including Florida Keys, Florida Bay, and Anclote River to Suwannee River, FL"
FL to SC,"Deerfield Beach FL northward to Fernandina Beach FL (hurricane warning); Chokoloskee to Golden Beach FL, Keys east of Seven-Mile Bridge, and Florida Bay (tropical-storm warning)"
South Florida to the Georgia border,N/A – no warnings posted for Puerto Rico
Florida coast from Jupiter Inlet to Fernandina Beach,"Hurricane Warning from Golden Beach FL northward to Sebastian Inlet FL, Lake Okeechobee, Haiti, eastern Cuba, and all of the Bahamas; Tropical Storm Warning Turks & Caicos and parts of south-central Florida"
