response,ground_truth
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,C.
C,A.
C,A.
C,A.
C,A.
C,C.
C,C.
C,C.
C,C.
C,C.
C,A.
C,A.
C,A.
Florida coast to Georgia coast,Hurricane Watch north of Surf City NC to Cape Lookout NC
FL to GA,N/A – all watches south of Sebastian Inlet have been discontinued
None,Englewood to Anclote River (Gulf Coast of FL)
Florida coast to South Carolina coast,"North of Edisto Beach to South Santee River, South Carolina"
FL to SC,"North of Fernandina Beach, FL to Edisto Beach, SC"
Florida to Georgia,Hurricane Watch north of the Flagler/Volusia county line to Fernandina Beach
Florida coast,None (watch upgraded to warning for this section of coast)
None,"Deerfield Beach to the Volusia/Brevard county line, FL"
Florida coast to Georgia coast,None issued yet – interests in the Florida Peninsula advised to monitor
Jamaica to Dominican Republic,Interests in the Florida Peninsula and Keys should monitor the progress of Matthew
Florida coast to South Carolina coast,Hurricane Warning north of Fernandina Beach FL to Surf City NC; Tropical Storm Warning north of Surf City NC to Duck NC and north of Flagler/Volusia county line FL to Fernandina Beach FL
Florida to South Carolina,N/A – all warnings south of Sebastian Inlet have been discontinued
Fernandina Beach to Jupiter Inlet,"Boca Raton, FL to South Santee River, SC including Lake Okeechobee"
Florida to South Carolina,"North of Golden Beach, FL to Edisto Beach, SC (including Lake Okeechobee)"
FL to SC,"North of Golden Beach, FL to Fernandina Beach, FL including Lake Okeechobee"
None to None,"Hurricane Warning from North of Golden Beach to the Flagler/Volusia county line, including Lake Okeechobee"
Florida to North Carolina,"North of Golden Beach to Sebastian Inlet, including Lake Okeechobee (covers Palm Beach County)"
"Bahamas to Jupiter, Florida",None for Florida at this advisory
Cape Canaveral to Fernandina Beach,"None issued yet – warnings confined to Haiti, Cuba and the Bahamas"
Cuba to Florida,"Hurricane warnings now in effect for Jamaica, Haiti, eastern Cuba, and the southeastern Bahamas (no U.S. warnings yet)"
"30.7N, 80.6W","31.2N, 80.5W"
"28.9N, 80.3W","29.4N, 80.5W"
"26.6N, 78.9W","27.1N, 79.2W"
"24.6N, 77.5W","25.1N, 77.8W"
"23.0N, 76.0W","23.4N, 76.4W"
"21.5N, 74.9W","21.8N, 75.2W"
"20.1N, 74.3W","20.4N, 74.4W"
"18.4N, 74.2W","18.9N, 74.3W"
"16.3N, 74.7W","16.9N, 74.6W"
"15.4N, 74.9W","15.6N, 75.0W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
NNW,NW
N,N
N,N
N,N
N,N
12,12 mph
13,12 mph
13,13 mph
12,14 mph
12,10 mph
10,12 mph
140,8 mph
9,10 mph
7,7 mph
130,6 mph
Florida,"Northeast Florida through Georgia, South Carolina and southern North Carolina coasts"
"Florida, Georgia, South Carolina, North Carolina",Florida east coast from Sebastian Inlet northward through Georgia and the Carolinas
Florida,"Entire southeast Florida coast from Boca Raton northward, extending up the Georgia and South Carolina coasts"
Florida,"Entire Florida east coast from Miami-Dade northward, continuing into Georgia and South Carolina coasts"
"FL
Bahamas
Cuba","Florida east coast from Deerfield Beach through Fernandina Beach, with surge and hurricane-force winds spreading northward"
"Bahamas
Cuba
Dominican Rep.
Puerto Rico
Jamaica
Florida
Georgia
South Carolina
North Carolina
Virginia",Entire southeast and east-central Florida coastline from Miami-Dade through Palm Beach and up to Volusia County
"Florida, Georgia, South Carolina, North Carolina","Entire Florida east coast from North Palm Beach northward to at least the Flagler/Volusia county line, plus adjoining Bahamas"
"Florida
South Carolina
North Carolina
Georgia
Bahamas
Cuba
Jamaica
Haiti
Dominican Republic
Puerto Rico","Entire southeast and east-central Florida coastline, including Palm Beach County, as Matthew parallels the shoreline"
"Bahama, Florida, Georgia, South Carolina, North Carolina",Entire southeast Florida coast northward to Georgia and South Carolina likely to experience tropical-storm or hurricane conditions
"Cuba, Haiti, Dominican Republic, Puerto Rico, Jamaica, Bahamas, Florida, Georgia, South Carolina, North Carolina","Haiti, eastern Cuba, southeastern and central Bahamas, then potentially the Atlantic coastline of Florida northward to the Carolinas"
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH
W PALM BEACH,W PALM BEACH
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
89,4%
99,99%
99,99%
98,96%
96,96%
90,90%
79,79%
75,75%
64,64%
33,33%
0,0%
99,0%
65,65%
84,80%
76,76%
63,63%
51,51%
40,40%
32,32%
33,13%
216,96
N/A,0
0,0
48,48
56,18
82,96
6,60
75,72
24,60
18,120
0,
N/A,0
N/A,12
24,36
72,30
82,96
29,96
67,72
61,60
132,120
X,5%
99,99%
99,99%
98,98%
96,47%
90,90%
79,79%
75,51%
64,41%
33,33%
D,A.
A,D.
B,B.
D,D.
B,B.
C,C.
C,C.
B,B.
B,B.
C,C.
"Fernandina Beach, Florida to Surf City","Northeast Florida through Georgia, South Carolina and southern North Carolina coasts"
"Flagler Beach, Florida to Edisto Beach, South Carolina",Florida east coast from Sebastian Inlet northward through Georgia and the Carolinas
Boca Raton to South Santee River,"Entire southeast Florida coast from Boca Raton northward, extending up the Georgia and South Carolina coasts"
