response,ground_truth
Yes,No
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,B.
C,A.
C,A.
C,A.
C,A.
C,B.
C,C.
C,C.
C,C.
C,C.
C,A.
C,A.
C,A.
Florida coast to South Carolina coast,Hurricane Watch north of Surf City NC to Cape Lookout NC
FL to SC,"Tropical Storm Warning from Sebastian Inlet to Cocoa Beach, FL and from north of Surf City to Duck, NC (including the Pamlico & Albemarle Sounds)"
None to Florida,Englewood to Anclote River (Gulf side of Florida)
None to Florida,None
Florida coast to South Carolina coast,North of Fernandina Beach FL to Edisto Beach SC
None,"Hurricane Watch north of Flagler/Volusia county line to Fernandina Beach; Tropical Storm Warning Chokoloskee to Golden Beach, Florida Keys Seven-Mile Bridge eastward and Florida Bay"
Jamaica to Bahamas,Sebastian Inlet to Flagler/Volusia county line (Hurricane Watch)
None,"Seven Mile Bridge (Florida Keys) northward to south of Deerfield Beach, including Lake Okeechobee"
None,None
Jamaica to Puerto Rico,N/A (no Florida watches yet issued)
Florida to South Carolina,"Hurricane Warning north of Fernandina Beach FL to Surf City NC; Tropical Storm Warning north of Surf City NC to Duck NC, Pamlico & Albemarle Sounds, and north of Flagler/Volusia county line FL to Fernandina Beach FL"
Florida to South Carolina,"Hurricane Warning from Cocoa Beach, FL to Surf City, NC"
Florida to South Carolina,Ocean Reef to south of Boca Raton (TS Wng); Boca Raton to South Santee River SC (Hurr Wng)
Florida coast from south of Jupiter Inlet to the Flagler Beach,"North of Golden Beach, FL to Edisto Beach, SC, including Lake Okeechobee"
Florida to South Carolina,North of Golden Beach FL to Fernandina Beach FL (includes Port Everglades)
None,"Hurricane Warning North of Golden Beach to the Flagler/Volusia county line including Lake Okeechobee and all of southeastern, central and northwestern Bahamas"
FL to NC,"North of Golden Beach to Sebastian Inlet, including Port Everglades area and Lake Okeechobee (Hurricane Warning)"
Florida to North Carolina,"No Florida warnings yet (warnings confined to Haiti, Cuba and the Bahamas)"
South Florida to the Georgia coast,None
None,N/A (no Florida warnings yet issued)
"30.7N, 80.6W","31.2N, 80.5W"
"28.9N, 80.3W","29.4N, 80.5W"
"26.6N, 78.9W","27.1N, 79.2W"
