response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,A.
C,A.
C,C.
C,C.
C,A.
C,A.
A,A.
C,A.
C,C.
C,C.
C,C.
C,C.
C,C.
C,A.
C,A.
C,A.
C,A.
C,A.
Florida's Atlantic coast to Florida's Gulf coast,No hurricane or tropical-storm watch is posted for southeast Florida; watches begin north of Fernandina Beach toward the South Carolina coast
"Miami, FL to Charleston, SC",None for PortMiami; hurricane watch area begins north of Fernandina Beach to Edisto Beach and west of the Aucilla River to Indian Pass
None,Hurricane Watch north of the Volusia/Brevard County Line to Fernandina Beach and north/west of Anclote River to Indian Pass
None,Hurricane Watch north of Jupiter Inlet to Flagler/Volusia County Line and north of Bonita Beach to Anclote River; Storm Surge Watch north of Sebastian Inlet to Ponce Inlet
"Florida Keys to Cape Sable, Florida",North of Jupiter Inlet to Sebastian Inlet and north of Bonita Beach to Anna Maria Island
None,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
Bahamas to Florida,No U.S. coastal watches in effect yet (Bahamas and Cuba under hurricane watch)
None,Hurricane Watches in effect for Cuba from Matanzas eastward and the Central Bahamas
Dominican Republic to Haiti,None issued for U.S. coast yet
Cuba to Florida,N/A (no U.S. watches issued yet)
None,"Hurricane Warning from Fernandina Beach southward around the entire Florida peninsula to Indian Pass, including PortMiami; Storm Surge Warning from North Miami Beach southward around the peninsula to the Ochlockonee River"
Punta Cana to San Juan to Bermuda,"Fernandina Beach southward around the Florida peninsula to the Aucilla River, including the Florida Keys, Lake Okeechobee and Florida Bay"
Florida Keys to Florida coast,"Hurricane Warning Volusia/Brevard County Line southward around the entire Florida peninsula to Anclote River, including Florida Keys, Lake Okeechobee and Florida Bay; Storm Surge Warning Volusia/Brevard County Line southward around the peninsula to Anclote River including Tampa Bay"
None,"Hurricane Warning Jupiter Inlet southward around Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay; Storm Surge Warning Sebastian Inlet southward around the Florida peninsula to Venice including the Keys"
Florida to South Carolina,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
"Florida Keys to Cape Kennedy, Florida",None for Florida at this time
Florida East Coast to South Carolina,"No U.S. coastal warnings in effect yet (Puerto Rico, Hispaniola, Turks & Caicos, Bahamas under hurricane warning)"
None,"Hurricane Warnings for the northern Leeward Islands, U.S./British Virgin Islands, Puerto Rico, northern Dominican Republic, northern Haiti, Turks & Caicos, and the Southeastern Bahamas"
None,None issued for U.S. coast yet
Florida to Puerto Rico,N/A (no U.S. warnings issued yet)
"23.5N, 81.0W","23.7N, 81.3W"
"22.8N, 79.8W","23.1N, 80.2W"
"22.1N, 77.7W","22.3N, 78.2W"
"22.0N, 75.3W","22.0N, 76.0W"
"21.3N, 72.4W","21.5N, 73.3W"
"20.4N, 69.7W","20.7N, 70.4W"
"19.4N, 66.8W","19.7N, 67.7W"
"18.2N, 64.0W","18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"16.8N, 58.4W","16.8N, 58.4W"
NW,NW
W,W
W,W
WNW,W (expected to turn WNW then NW)
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W (275°)
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
15,15 mph
14,14 mph
Florida,"Entire Florida east and west coasts, especially the Keys, South Florida (including Biscayne Bay and Miami-Dade), and the Florida west coast up to Tampa Bay"
Florida,"Entire Florida east coast including Miami, the Florida Keys, and southwest Florida coastline"
"Florida, Georgia, South Carolina, North Carolina","Entire Florida peninsula – east coast (including Miami), Keys, and southwest Gulf coast"
Florida,"Southeast Florida coast including Miami-Dade and Broward counties, the Florida Keys, and immediate coastal waters"
Florida,"Entire southeast Florida coast from Jupiter Inlet through the Keys, including Miami-Dade County"
Florida,"Southeast Florida (Miami-Dade & Broward counties), the Florida Keys, and southwest Florida coast up to Bonita Beach"
Florida,"Entire Florida peninsula, especially south and east coasts including Miami-Dade and Broward counties"
Florida,"Leeward Islands through Turks & Caicos, Bahamas, Cuba, and the Florida peninsula including PortMiami"
"Florida
Bahamas
Cuba
Puerto Rico
Dominican Republic
Haiti
Turks and Caicos Islands
Anguilla
Sint Maarten
Saint Martin
Saint Barthélemy
Saba
Sint Eustatius
Antigua and Barbuda
Saint Kitts and Nevis
Montserrat
Guadeloupe
Dominica","Southeastern Florida coast including Miami-Dade and Broward counties, Florida Keys, northward along the peninsula"
"Bahamas, Cuba, Florida","northern Leeward Islands, Puerto Rico and Virgin Islands, Turks & Caicos, Bahamas, Cuba, and eventually south Florida coastline"
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
MIAMI FL,MIAMI FL
92,92%
94,94%
93,93%
97,97%
97,97%
92,92%
90,90%
84,84%
64,64%
57,57%
39,39%
44,44%
59,59%
77,77%
80,80%
71,71%
66,66%
58,58%
64,35%
31,31%
12,6
0,6
72,30
96,30
48,45
72,72
87,120
84,120
0,96
120,108
N/A,6
28,24
24,30
72,42
72,45
72,72
72,120
83,120
60,120
54,108
92,87%
94,49%
93,41%
97,46%
97,41%
92,64%
90,90%
84,84%
64,37%
32,32%
D,D.
B,B.
D,D.
A,A.
C,C.
A,A.
D,D.
D,D.
A,A.
A,A.
Florida Keys to west coast of Florida,"Entire Florida east and west coasts, especially the Keys, South Florida (including Biscayne Bay and Miami-Dade), and the Florida west coast up to Tampa Bay"
Key West Florida to southwest coast of Florida,"Entire Florida east coast including Miami, the Florida Keys, and southwest Florida coastline"
Florida Keys to southwest coast of Florida,"Entire Florida peninsula – east coast (including Miami), Keys, and southwest Gulf coast"
"Cuban provinces of Camaguey, Ciego de Avila, Sancti Spiritus, and Villa Clara to Florida Keys","Southeast Florida coast including Miami-Dade and Broward counties, the Florida Keys, and immediate coastal waters"
Florida Keys to Jupiter Inlet,"Entire southeast Florida coast from Jupiter Inlet through the Keys, including Miami-Dade County"
"Not applicable. The advisory states the eye is moving *between* Hispaniola and the Turks and Caicos Islands, and will then move *across* the southeastern Bahamas, not indicating a direct landfall in the context of a single point.","Southeast Florida (Miami-Dade & Broward counties), the Florida Keys, and southwest Florida coast up to Bonita Beach"
Dominican Republic to Haiti,"Entire Florida peninsula, especially south and east coasts including Miami-Dade and Broward counties"
U.S. Virgin Islands to Puerto Rico,"Leeward Islands through Turks & Caicos, Bahamas, Cuba, and the Florida peninsula including PortMiami"
Leeward Islands to Virgin Islands and Puerto Rico,"Southeastern Florida coast including Miami-Dade and Broward counties, Florida Keys, northward along the peninsula"
Antigua to Anguilla,"northern Leeward Islands, Puerto Rico and Virgin Islands, Turks & Caicos, Bahamas, Cuba, and eventually south Florida coastline"
F,F.
E,E.
G,G.
F,F.
G,G.
G,G.
G,G.
G,G.
G,G.
G,G.
A,A.
C,C.
A,A.
C,C.
D,D.
C,C.
A,A.
A,A.
D,D.
C,C.
Florida,"Entire Florida east and west coasts, especially the Keys, South Florida (including Biscayne Bay and Miami-Dade), and the Florida west coast up to Tampa Bay"
Florida,"Entire Florida east coast including Miami, the Florida Keys, and southwest Florida coastline"
Florida,"Entire Florida peninsula – east coast (including Miami), Keys, and southwest Gulf coast"
Florida,"Southeast Florida coast including Miami-Dade and Broward counties, the Florida Keys, and immediate coastal waters"
Florida,"Entire southeast Florida coast from Jupiter Inlet through the Keys, including Miami-Dade County"
Florida,"Southeast Florida (Miami-Dade & Broward counties), the Florida Keys, and southwest Florida coast up to Bonita Beach"
Florida,"Entire Florida peninsula, especially south and east coasts including Miami-Dade and Broward counties"
Florida,"Leeward Islands through Turks & Caicos, Bahamas, Cuba, and the Florida peninsula including PortMiami"
Florida,"Southeastern Florida coast including Miami-Dade and Broward counties, Florida Keys, northward along the peninsula"
Florida,"northern Leeward Islands, Puerto Rico and Virgin Islands, Turks & Caicos, Bahamas, Cuba, and eventually south Florida coastline"
36,6
26,21
75,36
75,42
48,54
48,66
108,96
48,96
75,96
75,102
25,36
72,36
71,24
13,36
42,66
40,90
75,120
80,120
70,120
71,24
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
C,C.
C,C.
C,C.
D,B.
D,B.
D,C.
C,C.
D,B.
D,C.
C,C.
A,B.
A,B.
A,C.
C,C.
C,C.
C,D.
D,D.
D,D.
D,D.
D,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
C,B.
C,B.
C,C.
C,C.
A,D.
C,D.
C,D.
3,6
18,21
36,36
72,42
58,54
36,66
72,96
48,96
48,96
72,102
A,A.
A,A.
A,A.
