response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,B.
B,B.
A,B.
A,B.
A,B.
B,A.
B,A.
A,A.
A,A.
A,A.
None,"Edisto Beach, SC to south of South Santee River, SC"
None,Edisto Beach SC to south of South Santee River SC
None,Edisto Beach SC to south of South Santee River SC (includes Charleston)
"Cape Lookout, NC to Cape Canaveral, FL","Edisto Beach, South Carolina to Cape Lookout, North Carolina"
South Carolina to North Carolina,Edisto Beach SC to Cape Lookout NC
None,"South Santee River, SC to Cape Lookout, NC"
"Charleston, SC to Cape Fear, NC",South Santee River SC to Cape Lookout NC
None,South Santee River SC to Cape Lookout NC
None,None
None,None
"32.7N, 78.1W","32.9N, 78.3W"
"32.2N, 77.5W","32.4N, 77.6W"
"31.6N, 77.3W","31.7N, 77.4W"
"31.5N, 77.7W","31.6N, 77.8W"
"31.5N, 77.6W","31.5N, 77.6W"
NW,NW
NNW,NNW
Stationary,Stationary (expected to begin NNW overnight)
NNW,NNW
N,N
3,3 mph
60,3 mph
Stationary,0 mph
2,1 mph
2,2 mph
North Carolina,"South Carolina and southeastern North Carolina coasts, including Charleston area"
"South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey",Entire South Carolina coast and southeastern North Carolina coast within the forecast cone
"South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Southeastern U.S. coast from northern Georgia through North Carolina
North Carolina,"Southeastern U.S. coast from northern Florida through North Carolina, including the entire South Carolina shoreline"
"South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Georgia through North Carolina coasts, especially South Carolina shoreline"
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
32,32%
38,38%
47,47%
48,48%
48,48%
0,<1%
3,3%
9,9%
6,6%
6,6%
29,6
12,72
48,72
12,96
13,120
N/A,N/A
36,48
48,72
72,96
48,96
32,18%
38,38%
47,47%
48,48%
48,48%
B,B.
B,B.
B,B.
B,B.
D,D.
South Santee River South Carolina to Cape Lookout,"South Carolina and southeastern North Carolina coasts, including Charleston area"
South Santee River South Carolina to Cape Lookout,Entire South Carolina coast and southeastern North Carolina coast within the forecast cone
South Santee River South Carolina to Cape Lookout,Southeastern U.S. coast from northern Georgia through North Carolina
EDISTO BEACH SOUTH CAROLINA to CAPE LOOKOUT NORTH CAROLINA,"Southeastern U.S. coast from northern Florida through North Carolina, including the entire South Carolina shoreline"
EDISTO BEACH SOUTH CAROLINA to CAPE LOOKOUT NORTH CAROLINA,"Georgia through North Carolina coasts, especially South Carolina shoreline"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
C,C.
D,D.
A,A.
South Carolina,"South Carolina and southeastern North Carolina coasts, including Charleston area"
South Carolina,Entire South Carolina coast and southeastern North Carolina coast within the forecast cone
Cape Hatteras,Southeastern U.S. coast from northern Georgia through North Carolina
South Carolina,"Southeastern U.S. coast from northern Florida through North Carolina, including the entire South Carolina shoreline"
Outer Banks,"Georgia through North Carolina coasts, especially South Carolina shoreline"
18,15
18,24
24,42
None,39
None,45
24,24
29,48
0,24
48,63
30,24
D,D.
B,D.
D,D.
C,D.
D,D.
B,B.
C,B.
C,C.
C,D.
C,B.
A,B.
A,D.
A,D.
B,D.
A,D.
Yes,No
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
C,A.
B,A.
12,15
12,24
30,42
48,39
40,45
A,A.
A,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,B.
D,A.
D,B.
D,D.
D,D.
A,D.
C,D.
C,B.
Surf and rip currents.,Dangerous surf and rip currents along adjacent beaches
Rip currents are likely to be a hazard along the coast.,Dangerous surf and rip currents affecting vessel approaches and pilot boarding areas
Rip currents,Dangerous surf and rip currents along nearby beaches.
Rip currents,Rough seas and high surf likely to disrupt vessel traffic and berth operations
The potential for hazardous surf and rip currents is present.,Hazardous marine conditions for vessel operations and pilot transfers.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 20,
    ""in 24h"": 15,
    ""in 48h"": 1,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '18%', 'in 24h': '11%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 24,
    ""in 24h"": 18,
    ""in 48h"": 4,
    ""in 72h"": 3,
    ""in 96h"": 0
  }
}
```","{'in 12h': '14%', 'in 24h': '29%', 'in 48h': '37%', 'in 72h': '38%', 'in 96h': '38%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '13%', 'in 24h': '27%', 'in 48h': '43%', 'in 72h': '47%', 'in 96h': '47%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 15,
    ""in 24h"": 8,
    ""in 48h"": 4,
    ""in 72h"": 3,
    ""in 96h"": 1
  }
}
```","{'in 12h': '21%', 'in 24h': '13%', 'in 48h': '9%', 'in 72h': '3%', 'in 96h': '2%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 5,
    ""in 24h"": 6,
    ""in 48h"": 7,
    ""in 72h"": 9,
    ""in 96h"": 10
  }
}
```","{'in 12h': '21%', 'in 24h': '34%', 'in 48h': '43%', 'in 72h': '46%', 'in 96h': '48%'}"
09-05-2015,None
09-05-2015,None
09-05-2015,None
09-05-2015,None
09-05-2015,None
10-05-2015,None
10-05-2015,None
10-05-2015,None
09-05-2015,None
09-05-2015,None
11-05-2015,None
11-05-2015,None
11-05-2015,None
10-05-2015,None
09-05-2015,None
2,0
2,0
4,0
3,0
5,0
3,None
1,None
3,None
3,None
0,None
18,None
54,None
47,None
15,None
39,None
B,A.
D,A.
C,A.
C,A.
B,A.
