response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
"Charleston, SC to Block Island, RI","North of Altamaha Sound, GA, to South Santee River, SC"
None,"Mouth of St. Marys River, GA to South Santee River, SC (current watch area—well south of the port)."
None,"West of the Ochlockonee River to Indian Pass, FL (tropical-storm watch)"
None,"Tropical Storm Watch from Englewood FL northward to the Aucilla River, upper Florida Keys, parts of Cuba"
Florida to South Carolina,None in the Mid-Atlantic or Northeast at this time
None,"Tropical Storm Watches presently limited to Cayman Brac & Little Cayman, portions of western Cuba and the Florida Keys"
None,"Tropical Storm and Hurricane watches confined to parts of Cuba, the Cayman Islands, and the Florida Keys (west of Craig Key to Dry Tortugas)."
None,Hurricane and tropical-storm watches confined to portions of Cuba; no watches north of Florida at this time
None,N/A
Puerto Rico to the Dominican Republic,"Hurricane and Tropical-Storm Watches/Warnings confined to the Windward Islands, southern Hispaniola, Haiti, Jamaica and parts of the eastern Caribbean"
Florida to North Carolina,"Storm-surge and hurricane warnings in effect along Florida’s west coast from Bonita Beach to the Aucilla River, including Tampa Bay; tropical-storm warnings extend northward to the mouth of the St. Marys River, GA"
None,Florida Keys and Florida west coast from Flamingo to Ochlockonee River (current warning area).
None,Florida Keys Craig Key westward to Dry Tortugas and Florida west coast Flamingo to Ochlockonee River (tropical-storm warning); Bonita Beach to Aucilla River including Tampa Bay (storm-surge warning)
None,Tropical Storm Warning Florida Keys (Craig Key to Dry Tortugas) and west coast of Florida from Flamingo to Englewood; Hurricane Warning for Cienfuegos to Matanzas Cuba
None,None in the Mid-Atlantic or Northeast at this time
None,"Tropical Storm Warnings for southern Haiti, Jamaica, and much of eastern/central Cuba"
None,"Hurricane and Tropical-Storm warnings for southern Haiti, Jamaica, and eastern/central Cuba."
Florida to North Carolina,Hurricane warnings along south coast of Hispaniola and Jamaica; no warnings north of Cuba
Puerto Rico to Florida,N/A
None,"Same areas – Barbados, St. Lucia, St. Vincent & the Grenadines under Hurricane Warning; Martinique, Dominican Republic south coast and Haiti under Tropical-Storm Warning"
"25.8N, 83.0W","26.6N, 83.1W"
"24.1N, 82.4W","24.5N, 82.6W"
"22.7N, 81.9W","22.9N, 81.9W"
"21.0N, 79.9W","21.4N, 80.7W"
"19.8N, 77.9W","20.2N, 78.7W"
"18.1N, 75.5W","18.3N, 76.2W"
"17.5N, 73.9W","17.8N, 74.7W"
"16.2N, 69.0W","16.5N, 70.3W"
"14.2N, 63.7W","14.4N, 65.1W"
"12.7N, 58.6W","13.1N, 60.1W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
WNW,WNW
70,14 mph
60,12 mph
50,13 mph
14,14 mph
60,15 mph
14,13 mph
28,23 mph
31,31 mph
30,30 mph
28,28 mph
"Florida
Georgia
South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
Connecticut
Rhode Island
Massachusetts
New Hampshire
Maine
Nova Scotia
Prince Edward Island
New Brunswick","Florida west coast, Georgia and South Carolina coasts, then Mid-Atlantic and southern New England coastline (including New York Bight)"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Entire U.S. East Coast from Florida Big Bend through New England is within the 5-day cone.
"Florida Atlantic Coast, Georgia Coast, South Carolina Coast, North Carolina Coast, New England Coast","Florida Gulf coast, coastal Georgia and the Carolinas, Mid-Atlantic shoreline, southern New England including New York and New Jersey"
"Florida
Georgia
South Carolina
North Carolina","Florida west coast, Georgia and Carolina coasts, extending northward toward the Mid-Atlantic and southern New England coasts"
"Florida
Georgia
South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
Connecticut
Rhode Island
Massachusetts
Bahamas
Puerto Rico
Dominican Republic
Hispaniola
Jamaica","Florida Keys and west coast of Florida, then coastal Georgia, South Carolina, North Carolina, Virginia, and New England (including Long Island and the New Jersey shore)"
"Florida, South Carolina, North Carolina, Georgia",From Florida Keys northward along the U.S. Atlantic seaboard through the Carolinas to coastal New England and Atlantic Canada
"Cuba, Florida, Georgia, South Carolina, North Carolina","Southern Hispaniola, Jamaica, Cuba, Florida Keys and west coast of Florida, then likely Georgia–Carolina coasts later in the period."
"Cuba, Florida, Georgia, South Carolina, North Carolina","Caribbean islands, south‐central Cuba, Florida Peninsula/Keys and eventually the U.S. Southeast coastline (FL–SC) late period"
"Florida, Georgia, South Carolina, North Carolina, Puerto Rico, Dominican Republic, Haiti, Jamaica, Cuba, Bahamas, Turks and Caicos Islands, United States Virgin Islands","Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, Florida Gulf Coast (per current cone)"
Florida,"Windward Islands, Leeward Islands, southern Hispaniola, Jamaica, eastern Cuba, Florida Peninsula/Gulf coast within 5-day cone – NOT the Mid-Atlantic or Northeast coast"
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPRT
NYC JFK AIRPRT,NYC JFK AIRPORT
None,NORFOLK VA
None,WILMINGTON NC
"There is no location listed for New York, NY & NJ in the provided table.",CHARLOTTE NC (closest listed point in wind-probability table)
X,4%
3,4%
3,5%
3,3%
3,3%
3,3%
4,4%
0,<5%
0,0%
0,0%
3,<3%
0,0%
3,0%
0,0%
X,0%
0,0%
0,0%
0,<1%
0,0%
0,0%
N/A,48
24,96
48,84
N/A,120
N/A,120
N/A,120
36,120
N/A,N/A
N/A,N/A
N/A,
N/A,N/A
N/A,None
N/A,
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,
N/A,4%
4,4%
5,5%
3,3%
N/A,3%
3,3%
4,4%
N/A,<5%
N/A,0%
N/A,0%
C,B.
C,D.
C,D.
A,B.
A,B.
D,B.
C,A.
B,D.
B,A.
D,A.
"Egmont Key to the Steinhatchee River, Florida","Florida west coast, Georgia and South Carolina coasts, then Mid-Atlantic and southern New England coastline (including New York Bight)"
Florida Gulf coast,Entire U.S. East Coast from Florida Big Bend through New England is within the 5-day cone.
Florida Keys to west coast of Florida,"Florida Gulf coast, coastal Georgia and the Carolinas, Mid-Atlantic shoreline, southern New England including New York and New Jersey"
west-central Cuba to Florida Keys,"Florida west coast, Georgia and Carolina coasts, extending northward toward the Mid-Atlantic and southern New England coasts"
"Cuban provinces of Camaguey, Granma, and Las Tunas","Florida Keys and west coast of Florida, then coastal Georgia, South Carolina, North Carolina, Virginia, and New England (including Long Island and the New Jersey shore)"
Jamaica to Eastern Cuba,From Florida Keys northward along the U.S. Atlantic seaboard through the Carolinas to coastal New England and Atlantic Canada
Port Au Prince to the southern border with the Dominican Republic,"Southern Hispaniola, Jamaica, Cuba, Florida Keys and west coast of Florida, then likely Georgia–Carolina coasts later in the period."
Southern coast of Hispaniola to Jamaica,"Caribbean islands, south‐central Cuba, Florida Peninsula/Keys and eventually the U.S. Southeast coastline (FL–SC) late period"
southern coast of Hispaniola,"Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, Florida Gulf Coast (per current cone)"
Windward Islands to southern Leeward Islands,"Windward Islands, Leeward Islands, southern Hispaniola, Jamaica, eastern Cuba, Florida Peninsula/Gulf coast within 5-day cone – NOT the Mid-Atlantic or Northeast coast"
C,C.
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
C,C.
C,C.
C,C.
D,B.
D,C.
A,C.
D,C.
D,B.
B,D.
B,D.
A,D.
D,B.
C,D.
Florida,"Florida west coast, Georgia and South Carolina coasts, then Mid-Atlantic and southern New England coastline (including New York Bight)"
Florida,Entire U.S. East Coast from Florida Big Bend through New England is within the 5-day cone.
Florida,"Florida Gulf coast, coastal Georgia and the Carolinas, Mid-Atlantic shoreline, southern New England including New York and New Jersey"
Florida,"Florida west coast, Georgia and Carolina coasts, extending northward toward the Mid-Atlantic and southern New England coasts"
Florida,"Florida Keys and west coast of Florida, then coastal Georgia, South Carolina, North Carolina, Virginia, and New England (including Long Island and the New Jersey shore)"
Florida,From Florida Keys northward along the U.S. Atlantic seaboard through the Carolinas to coastal New England and Atlantic Canada
Florida,"Southern Hispaniola, Jamaica, Cuba, Florida Keys and west coast of Florida, then likely Georgia–Carolina coasts later in the period."
Florida,"Caribbean islands, south‐central Cuba, Florida Peninsula/Keys and eventually the U.S. Southeast coastline (FL–SC) late period"
Florida,"Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, Florida Gulf Coast (per current cone)"
Florida,"Windward Islands, Leeward Islands, southern Hispaniola, Jamaica, eastern Cuba, Florida Peninsula/Gulf coast within 5-day cone – NOT the Mid-Atlantic or Northeast coast"
27,15
14,24
