response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Storm-surge warning Indian Pass to Yankeetown; Tropical-storm warning Navarre to Wakulla/Jefferson Co. line (Florida Panhandle)
None,Tropical Storm Watch from the AL/FL border to Navarre (western Panhandle)
Florida Panhandle to Alabama coast,"Alabama/Florida border eastward to Ochlockonee River, FL (north-central Gulf Coast)"
None,
None,A Tropical Storm Warning is only in effect for the Florida Keys west of the Seven Mile Bridge to the Dry Tortugas
None,South-west coast of Florida from Englewood south and east to Ocean Reef
None,"Southwest coast of Florida from Englewood south and east to Ocean Reef, including Florida Bay"
Florida to Georgia,"Tropical Storm Watch from Bonita Beach south and east to Ocean Reef, including the Florida Keys and Florida Bay"
None,"None in effect – only watches for parts of Haiti, Bahamas and Cuba at this time."
None,"Haiti (northern coast), Turks and Caicos, southeastern Bahamas, and several Cuban provinces"
None,same as watch areas above – none include Tampa Bay/Manatee County
None,Tropical Storm Warning from Navarre to the Wakulla/Jefferson County line; Storm Surge Warning Indian Pass to Yankeetown
None,None in effect (warnings expected farther north later)
None,
Florida to Georgia,Same as watch area – Florida Keys west of Seven Mile Bridge to Dry Tortugas
None,Florida Keys west of Ocean Reef to the Dry Tortugas and Florida Bay
Florida Keys to Cape Canaveral,Florida Keys west of Ocean Reef to the Dry Tortugas and Florida Bay
Florida East Coast to South Carolina Coast,None in effect
None,None in effect – no tropical-storm warnings issued for Florida as of this advisory.
None,Dominican Republic south coast from Punta Palenque eastward and north coast east of the DR/Haiti border
"27.3N, 85.9W","27.9N, 86.0W"
"26.1N, 84.9W","26.8N, 85.3W"
"23.8N, 84.3W","24.4N, 84.6W"
"23.3N, 83.2W","24.0N, 84.6W"
"22.7N, 80.6W","23.3N, 81.7W"
"22.3N, 78.4W","22.3N, 79.6W"
"21.5N, 75.6W","22.0N, 76.7W"
"20.9N, 74.4W","21.3N, 75.3W"
"19.5N, 72.2W","20.2N, 73.5W"
"18.2N, 69.7W","18.9N, 71.0W"
NNW,N
NNW,NNW
WNW,NNW
WNW,WNW
W,WNW
