response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
A,A.
A,A.
B,A.
A,A.
B,A.
None,None posted for the North Carolina coast at this time
None,North of Altamaha Sound GA to South Santee River SC (Tropical Storm Watch)
None,Tropical Storm Warning currently limited to Indian Pass FL to Englewood FL (Gulf coast)
Florida to South Carolina,"Tropical-storm warnings are in effect from Sebastian Inlet, FL northward to South Santee River, SC"
None,Altamaha Sound GA to Sebastian Inlet FL on the Atlantic side; Indian Pass to Englewood FL on the Gulf side (Tropical Storm Warning)
Florida coast from Jupiter Inlet to north of Cocoa Beach,Indian Pass FL to Englewood FL (Gulf coast)
"26.4N, 87.3W","27.0N, 87.0W"
"23.4N, 87.8W","23.6N, 87.8W"
"21.9N, 88.1W","21.9N, 88.1W"
NNE,NNE
N,N
N,N
14,16 mph
40,9 mph
35,8 mph
"Florida East Coast, Florida West Coast, Georgia, South Carolina, North Carolina, Virginia",Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Florida Peninsula,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
"Florida
Georgia
South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
Connecticut
Rhode Island
Massachusetts
New Hampshire
Maine","Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
31,31%
21,21%
20,20%
0,4%
3,3%
4,4%
36,36
18,42
15,72
0,36
18,42
48,72
31,31%
21,19%
20,20%
B,A.
D,B.
B,A.
Indian Pass to Englewood,Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Indian Pass to Englewood,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
Indian Pass to Englewood,"Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
B,B.
B,B.
A,A.
B,B.
B,A.
C,C.
Florida,Entire southeast U.S. shoreline from the Florida Big Bend through South Carolina and up to coastal North Carolina
Florida,"Florida Gulf Coast, Florida Atlantic Coast, Georgia, South Carolina, and southern North Carolina shoreline"
Florida,"Gulf coast of Florida, then the Atlantic coasts of northeast Florida, Georgia, South Carolina, and North Carolina"
19,8
6,20
18,30
50,48
27,60
48,78
D,D.
D,D.
D,D.
C,B.
A,B.
C,B.
B,C.
C,C.
C,D.
No,Yes
No,No
Yes,Yes
C,C.
C,C.
C,C.
24,8
60,20
0,30
D,B.
D,B.
D,B.
B,B.
B,B.
A,B.
C,C.
D,C.
A,B.
Tornadoes,Brief tornadoes in outer rain-bands cannot be ruled out; hazardous seas may disrupt vessel scheduling.
A few tornadoes are possible.,"Rough surf, dangerous rip currents, and a low risk of an isolated tornado in coastal NC."
Isolated tornadoes are possible.,Dangerous rip currents and minor coastal flooding at high tide possible; isolated brief tornadoes in outer rain bands cannot be ruled out.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 10,
    ""in 96h"": 11
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '31%', 'in 72h': '31%', 'in 96h': '31%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 13,
    ""in 72h"": 9,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '19%', 'in 72h': '1%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 2,
    ""in 72h"": 13,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '15%', 'in 96h': '0%'}"
07-06-2016,None
06-06-2016,None
06-06-2016,None
07-06-2016,None
06-06-2016,None
07-06-2016,None
08-06-2016,None
08-06-2016,None
10-06-2016,None
2,0
5,0
5,0
2,None
0,None
1,None
31,None
19,None
15,None
C,A.
C,A.
C,A.
