response,ground_truth
Yes,Yes
No,Yes
Yes,Yes
Yes,No
Yes,No
A,A.
A,A.
B,A.
C,B.
B,B.
A,B.
A,B.
B,B.
B,A.
B,A.
None,None
None,None
None,N/A
None,"West of Cameron, Louisiana to High Island, Texas"
"Grand Isle, Louisiana to Pascagoula, Mississippi","west of Intracoastal City, LA to High Island, TX (includes upper Texas coast near Beaumont)"
None,"San Luis Pass, TX eastward to the mouth of the Mississippi River"
None,"San Luis Pass, TX eastward to the Alabama-Florida border, including Metropolitan New Orleans and Lake Pontchartrain"
New Orleans to Mobile,"San Luis Pass, TX eastward to the mouth of the Pearl River, LA (includes Sabine Pass/Beaumont area)"
"Cameron, Louisiana to Grand Isle, Louisiana","Cameron, Louisiana to the Mouth of the Pearl River"
None,"Intracoastal City, LA to the Mouth of the Pearl River"
"27.6N, 92.6W","28.2N, 93.2W"
"26.4N, 91.0W","27.3N, 91.9W"
"25.9N, 90.5W","25.7N, 90.6W"
"24.4N, 89.5W","24.8N, 90.1W"
"24.7N, 88.7W","24.7N, 88.7W"
NW,NW
NW,NW
NW,Stationary (expected to resume NW)
NNW,NW
N,N (350°)
10,9 mph
60,8 mph
10,0 mph (will increase to ~10 mph)
8,8 mph
9,9 mph
"Louisiana, Mississippi, Alabama, Florida",Upper Texas coast through western and northern Louisiana and adjacent inland areas
"Louisiana, Mississippi, Alabama, Florida",Central Texas coast eastward through western Florida Panhandle
Louisiana,Northern Gulf Coast from the central Texas coast to the western Florida Panhandle
"Louisiana, Mississippi, Alabama, Florida","Southeast Texas and southwest through southeast Louisiana coasts, extending east to the western Florida Panhandle"
"Louisiana, Mississippi, Alabama, Florida","central and eastern Louisiana, Mississippi, Alabama, western Florida Panhandle, with fringe impacts possible on the upper Texas coast"
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
0,68%
0,53%
39,42%
0,10%
26,26%
0,8%
0,9%
0,6%
0,3%
0,4%
N/A,18
36,30
72,36
48,72
48,60
N/A,18
N/A,30
N/A,48
N/A,48
N/A,60
N/A,38%
33,53%
39,20%
24,10%
11,26%
A,A.
C,C.
B,B.
B,B.
A,B.
San Luis Pass Texas to the mouth of the Mississippi River,Upper Texas coast through western and northern Louisiana and adjacent inland areas
San Luis Pass Texas to the Alabama-Florida border,Central Texas coast eastward through western Florida Panhandle
"San Luis Pass, Texas to the Mouth of the Pearl River",Northern Gulf Coast from the central Texas coast to the western Florida Panhandle
Cameron to the Mouth of the Pearl River,"Southeast Texas and southwest through southeast Louisiana coasts, extending east to the western Florida Panhandle"
"Intracoastal City, Louisiana to the Mouth of the Pearl River","central and eastern Louisiana, Mississippi, Alabama, western Florida Panhandle, with fringe impacts possible on the upper Texas coast"
B,B.
B,B.
B,B.
B,B.
B,B.
C,C.
D,D.
A,C.
B,B.
A,C.
Louisiana,Upper Texas coast through western and northern Louisiana and adjacent inland areas
Louisiana Coast,Central Texas coast eastward through western Florida Panhandle
Louisiana,Northern Gulf Coast from the central Texas coast to the western Florida Panhandle
Louisiana Coast,"Southeast Texas and southwest through southeast Louisiana coasts, extending east to the western Florida Panhandle"
Louisiana,"central and eastern Louisiana, Mississippi, Alabama, western Florida Panhandle, with fringe impacts possible on the upper Texas coast"
16,12
6,24
30,36
67,40
19,45
18,24
None,36
33,24
30,24
13,36
C,D.
D,D.
D,D.
D,D.
D,D.
C,B.
A,B.
D,C.
C,B.
C,C.
