response,ground_truth
Yes,No
A,A.
A,A.
None,Anclote River to Englewood on the west coast of Florida
None,None
"27.7N, 83.5W","27.7N, 83.5W"
E,E
8,8 mph
"Florida, Georgia, South Carolina, North Carolina","West-central Florida peninsula today, then east-central Florida coast and the offshore waters of the southeastern United States through mid-week"
FT LAUDERDALE,FT LAUDERDALE FL
"The provided text does not contain information for PortMiami, FL. Therefore, I cannot answer your question.",3%
X,0%
N/A,12
N/A,N/A
N/A,2%
B,A.
Anclote River to Englewood Florida,"West-central Florida peninsula today, then east-central Florida coast and the offshore waters of the southeastern United States through mid-week"
A,A.
A,D.
Florida,"West-central Florida peninsula today, then east-central Florida coast and the offshore waters of the southeastern United States through mid-week"
24,6
0,24
D,D.
C,B.
"The provided text does not contain information for PortMiami, FL. Therefore, it is impossible to determine the highest 34-kt wind probability for that location based on the given data.",B.
No,No
D,B.
3,6
D,B.
A,B.
B,A.
"There are no additional hazards described for PortMiami, FL, besides rainfall, wind, and storm surge.",Elevated rip-current risk and minor coastal flooding possible along Atlantic beaches
"```json
{
  ""gale_probability"": {
    ""in 12h"": 15,
    ""in 24h"": 2,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
31-07-2017,7/28/2017
01-08-2017,7/30/2017
01-08-2017,7/28/2017
2,5
2,3.0
0,1.0
A,C.
