response,ground_truth
No,No
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
"Brownsville, TX to Corpus Christi, TX","Storm-surge watch south of Port Mansfield TX to the Mouth of the Rio Grande; tropical-storm watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico"
Sabine Pass to High Island,Hurricane/Tropical-Storm watches confined to the south Texas coast; none in the eastern Caribbean
Texas coast,"Hurricane Watch from south of Port Mansfield, TX to the Mouth of the Rio Grande; Tropical Storm Watch south of the mouth of the Rio Grande to Boca de Catan, MX"
Port Lavaca to High Island,"Hurricane Watch from north of Port Mansfield to San Luis Pass; Storm Surge Watch Port Mansfield to High Island; Tropical Storm Watch Boca de Catan, Mexico to Port Mansfield and north of San Luis Pass to High Island"
None,Storm Surge Watch: Port Mansfield TX to High Island TX; Hurricane Watch: north of Port Mansfield to San Luis Pass; Tropical Storm Watch: Mouth of the Rio Grande to Port Mansfield and north of San Luis Pass to High Island
Galveston to Port O'Connor,Hurricane warning Port Mansfield TX to Sargent TX; tropical-storm warning north of Sargent to High Island TX and south of Port Mansfield to Mouth of the Rio Grande; storm-surge warning Port Mansfield to High Island TX
Corpus Christi to Freeport,"Hurricane and Storm-Surge warnings from Port Mansfield to Sargent, TX; no warnings in the Virgin Islands"
"Matagorda Bay, Texas to Intracoastal City, Louisiana","Storm Surge Warning Port Mansfield to San Luis Pass, TX; Hurricane Warning Port Mansfield to Matagorda, TX; Tropical Storm Warning north of Matagorda to High Island, TX and south of Port Mansfield to Mouth of Rio Grande, TX"
"Brownsville, TX to Intracoastal City, LA",None (warnings expected in later advisories)
"Brownsville to High Island, Texas",None issued at this advisory
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
45,10 mph
2,2 mph
9,9 mph
Texas,"Middle and upper Texas coast, portions of southern and southwestern Louisiana"
Texas,Middle and upper Texas coastline and adjacent western Gulf waters
Texas Gulf Coast,Middle and upper Texas coast with possible impacts extending into southwestern Louisiana
Texas,Central and upper Texas coast and southwest Louisiana
Texas,"Texas coast from Port Mansfield northward to High Island, with potential impacts extending into southwest Louisiana"
STENNIS MS,None
GFMX 270N 960W,Not listed (no Caribbean sites in table)
No location,None
"There is no Virgin Islands - St. Croix, VI listed in the provided table.",None
"There is no weather forecast location for the Virgin Islands - St. Croix, VI in the provided table.",None
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
