response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,B.
C,B.
C,B.
C,B.
C,B.
C,A.
C,A.
None,South of Port Mansfield to the Mouth of the Rio Grande (Storm Surge Watch)
"Galveston, TX to Intracoastal City, LA",None
None,"North of San Luis Pass to High Island, TX (storm-surge)"
Brownsville to Corpus Christi,North of San Luis Pass to High Island (TS Watch); Port Mansfield to High Island (Storm-Surge Watch)
Corpus Christi to Galveston,North of San Luis Pass to High Island (includes Galveston/Texas City area)
Corpus Christi to High Island,Port Mansfield to High Island (Storm Surge Warning); North of Sargent to High Island (Tropical Storm Warning)
San Antonio to Corpus Christi,"Tropical-storm warning north of Sargent to High Island, and storm-surge warning Port Mansfield to High Island (includes Texas City/Galveston Bay)"
Corpus Christi to High Island,"North of Matagorda to High Island, TX (tropical-storm)"
None,None at this time
Matagorda Bay to High Island Texas,None for Texas City; Hurricane Watch limited to north of Port Mansfield to San Luis Pass
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
45,10 mph
2,2 mph
9,9 mph
Texas,"Middle and upper Texas coast, including Galveston Bay and the Houston–Galveston corridor"
Texas,entire middle and upper Texas coast from Port Mansfield through High Island including Galveston Bay
Texas,Middle and upper Texas coast from Port Mansfield to High Island
Texas Gulf Coast,Entire Texas coast from Port Mansfield to High Island and portions of southwest Louisiana
"Texas, Louisiana",Texas coast from Port Mansfield to High Island
GALVESTON TX,GALVESTON TX
FREEPORT TX,GALVESTON TX
FREEPORT TX,GALVESTON TX
FREEPORT TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
72,72%
75,80%
59,59%
37,37%
49,41%
"There is no data for ""Texas City, TX"" in the provided table. Therefore, I cannot provide an answer to your question.",21%
0,39%
13,13%
0,10%
5,12%
28,120
24,30
48,120
18,72
48,72
0,120
35,84
48,120
48,72
N/A,72
72,72%
65,31%
N/A,59%
10,14%
41,16%
D,D.
D,D.
D,B.
B,B.
D,D.
Port Mansfield to Sargent Texas,"Middle and upper Texas coast, including Galveston Bay and the Houston–Galveston corridor"
Port Mansfield to Sargent Texas,entire middle and upper Texas coast from Port Mansfield through High Island including Galveston Bay
Port Mansfield to Matagorda Texas,Middle and upper Texas coast from Port Mansfield to High Island
Port Mansfield to High Island,Entire Texas coast from Port Mansfield to High Island and portions of southwest Louisiana
Port Mansfield to High Island,Texas coast from Port Mansfield to High Island
E,D.
C,C.
B,B.
A,A.
A,A.
A,B.
B,B.
D,C.
B,B.
A,B.
Galveston,"Middle and upper Texas coast, including Galveston Bay and the Houston–Galveston corridor"
Texas Coast,entire middle and upper Texas coast from Port Mansfield through High Island including Galveston Bay
Texas,Middle and upper Texas coast from Port Mansfield to High Island
Texas,Entire Texas coast from Port Mansfield to High Island and portions of southwest Louisiana
Texas Gulf Coast,Texas coast from Port Mansfield to High Island
45,15
25,24
52,36
21,48
24,48
12,96
72,96+
15,96
None,N/A
"7 AM Fri to 7 AM Sat is 24 hours. Texas City is located roughly between 7 AM Fri and 7 AM Sat positions.
24",96
D,D.
D,D.
D,D.
D,D.
C,D.
B,D.
D,D.
A,D.
D,C.
D,D.
A,D.
A,C.
C,D.
D,D.
D,D.
No,Yes
No,Yes
Yes,Yes
Yes,No
Yes,No
C,A.
C,B.
B,B.
C,C.
C,C.
8,15
22,24
48,36
72,48
72,48
A,A.
A,A.
A,A.
A,A.
A,B.
C,C.
C,D.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
Tornadoes are possible.,Isolated tornadoes in outer rainbands; dangerous rip currents and rough seas affecting vessel operations.
Isolated tornadoes are possible.,Isolated tornadoes and dangerous rip currents possible; long duration flooding may impede ground transport routes to and from the port.
Rip currents.,"Dangerous surf and rip currents, and the potential for brief tornadoes in outer rainbands."
Rip currents.,"Dangerous surf and rip currents; prolonged operational disruptions from flooding, power outages, and debris."
Dangerous and destructive waves are expected along the Texas coast.,Dangerous surf and rip currents; potential prolonged high water levels if the system stalls near the coast.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 85,
    ""in 24h"": 53,
    ""in 48h"": 10,
    ""in 72h"": 4,
    ""in 96h"": 1
  }
}
```","{'in 12h': '28%', 'in 24h': '36%', 'in 48h': '46%', 'in 72h': '64%', 'in 96h': '72%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 38,
    ""in 48h"": 51,
    ""in 72h"": 12,
    ""in 96h"": 1
  }
}
```","{'in 12h': '1%', 'in 24h': '6%', 'in 48h': '15%', 'in 72h': '12%', 'in 96h': '11%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 32,
    ""in 48h"": 48,
    ""in 72h"": 10,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '7%', 'in 48h': '43%', 'in 72h': '51%', 'in 96h': '57%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 4,
    ""in 96h"": 7
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '10%', 'in 72h': '14%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 5,
    ""in 72h"": 30,
    ""in 96h"": 50
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '3%', 'in 72h': '16%', 'in 96h': '4%'}"
25-08-2017,8/25/2017
25-08-2017,8/25/2017
25-08-2017,8/25/2017
25-08-2017,8/25/2017
25-08-2017,8/25/2017
26-08-2017,8/26/2017
25-08-2017,8/26/2017
25-08-2017,8/26/2017
25-08-2017,8/26/2017
25-08-2017,8/26/2017
30-08-2017,8/25/2017
26-08-2017,8/25/2017
03-09-2017,8/25/2017
28-08-2017,8/25/2017
28-08-2017,8/25/2017
2,7
4,7
5,7
3,7
4,7
3,6.0
0,6.0
5,6.0
2,6.0
3,6.0
72,1.0
76,1.0
34,1.0
30,1.0
19,1.0
C,D.
C,D.
D,D.
B,D.
C,D.
D,E.
D,E.
D,E.
D,E.
C,E.
