response,ground_truth
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
A,A.
None,None in effect for U.S. coastline yet (current warnings limited to Nicaragua–Honduras coast)
None,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,Same as watch area – Central America (Nicaragua–Honduras coast)
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
35,7 mph
"Cuba
Jamaica
Belize
Honduras
Nicaragua
Florida
Bahamas","U.S. central Gulf Coast from southeast Louisiana through Mississippi, Alabama and the Florida Panhandle"
Florida,Central U.S. Gulf Coast from southeastern Louisiana through Mississippi and Alabama to the western Florida Panhandle
GULFPORT MS,GULFPORT MS
PASCAGOULA MS,GULFPORT MS
28,31%
0,20%
12,12%
"The question asks for the cumulative probability of 50-kt wind arrival at Port of Pascagoula, MS within the next 5 days.

Looking at the provided text, there is no mention of ""Port of Pascagoula, MS"".

Therefore, based on the given information, the probability cannot be determined. Since a numerical answer is required, and the information is absent, a reasonable interpretation would be that the probability is 0.

0",6%
N/A,96
72,96
N/A,120
N/A,96
28,31%
7,14%
B,B.
D,D.
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"U.S. central Gulf Coast from southeast Louisiana through Mississippi, Alabama and the Florida Panhandle"
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,Central U.S. Gulf Coast from southeastern Louisiana through Mississippi and Alabama to the western Florida Panhandle
A,A.
A,A.
B,B.
C,C.
Nicaragua,"U.S. central Gulf Coast from southeast Louisiana through Mississippi, Alabama and the Florida Panhandle"
Florida,Central U.S. Gulf Coast from southeastern Louisiana through Mississippi and Alabama to the western Florida Panhandle
66,90
72,96
None,24
120,24
D,D.
D,D.
A,B.
A,B.
D,D.
D,D.
Yes,Yes
Yes,No
C,D.
C,D.
0,90
0,96
D,A.
D,A.
A,C.
A,C.
Surf.,Dangerous rip currents and rough seas ahead of the storm; possible tornadoes in outer rain bands during landfall period.
"No additional hazards are mentioned for Port of Pascagoula, MS.",Dangerous seas and high waves in approaches and anchorages; isolated tornadoes in outer rain bands.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '28%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 12,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '1%', 'in 96h': '14%'}"
08-10-2017,10/6/2017
07-10-2017,10/6/2017
09-10-2017,10/7/2017
08-10-2017,10/7/2017
14-10-2017,10/6/2017
11-10-2017,10/6/2017
3,3
2,3
2,2.0
0,2.0
20,1.0
7,1.0
A,C.
A,C.
