response,ground_truth
No,No
No,No
A,A.
A,A.
A,A.
A,A.
None,Tropical Storm Watch and Hurricane Watch confined to north-western Caribbean and Yucatán Peninsula (not Mid-Atlantic).
None,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Tropical Storm Warning from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras."
None,Same as watch area; no U.S. coast yet under warning
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
35,7 mph
Florida,"Central America (Nicaragua, Honduras), Yucatán Peninsula, U.S. central Gulf Coast, interior Southeast, and portions of the Mid-Atlantic states."
Florida,"Central America (Nicaragua/Honduras), later northern Gulf Coast from Louisiana eastward to Florida Panhandle and eventually the Southeast U.S."
WALLOPS CDA,WALLOPS CDA
"No South Jersey Port Corp, NJ location is listed in the provided table.",DANVILLE VA
0,3%
0,4%
0,<1%
0,0%
N/A,120
N/A,120
N/A,120
N/A,N/A
N/A,3%
N/A,4%
None,A.
None,B.
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Central America (Nicaragua, Honduras), Yucatán Peninsula, U.S. central Gulf Coast, interior Southeast, and portions of the Mid-Atlantic states."
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Central America (Nicaragua/Honduras), later northern Gulf Coast from Louisiana eastward to Florida Panhandle and eventually the Southeast U.S."
A,A.
A,A.
C,B.
D,C.
Nicaragua,"Central America (Nicaragua, Honduras), Yucatán Peninsula, U.S. central Gulf Coast, interior Southeast, and portions of the Mid-Atlantic states."
Florida,"Central America (Nicaragua/Honduras), later northern Gulf Coast from Louisiana eastward to Florida Panhandle and eventually the Southeast U.S."
26,96
12,72
None,144
None,36
D,D.
D,D.
A,B.
A,B.
A,D.
D,D.
No,No
No,No
D,D.
D,D.
0,96
0,72
D,B.
D,B.
A,B.
A,B.
A,B.
A,B.
"No additional hazards are mentioned for South Jersey Port Corp, NJ, excluding rainfall, wind, and storm surge.",Minor river or urban flooding could delay cargo movements and yard operations.
No additional hazards are mentioned.,Isolated river rises and minor flooding of low-lying terminals or access roads cannot be ruled out.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-10-2017,None
09-10-2017,None
10-10-2017,None
10-10-2017,None
09-10-2017,None
09-10-2017,None
3,0
5,0
1,None
2,None
0,None
0,None
A,A.
A,A.
