response,ground_truth
No,Yes
No,No
A,A.
A,A.
A,A.
A,A.
None,Hurricane Watch possible later for parts of the Yucatan Peninsula (not issued yet for U.S. coast)
None,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
None,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras (Tropical Storm Warning)"
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
35,7 mph
Florida,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
"Cuba, Florida, United States","Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
"No location matching ""Philadelphia Regional Port, PA"" is found in the provided table.",WALLOPS CDA
"No location in the provided table is identified as Philadelphia Regional Port, PA.",DANVILLE VA
X,3%
X,<3%
X,0%
0,<1%
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,3%
N/A,<3%
C,B.
B,A.
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
A,A.
A,A.
A,B.
C,D.
Central America,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Florida,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
66,72
72,93
48,120
72,140
D,D.
D,D.
A,C.
A,B.
D,D.
D,D.
No,No
No,No
C,D.
D,D.
0,72
0,93
D,B.
D,B.
A,B.
A,B.
A,A.
A,A.
"No additional hazards are described for Philadelphia Regional Port, PA.",Minor river or urban flooding and brief marine restrictions on Delaware River traffic due to reduced visibility and squally bands
"No additional hazards are mentioned for Philadelphia Regional Port, PA.",Minor river or urban flooding cannot be ruled out if heavier rain bands move over the Delaware Valley.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-10-2017,None
11-10-2017,None
09-10-2017,None
10-10-2017,None
09-10-2017,None
09-10-2017,None
3,0
4,0
3,None
3,None
3,None
0,None
A,A.
A,A.
