response,ground_truth
Yes,No
Yes,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,
None,None in effect (interests along NC coast only advised to monitor)
None,None in effect
None,
None,None in effect
None,None in effect
"33.1N, 74.8W","32.9N, 75.3W"
"32.6N, 74.1W","33.2N, 74.6W"
"32.2N, 73.8W","32.2N, 73.8W"
N,Stationary (very slow northward drift)
NNW,NNW
NNW,NNW
2,2 mph
6,5 mph
5,5 mph
"North Carolina, South Carolina, Georgia, Florida, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine, Bermuda, Nova Scotia","Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
Bermuda,"Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
"North Carolina, Virginia, Maryland, Delaware, New Jersey, New York",Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
NORFOLK VA,NORFOLK VA
OCEANA NAS VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
12,3%
12,12%
33,33%
0,<1%
0,<3%
0,6%
N/A,72
12,96
N/A,120
N/A,N/A
N/A,
N/A,120
N/A,2%
12,5%
33,33%
A,A.
D,C.
D,D.
no landfall,"Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
Off the coasts of the Carolinas,"Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
No Landfall,Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
A,A.
A,A.
A,A.
C,A.
C,B.
B,A.
Cape Hatteras,"Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
Outer Banks,"Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
"Cape Hatteras, North Carolina",Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
None,N/A
None,
None,
28,0
None,0
None,0
C,D.
D,D.
D,D.
C,A.
A,D.
A,C.
D,D.
D,D.
D,D.
No,No
No,No
No,Yes
C,C.
C,C.
D,B.
74,N/A
72,
72,
D,B.
D,A.
D,B.
A,A.
A,A.
A,B.
A,A.
D,A.
A,B.
Rip currents,High surf and dangerous rip currents may impact vessel traffic and terminal operations
Surf.,Dangerous surf and rip currents that could disrupt port small-craft operations
"There are no additional hazards affecting Port of Virginia, VA, excluding rainfall, wind, and storm surge.",Dangerous rip currents and rough seas could disrupt pilotage and small-craft operations near the harbor entrance.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""1"",
    ""in 96h"": ""4""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '2%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 2,
    ""in 48h"": 4,
    ""in 72h"": 11,
    ""in 96h"": 15
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '4%', 'in 96h': '5%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 1,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '8%', 'in 72h': '16%', 'in 96h': '29%'}"
08-07-2018,None
08-07-2018,None
10-07-2018,None
10-07-2018,None
10-07-2018,None
10-07-2018,None
11-07-2018,None
11-07-2018,None
11-07-2018,None
4,0
3,0
4,0
2,None
3,None
3,None
0,None
2,None
7,None
D,A.
A,A.
A,A.
