response,ground_truth
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,No
Yes,No
Yes,No
C,A.
C,A.
A,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
A,A.
C,A.
C,A.
C,A.
Cape Lookout to Cape Fear,Hurricane Watch and Storm Surge Watch from Edisto Beach SC to South Santee River SC
None,Hurricane Watch from Edisto Beach SC to South Santee River SC
"Outer Banks, NC to Cape Lookout, NC",Hurricane Watch from Edisto Beach SC to South Santee River SC; Storm Surge Watch from Edisto Beach SC to South Santee River SC and north of Duck NC to NC/VA border
None,Storm Surge & Hurricane Watch from Edisto Beach SC to South Santee River SC; Tropical-storm Watch north of NC/VA border to Cape Charles Light VA and Chesapeake Bay south of New Point Comfort
"Outer Banks, NC to Cape Lookout, NC","Hurricane Watch from Edisto Beach, SC to South Santee River, SC; Tropical-Storm Watch north of NC/VA border to Cape Charles Light, VA and lower Chesapeake Bay."
None,"Edisto Beach SC northward to the North Carolina–Virginia border, including the Pamlico and Albemarle Sounds"
None,None
None,None issued as of this advisory
"Wilmington, NC to Cape Lookout, NC",None issued yet
Cape Lookout to Duck,Hurricane & Storm Surge Warnings from South Santee River SC northward to Duck NC; Tropical Storm Warning from Edisto Beach SC to South Santee River SC and portions of NC/VA coast
Cape Lookout to Duck,Hurricane Warning from South Santee River SC to Duck NC; Tropical Storm Warning north of Duck NC to Cape Charles Light VA
Charleston to Wilmington,Hurricane Warning South Santee River SC to Duck NC including Albemarle & Pamlico Sounds; Storm Surge Warning South Santee River SC to Duck NC
None,"Hurricane & Storm-Surge Warning from South Santee River SC to Duck NC, including Albemarle and Pamlico Sounds"
South Santee River to Currituck Sound,"Hurricane & Storm Surge Warning from South Santee River, SC to Duck, NC including Albemarle and Pamlico Sounds."
Wilmington to Cape Lookout,None issued as of this advisory
None,None
"Wilmington, NC to Cape Hatteras, NC",None issued as of this advisory
Cape Lookout to Cape Fear,None issued yet
"34.1N, 77.2W","34.2N, 77.4W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
W,WNW
W,W
6,6 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,7 mph
"South Carolina, North Carolina, Virginia","Entire North Carolina coast, most of South Carolina coast, with tropical-storm impacts extending southward to the Georgia coast including the Port of Savannah"
"North Carolina, South Carolina, Georgia",Coasts of North Carolina and South Carolina with storm-surge 2–13 ft; tropical-storm winds extending into Georgia coast including Savannah within 3–5 days
North Carolina,"Entire South Carolina and North Carolina coasts with expanding effects into coastal Georgia, including the Port of Savannah area"
"South Carolina, North Carolina, Virginia","Entire South Carolina and North Carolina coastline, especially between South Santee River SC and Duck NC; inland sections of the Carolinas and southern Mid-Atlantic"
"North Carolina, South Carolina, Virginia","Entire southeast U.S. coastline from northern Florida through the Carolinas and into the Mid-Atlantic, greatest impacts NC/SC."
"South Carolina, North Carolina, Virginia","South Carolina and North Carolina coasts, with swell and rip-current impacts extending southward to the Georgia coast"
"South Carolina, North Carolina",Coast from Georgia northward through South Carolina and North Carolina to the Mid-Atlantic states
"North Carolina, South Carolina",Southeastern U.S. coastline from Georgia northward through the Carolinas and into the Mid-Atlantic
"South Carolina, North Carolina, Virginia","Surf and eventual wind impacts expected from northeast Florida through the entire Carolina coastline, highest over North and South Carolina"
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
SAVANNAH GA,SAVANNAH GA
30,30%
48,48%
48,51%
37,42%
20,20%
15,15%
26,26%
27,27%
23,23%
30,0% (below 3%)
15,15%
48,17%
37,12%
16,0%
15,0%
4,6%
14,7%
23,7%
21,72
12,48
96,84
42,72
72,120
72,96
72,120
144,120
192,120
30,N/A
72,72
48,96
72,96
72,N/A
96,N/A
48,120
27,120
108,120
30,30%
48,18%
51,24%
42,19%
20,20%
8,8%
26,26%
14,27%
23,23%
C,D.
B,C.
D,B.
B,D.
C,B.
A,B.
A,A.
A,A.
D,B.
extreme southeastern North Carolina to extreme eastern South Carolina,"Entire North Carolina coast, most of South Carolina coast, with tropical-storm impacts extending southward to the Georgia coast including the Port of Savannah"
South Santee River South Carolina to Duck North Carolina,Coasts of North Carolina and South Carolina with storm-surge 2–13 ft; tropical-storm winds extending into Georgia coast including Savannah within 3–5 days
South Santee River South Carolina to Duck North Carolina,"Entire South Carolina and North Carolina coasts with expanding effects into coastal Georgia, including the Port of Savannah area"
"Cape Fear, North Carolina to South Carolina","Entire South Carolina and North Carolina coastline, especially between South Santee River SC and Duck NC; inland sections of the Carolinas and southern Mid-Atlantic"
"South Santee River, South Carolina to Duck, North Carolina","Entire southeast U.S. coastline from northern Florida through the Carolinas and into the Mid-Atlantic, greatest impacts NC/SC."
