response,ground_truth
Yes,Yes
Yes,Yes
B,A.
B,A.
B,A.
B,A.
None,None
Galveston to Cameron,"Tropical Storm Watch/Warning posted from Baffin Bay to High Island, TX (west of Port Arthur)"
None,"Tropical Storm Warning from Baffin Bay to High Island, TX (ends west of Port Arthur)"
None,"Tropical Storm Warning from Baffin Bay to High Island, TX"
"27.6N, 95.3W","27.9N, 95.7W"
"27.1N, 94.2W","27.1N, 94.2W"
NW,NW
NW,NW
50,13 mph
50,12 mph
Texas,Central and upper Texas coast eastward into western Louisiana
TX,Middle and upper Texas coast and adjacent western Louisiana shoreline
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
30,30%
30,30%
0,1%
0,<3%
0,12
12,12
N/A,N/A
N/A,N/A
28,28%
30,28%
D,D.
C,C.
Baffin Bay to High Island Texas,Central and upper Texas coast eastward into western Louisiana
Baffin Bay to High Island Texas,Middle and upper Texas coast and adjacent western Louisiana shoreline
B,B.
B,B.
A,A.
A,A.
Texas coast,Central and upper Texas coast eastward into western Louisiana
Texas,Middle and upper Texas coast and adjacent western Louisiana shoreline
9,6
30,10
None,24
None,N/A
C,D.
D,B.
C,B.
C,B.
A,B.
A,B.
No,Yes
No,Yes
A,A.
A,A.
3,6
6,10
A,B.
A,A.
C,C.
C,C.
C,C.
C,C.
Tornadoes are possible across portions of eastern Texas.,Isolated tornadoes in outer rainbands; brief white-out squalls could reduce visibility for vessel traffic.
"No additional hazards are mentioned for Port Arthur, TX, excluding rainfall, wind, and storm surge.",Brief tornadoes or waterspouts cannot be ruled out in outer rainbands; reduced visibility and temporary closure of channel operations due to heavy rain and gusty squalls.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 69,
    ""in 24h"": 3,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '28%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 69,
    ""in 24h"": 8,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '28%', 'in 24h': '2%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
16-06-2015,None
16-06-2015,None
16-06-2015,None
16-06-2015,None
16-06-2015,None
16-06-2015,None
3,0
2,0
1,None
3,None
30,None
30,None
A,A.
B,A.
