response,ground_truth
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
No,Yes
Yes,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,"Tropical Storm Watch from South Santee River SC to Duck NC, including Pamlico and Albemarle Sounds"
Florida coast to South Carolina coast,Chassahowitzka FL to Anna Maria Island FL (incl. Tampa Bay); MS/AL border to Mouth of Pearl River; Fernandina Beach FL to South Santee River SC
None,None (watches confined to northeastern Gulf Coast)
None,Hurricane Watch from Alabama-Florida border to Suwannee River FL; Tropical Storm Watch from Suwannee River to Anna Maria Island FL and AL-MS border
None,Tropical-storm warnings for Pinar del Río & Isle of Youth (Cuba) and the coast of Mexico from Tulum to Cabo Catoche.  Hurricane and tropical-storm watches expected later for the northeastern Gulf Coast (FL Panhandle).
None,No U.S. watches in effect as of this advisory
None,"Tropical Storm Watch in effect from Tulum to Cabo Catoche, Mexico"
Cuba to Florida,"Tulum to Cabo Catoche, Yucatan Peninsula (Tropical Storm Watch)"
"FL/GA border to Cape Lookout, NC",Tropical Storm Warning north of Fernandina Beach FL to South Santee River SC; Hurricane Warning Alabama/Florida border to Suwannee River FL; Storm Surge Warning Okaloosa/Walton Co. Line FL to Anclote River FL
Florida Panhandle to North Carolina coast,Hurricane: AL/FL border to Suwannee River FL.  Tropical-Storm: AL/FL border to MS/AL border and Suwannee River to Chassahowitzka FL
Florida panhandle to South Carolina,None (warnings confined to northeastern Gulf Coast)
Mexico to Florida,Hurricane Warning Pinar del Rio (Cuba); Tropical Storm Warning Isle of Youth (Cuba) and Tulum-Cabo Catoche (MX); Storm-Surge Watch Navarre FL to Anna Maria Island FL
Florida Panhandle to South Carolina,Same as watch area above (tropical-storm warning in Cuba & Yucatán).  No U.S. Atlantic-coast warnings yet.
South Florida coast to coast of South Carolina,No U.S. warnings in effect as of this advisory
None,Tropical Storm Warning for the Cuban provinces of Pinar del Rio and the Isle of Youth
None,"Pinar del Rio and Isle of Youth, Cuba (Tropical Storm Warning)"
"26.6N, 86.5W","27.7N, 86.6W"
"24.5N, 86.1W","25.4N, 86.4W"
"22.7N, 85.2W","23.6N, 85.7W"
"20.9N, 85.1W","21.7N, 85.1W"
"19.9N, 85.4W","20.1N, 85.5W"
"18.9N, 86.8W","19.2N, 86.9W"
"18.3N, 86.6W","18.4N, 87.1W"
"18.0N, 86.6W","18.0N, 86.6W"
N,N (forecast to turn NE)
NNW,N
N,NNW
N,N
N,N
N,Stationary (expected to resume northward later today)
N,NW
NW,NW
12,12 mph
12,12 mph
12,12 mph
7,7 mph
60,5 mph
3,0 mph
6,5 mph
30,6 mph
"Florida, Georgia, South Carolina, North Carolina, Virginia","Florida Panhandle, southeast Alabama–Georgia, Carolinas, coastal Mid-Atlantic, and offshore waters south of New England"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Northern Gulf Coast, southeastern U.S., Carolinas, Mid-Atlantic and New England coastline"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Northeastern Gulf Coast, then inland across GA–SC–NC and eventually the Mid-Atlantic and southern New England coastline including Cape Cod and Massachusetts Bay"
"Florida Panhandle, Big Bend, SW Georgia, SE Georgia, SC, NC","Florida Gulf Coast, then across GA/SC/NC and northward along the Mid-Atlantic and southern New England coastline"
"Florida Panhandle, Georgia, South Carolina, North Carolina",Florida Panhandle → Georgia & Carolinas inland → Mid-Atlantic → offshore New England (including Cape Cod and Gulf of Maine waters).
"Florida, Georgia, South Carolina, North Carolina, Virginia","Florida Panhandle to the entire U.S. East Coast, including New England during days 4-5"
"Cuba, Florida",Greatest impacts expected along the Florida Panhandle and then inland across the southeastern United States
"Cuba, Florida","Western Cuba, Yucatan Peninsula, Gulf Coast of Florida (mainly the Panhandle), then inland across GA/SC/NC"
HYANNIS MA,HYANNIS MA
HYANNIS MA,HYANNIS MA
BOSTON MA,BOSTON MA
BOSTON MA,BOSTON MA
HYANNIS MA,HYANNIS MA
HYANNIS MA,HYANNIS MA
SPRINGFIELD MA,HYANNIS MA
CHARLOTTESVIL,None
0,5%
0,11%
10,4%
4,4%
0,10%
X,6%
X,4%
X,0%
X,0%
0,2%
4,0%
4,0%
0,3%
X,0%
0,0%
0,0%
N/A,60
11,120
72,96
120,120
N/A,120
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,96
N/A,
N/A,0
N/A,120
N/A,
N/A,
N/A,N/A
N/A,5%
N/A,11%
4,4%
4,4%
X,10%
N/A,6%
N/A,4%
N/A,0%
B,D.
B,C.
D,C.
B,A.
C,B.
D,B.
D,B.
A,B.
Alabama/Florida border to Suwannee River Florida,"Florida Panhandle, southeast Alabama–Georgia, Carolinas, coastal Mid-Atlantic, and offshore waters south of New England"
Florida Panhandle or Florida Big Bend area,"Northern Gulf Coast, southeastern U.S., Carolinas, Mid-Atlantic and New England coastline"
Alabama/Florida border to Suwannee River Florida,"Northeastern Gulf Coast, then inland across GA–SC–NC and eventually the Mid-Atlantic and southern New England coastline including Cape Cod and Massachusetts Bay"
Florida Panhandle or Florida Big Bend area,"Florida Gulf Coast, then across GA/SC/NC and northward along the Mid-Atlantic and southern New England coastline"
