response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes,No
Yes,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,B.
A,B.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Hurricane watch for Prince Edward Island and Magdalen Islands; Tropical-storm watch none in Mid-Atlantic
None,Tropical Storm Watch still posted for portions of New Brunswick and Newfoundland; none along the Delaware coast
None,None
None,None
"Cape Hatteras, NC to the Outer Banks, NC","Tropical Storm Watch from north of Chincoteague, VA to Fenwick Island, DE; Chesapeake Bay Smith Point–Drum Point; Tidal Potomac south of Cobb Island; Woods Hole–Sagamore Beach, MA including Nantucket & Martha’s Vineyard"
"Outer Banks, NC to Cape Hatteras, NC","North of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, and the tidal Potomac south of Cobb Island"
None to None,"Tropical Storm Watch is posted from the NC/VA border to Chincoteague, VA and Chesapeake Bay south of Smith Point (south of Delaware)."
None,Tropical Storm Watch from the NC/VA border to Chincoteague VA and Chesapeake Bay south of Smith Point
None to None,"Hurricane and tropical-storm watches presently extend from north of Deerfield Beach, FL to South Santee River, SC."
None,Hurricane Watch: North of Deerfield Beach FL to Jupiter Inlet FL and North of Ponte Vedra Beach FL to South Santee River SC. Storm Surge Watch: North of Deerfield Beach FL to south of Lantana FL and Altamaha Sound GA to South Santee River SC.
None,Hurricane warnings for eastern Nova Scotia and western Newfoundland; Tropical-storm warnings Woods Hole MA to Eastport ME and parts of Atlantic Canada
Nova Scotia to Newfoundland,"Hurricane Warning eastern Nova Scotia; Tropical Storm Warning Cape Cod, Martha’s Vineyard/Nantucket, eastern Maine and portions of Atlantic Canada"
South Carolina to North Carolina,North Carolina/Virginia border to Fenwick Island DE (including lower Chesapeake Bay and southern tidal Potomac)
Florida to North Carolina,"North Carolina/Virginia border to Fenwick Island DE, including lower Chesapeake Bay and tidal Potomac"
"South Carolina to Cape Lookout, North Carolina","Hurricane Warning Savannah River, SC to NC/VA border including Pamlico & Albemarle Sounds; Tropical Storm Warning NC/VA border to Chincoteague, VA and lower Chesapeake Bay"
