response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
A,A.
A,A.
B,B.
B,A.
A,B.
A,B.
A,B.
A,A.
A,A.
None,None
None,None
None,British Virgin Islands
None,"U.S. Virgin Islands, Puerto Rico (including Vieques and Culebra), British Virgin Islands"
None,Puerto Rico and the U.S. Virgin Islands are expected to be placed under a Tropical Storm Watch later today
None,"U.S. Virgin Islands, Puerto Rico (including Vieques & Culebra), and British Virgin Islands"
None,"U.S. Virgin Islands, Puerto Rico (including Vieques and Culebra) and British Virgin Islands"
None,U.S. Virgin Islands and Puerto Rico (including Vieques and Culebra)
None,"Grenada and its dependencies, St. Vincent and the Grenadines"
None,"Trinidad and Tobago, Grenada and its dependencies"
"16.3N, 65.7W","16.8N, 65.8W"
"15.5N, 65.2W","15.9N, 65.6W"
"13.1N, 63.5W","13.6N, 63.9W"
"12.7N, 62.3W","12.9N, 62.7W"
"11.9N, 60.2W","11.9N, 60.2W"
N,N
NNW,NNW
WNW,NW
WNW,WNW
WNW,WNW
35,7 mph
12,13 mph
12,8 mph
40,13 mph
9,9 mph
Puerto Rico,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
"Puerto Rico
U.S. Virgin Islands
British Virgin Islands","Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Puerto Rico,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
"Puerto Rico
Dominican Republic
Virgin Islands
Anguilla
St. Kitts and Nevis
Montserrat
Guadeloupe
St. Lucia
Martinique
Barbados
Grenada
Saint Vincent and the Grenadines
Dominica",Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
"Puerto Rico, U.S. Virgin Islands, Lesser Antilles, Hispaniola","Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
SAINT CROIX,SAINT CROIX
6,6%
41,41%
26,26%
34,34%
38,38%
0,0%
0,<3%
3,3%
5,5%
6,6%
30,6
15,36
16,48
33,36
36,120
N/A,N/A
N/A,N/A
72,48
72,36
N/A,96
6,4%
38,41%
26,26%
34,19%
38,38%
C,C.
A,A.
C,C.
A,A.
B,B.
Puerto Rico to U.S. Virgin Islands,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
Puerto Rico to U.S. Virgin Islands,"Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Puerto Rico and the Virgin Islands,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
Southern Windward Islands to U.S. Virgin Islands,Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
Windward Islands,"Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
B,B.
A,A.
B,B.
B,B.
B,B.
D,D.
A,A.
C,C.
A,A.
C,C.
Bermuda,"Puerto Rico, U.S. & British Virgin Islands, portions of the northern Leeward Islands"
Puerto Rico,"Puerto Rico and the Virgin Islands, with heavy rain also possible in the northern Leeward Islands"
Puerto Rico,Eastern Caribbean from the Lesser Antilles northward through the Virgin Islands and Puerto Rico
No landfall expected.,Eastern Caribbean from Windward Islands northward to Puerto Rico and the U.S./British Virgin Islands
Puerto Rico,"Windward Islands, Leeward Islands, Puerto Rico and the U.S. Virgin Islands"
None,6
None,12
12,30
None,40
None,48
30,12
16,24
72,36
24,60
15,72
D,D.
D,D.
D,D.
D,D.
D,D.
C,B.
B,B.
C,B.
C,B.
C,B.
A,B.
B,C.
C,C.
C,C.
C,D.
No,No
Yes,Yes
No,Yes
Yes,No
No,Yes
C,A.
A,A.
C,B.
C,B.
C,C.
6,6
3,12
36,30
48,40
12,48
A,A.
A,A.
A,A.
A,B.
D,A.
C,A.
A,A.
D,A.
D,A.
A,B.
C,D.
C,D.
C,D.
D,B.
"Flash flooding and mudslides are hazards associated with the possible future storm at Virgin Islands - St. Croix, VI.",Rough seas and dangerous rip currents; possible mudslides in steep terrain
Mudslides are an additional hazard.,Flash flooding and rapid rises on small streams; minor power interruptions possible.
Mudslides.,Rough seas and dangerous rip currents around the port approaches
"Mudslides are a potential hazard for the Virgin Islands - St. Croix, VI.",Rapidly deteriorating sea state and hazardous marine conditions affecting vessel operations and harbor approaches.
"No other hazards are mentioned for Virgin Islands - St. Croix, VI, excluding rainfall, wind, and storm surge.",Rough seas and hazardous marine conditions beginning late Tuesday could disrupt port operations.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 11,
    ""in 24h"": 11,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '4%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""17"",
    ""in 24h"": ""47"",
    ""in 48h"": ""8"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '5%', 'in 24h': '38%', 'in 48h': '41%', 'in 72h': '41%', 'in 96h': '41%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""18"",
    ""in 72h"": ""8"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '2%', 'in 24h': '18%', 'in 48h': '26%', 'in 72h': '26%', 'in 96h': '26%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 2,
    ""in 48h"": 22,
    ""in 72h"": 33,
    ""in 96h"": 35
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '22%', 'in 72h': '33%', 'in 96h': '34%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 53,
    ""in 24h"": 11,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '13%', 'in 72h': '36%', 'in 96h': '37%'}"
24-09-2019,9/23/2019
23-09-2019,9/23/2019
24-09-2019,9/23/2019
24-09-2019,9/23/2019
24-09-2019,9/23/2019
24-09-2019,9/21/2019
24-09-2019,9/21/2019
24-09-2019,9/21/2019
24-09-2019,9/21/2019
25-09-2019,9/21/2019
25-09-2019,9/23/2019
25-09-2019,9/23/2019
24-09-2019,9/23/2019
27-09-2019,9/23/2019
27-09-2019,9/23/2019
5,3
2,3
3,3
3,3
4,3
1,5.0
1,5.0
2,5.0
2,5.0
0,5.0
9,0.711894902
38,0.711894902
26,0.711894902
22,0.711894902
23,0.711894902
C,C.
B,C.
C,C.
B,C.
C,C.
