response,ground_truth
Yes,Yes
Yes,No
Yes,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,Tropical-storm watch/warning confined to Navarre FL to Yankeetown FL (Gulf Coast)
None,None
None,none in Mid-Atlantic; tropical-storm and storm-surge watches limited to Gulf Coast
None,"Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River (tropical-storm watch areas east of the Ochlockonee River to Yankeetown, FL)"
None,Tropical-storm warning Navarre FL to Yankeetown FL; Storm-surge warning Indian Pass FL to Clearwater Beach FL
None,"Tropical Storm Warning from the Mississippi/Alabama border to Yankeetown, FL and from Grand Isle, LA to the Mouth of the Pearl River; Storm Surge Warning Indian Pass, FL to Clearwater Beach, FL"
None,"Tropical-storm warning: Mississippi/Alabama border to Yankeetown, FL and Grand Isle, LA to Mouth of Pearl River; Storm-surge warning: Indian Pass, FL to Clearwater Beach, FL"
None,"Mississippi/Alabama border to the Ochlockonee River, FL and Grand Isle, LA to the Mouth of the Pearl River (tropical-storm warnings); Indian Pass to Clearwater Beach, FL (storm-surge watch)"
"27.6N, 87.6W","28.8N, 86.3W"
"25.1N, 91.2W","26.3N, 89.5W"
"23.3N, 94.6W","24.1N, 93.2W"
"22.4N, 95.7W","22.4N, 95.7W"
NE,NE
NE,NE
NE,NE
N,N
60,20 mph
40,22 mph
40,12 mph
8,7 mph
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York","Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
"Florida
Georgia
South Carolina
North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
Connecticut
Rhode Island","Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, Connecticut, Rhode Island, Massachusetts","northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
"FLORIDA, GEORGIA, SOUTH CAROLINA, NORTH CAROLINA, VIRGINIA","Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
NORFOLK NAS,NORFOLK VA
OCEAN CITY MD,OCEAN CITY MD
OCEAN CITY MD,OCEAN CITY MD
ANNAPOLIS MD,ANNAPOLIS MD
X,6%
0,5%
0,7%
3,3%
"The provided text does not contain any information for Baltimore, MD.",0%
X,0%
0,0%
0,0%
N/A,48
N/A,72
N/A,96
48,96
N/A,N/A
N/A,N/A
N/A,N/A
N/A,
N/A,6%
N/A,3%
N/A,7%
2,3%
D,A.
C,A.
C,D.
B,C.
Navarre Florida to Yankeetown Florida,"Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
Mississippi/Alabama border to Yankeetown Florida,"Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
Mississippi/Alabama border to Yankeetown Florida,"northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
"Grand Isle, Louisiana to the Mouth of the Pearl River","Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
B,B.
B,B.
A,B.
B,C.
D,C.
B,A.
B,C.
Florida Panhandle,"Florida Panhandle, inland Georgia, South Carolina and North Carolina coasts, and eventually the mid-Atlantic offshore waters"
Florida,"Northern Gulf Coast (LA–FL), inland Southeast states, then coastal North Carolina and adjacent Atlantic waters"
Florida,"northern Gulf Coast, Florida Peninsula, coastal GA/SC/NC and offshore Mid-Atlantic waters"
Florida,"Northern Gulf Coast Friday–Saturday, then the Atlantic coast from Florida through the Carolinas and offshore of the Mid-Atlantic Sunday–Monday"
6,6
None,12
28,24
77,33
None,48
73,72
61,96
73,96
D,D.
D,D.
D,D.
D,D.
A,B.
A,C.
A,C.
A,B.
D,C.
D,D.
D,D.
C,D.
No,No
No,No
No,No
No,No
D,C.
C,C.
D,D.
C,D.
48,6
88,12
76,24
79,33
D,B.
D,B.
D,B.
D,B.
B,B.
B,B.
B,B.
B,B.
A,B.
A,B.
A,B.
A,B.
"No additional hazards are indicated for Baltimore, MD.",Brief reduced visibility in heavy rain bands; elevated seas and short-period swell on approaches to Chesapeake Bay may affect pilot boarding operations
Tornadoes are possible.,None
"No additional hazards are mentioned for Baltimore, MD.",Rough bay/near-shore seas and minor tidal flooding possible in the Chesapeake Bay
"There are no additional hazards indicated for Baltimore, MD.",Elevated seas and minor coastal flooding/rip currents along Maryland beaches; brief marine squalls possible in outer rain bands.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 98,
    ""in 24h"": 1,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '<1%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 3,
    ""in 96h"": 3
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '3%', 'in 96h': '1%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 1,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '5%', 'in 96h': '2%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""3"",
    ""in 72h"": ""27"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '1%', 'in 96h': '2%'}"
03-10-2019,10/17/2019
20-10-2019,10/17/2019
21-10-2019,10/17/2019
21-10-2019,10/17/2019
20-10-2019,10/17/2019
20-10-2019,10/17/2019
20-10-2019,10/17/2019
20-10-2019,10/17/2019
20-10-2019,10/17/2019
21-10-2019,10/17/2019
22-10-2019,10/17/2019
21-10-2019,10/17/2019
3,2
4,2
3,2
4,2
1,2.0
3,2.0
2,2.0
2,2.0
0,0.638199857
0,0.638199857
0,0.638199857
2,0.638199857
A,C.
A,C.
A,C.
A,C.
