response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None in effect north of Surf City NC
"Outer Banks, North Carolina to Virginia Beach, Virginia",Tropical-storm watches not in effect for the mid-Atlantic coast at this time
None,"Surf City to Duck NC, including Pamlico and Albemarle Sounds"
None,"Surf City to Duck, NC including Pamlico and Albemarle Sounds"
None,"Tropical Storm Warning from Surf City to Duck NC, including Pamlico and Albemarle Sounds"
Outer Banks to North of Cape Lookout,"Tropical Storm Warning from Surf City to Duck, NC including Pamlico and Albemarle Sounds"
None,None (a Tropical Storm Warning may be required for parts of the NC coast Sunday morning)
None,None
"31.8N, 77.0W","32.4N, 76.9W"
"30.3N, 77.4W","30.5N, 77.4W"
"28.9N, 77.9W","29.4N, 77.7W"
"28.4N, 78.6W","28.4N, 78.6W"
NNE,NNE
NNE,NNE
NE,NNE
NNE,NNE
9,10 mph
9,9 mph
35,13 mph
35,13 mph
North Carolina,North Carolina coast and Outer Banks; long-period swells spreading to the entire U.S. Mid-Atlantic shoreline
North Carolina,Coastal North Carolina (Surf City through Outer Banks) with swell and rip-current impacts spreading northward along the mid-Atlantic coast
"Florida
North Carolina
Virginia
Maryland
Delaware
New Jersey
New York
Connecticut
Rhode Island
Massachusetts
New Hampshire
Maine","Swells and fringe tropical-storm conditions possible from east-central Florida northward to the Mid-Atlantic coast, with greatest impacts along the North Carolina coast."
"South Carolina, North Carolina, Virginia",Florida east-central coast northward through the Carolinas and the broader southeast & mid-Atlantic shoreline
OCEAN CITY MD,OCEAN CITY MD
OCEAN CITY MD,OCEAN CITY MD
DOVER DE,"PAX RIVER NAS, MD"
DOVER DE,PAX RIVER NAS
X,9%
X,13%
3,3%
0,3%
0,0%
X,0%
0,0%
0,0%
N/A,6–12
N/A,36
N/A,96
N/A,96
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,4%
N/A,5%
N/A,3%
N/A,3%
A,C.
A,B.
C,A.
D,B.
Surf City to Duck NC,North Carolina coast and Outer Banks; long-period swells spreading to the entire U.S. Mid-Atlantic shoreline
Surf City to Duck NC,Coastal North Carolina (Surf City through Outer Banks) with swell and rip-current impacts spreading northward along the mid-Atlantic coast
