response,ground_truth
No,Yes
No,Yes
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None for the U.S. coast (only Mexico under a Tropical Storm Warning at this time)
None,"Campeche to Puerto de Veracruz, Mexico"
None,"Tropical Storm Watch/Warning limited to Campeche to Puerto de Veracruz, Mexico (no U.S. coastline)"
None,Tropical-storm watch/warning limited to southern Bay of Campeche coast: Campeche to Puerto de Veracruz (Mexico)
None,None for the U.S. coast
None,"Campeche to Puerto de Veracruz, Mexico"
None,"Tropical Storm Warning: Campeche to Puerto de Veracruz, Mexico"
None,Campeche to Puerto de Veracruz (Mexico)
"19.1N, 92.3W","19.0N, 92.1W"
"19.6N, 92.4W","19.2N, 92.8W"
"19.6N, 91.6W","19.6N, 92.0W"
"19.6N, 91.2W","19.6N, 91.2W"
S,SE
W,SW
WNW,W
WNW,WNW
3,2 mph
3,3 mph
7,5 mph
7,7 mph
"Mexico, Louisiana, Mississippi, Alabama, Florida",Central and northern Gulf Coast from the Texas–Louisiana border eastward to Mississippi/Alabama likely to experience impacts
"Mexico, Belize, Guatemala, Honduras, Nicaragua, Cuba, Jamaica, Florida","Southern Bay of Campeche coast and, by days 4-5, the north-central Gulf Coast from Texas/Louisiana line eastward to Mississippi"
"Mexico, Cuba, Belize, Honduras",Southern Bay of Campeche and adjacent Mexican coastline
Mexico,Southern Bay of Campeche coast of Mexico
PORT ARTHUR TX,PORT ARTHUR TX
CAMERON LA,CAMERON LA
FRONTERA MX,VERACRUZ MX (closest listed point in probability table)
FRONTERA MX,VERACRUZ MX (closest listed point in probability table; no Texas points listed)
7,7%
6,3%
0,0%
X,0%
0,<1%
"This document does not contain information for Port Arthur, TX.",0%
0,0%
0,0%
48,120
N/A,120
N/A,N/A
N/A,
N/A,N/A
N/A,N/A
N/A,N/A
N/A,
7,7%
N/A,3%
N/A,0%
N/A,0%
D,D.
D,D.
D,A.
B,C.
Campeche to Puerto de Veracruz,Central and northern Gulf Coast from the Texas–Louisiana border eastward to Mississippi/Alabama likely to experience impacts
Campeche to Puerto de Veracruz,"Southern Bay of Campeche coast and, by days 4-5, the north-central Gulf Coast from Texas/Louisiana line eastward to Mississippi"
Campeche to Puerto de Veracruz,Southern Bay of Campeche and adjacent Mexican coastline
Campeche to Puerto de Veracruz,Southern Bay of Campeche coast of Mexico
B,B.
B,B.
A,A.
A,A.
C,C.
A,A.
B,B.
B,B.
Gulf Coast,Central and northern Gulf Coast from the Texas–Louisiana border eastward to Mississippi/Alabama likely to experience impacts
Yucatan Peninsula,"Southern Bay of Campeche coast and, by days 4-5, the north-central Gulf Coast from Texas/Louisiana line eastward to Mississippi"
Yucatan Peninsula,Southern Bay of Campeche and adjacent Mexican coastline
Yucatan Peninsula,Southern Bay of Campeche coast of Mexico
43,96
52,108
49,36-48
40,
None,36
None,96
None,0
None,
D,D.
D,D.
D,D.
C,D.
A,B.
A,B.
A,A.
A,A.
D,D.
D,D.
"The provided table does not contain any data for Port Arthur, TX. Therefore, I cannot answer your question.",A.
"The provided data does not contain information for Port Arthur, TX. Therefore, I cannot answer your question.",A.
No,No
No,No
No,No
No,No
A,D.
D,D.
D,A.
D,A.
0,96
36,108
0,36-48
0,
D,B.
D,B.
D,D.
D,D.
A,D.
B,A.
A,B.
A,B.
A,D.
A,D.
A,B.
A,B.
"No additional hazards beyond rainfall, wind, and storm surge are identified for Port Arthur, TX.",Prolonged onshore flow may slow vessel movements in the Sabine Pass channel; elevated river levels and possible mud-slides on upland terminal access roads.
Mudslides,"Localized flooding in low-lying areas possible from heavy rain; otherwise, no significant hazards currently indicated"
"No additional hazards are forecast for Port Arthur, TX.",None
"There are no additional hazards mentioned for Port Arthur, TX.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""1"",
    ""in 96h"": ""5""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 9,
    ""in 48h"": 20,
    ""in 72h"": 22,
    ""in 96h"": 23
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 2,
    ""in 72h"": 3,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 2,
    ""in 48h"": 8,
    ""in 72h"": 19,
    ""in 96h"": 26
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
06-06-2020,None
07-06-2020,None
05-06-2020,None
05-06-2020,None
07-06-2020,None
07-06-2020,None
04-06-2020,None
05-06-2020,None
07-06-2020,None
07-06-2020,None
06-06-2020,None
06-06-2020,None
5,0
3,0
3,0
5,0
7,None
2,None
1,None
3,None
7,None
0,None
None,None
None,None
C,A.
A,A.
A,A.
A,A.
