response,ground_truth
No,No
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,"Campeche to Puerto de Veracruz, Mexico (tropical-storm watch/warning area only in southern Gulf of Mexico)"
None,
None,None (current watch area lies entirely along the southern Bay of Campeche)
None,None in effect (only a Tropical Storm Warning is posted)
None,"Campeche to Puerto de Veracruz, Mexico"
None,Campeche to Puerto de Veracruz (MX)
None,"Campeche to Puerto de Veracruz, Mexico"
None,"Tropical Storm Warning from Campeche to Puerto de Veracruz, Mexico"
"19.1N, 92.3W","19.0N, 92.1W"
"19.6N, 92.4W","19.2N, 92.8W"
"19.6N, 91.6W","19.6N, 92.0W"
"19.6N, 91.2W","19.6N, 91.2W"
S,SE
W,SW
WNW,W
WNW,WNW
3,2 mph
3,3 mph
7,5 mph
7,7 mph
"Florida, Mexico, Cuba, Alabama, Mississippi, Louisiana, Texas, Georgia",southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Mexico,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Mexico,Southern Bay of Campeche coastline
Mexico,Southern Bay of Campeche coastline of Mexico
"The table does not contain any weather forecast locations for Kansas City Port Authority, MO.",None listed (Kansas City not included in wind-probability table)
N/A,KEESLER AB (MS)
VERACRUZ MX,None
MERIDA MX,None (no U.S. interior locations listed in the wind-probability table)
X,0%
0,0%
0,0%
0,0%
0,0%
X,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
N/A,0%
N/A,0%
A,D.
D,A.
D,C.
B,B.
Campeche to Puerto de Veracruz,southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Campeche to Puerto de Veracruz,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Campeche to Puerto de Veracruz,Southern Bay of Campeche coastline
Campeche to Puerto de Veracruz,Southern Bay of Campeche coastline of Mexico
B,B.
B,B.
A,A.
A,A.
C,B.
A,D.
D,B.
C,B.
Mexico,southern Bay of Campeche coast now; central U.S. Gulf Coast (mainly Louisiana–Mississippi) by late weekend
Yucatan Peninsula,"Southern Bay of Campeche coast of Mexico and, later in the period, the U.S. Gulf Coast from Texas to Mississippi"
Yucatan Peninsula,Southern Bay of Campeche coastline
Yucatan Peninsula,Southern Bay of Campeche coastline of Mexico
24,108
40,108
71,24
12,24-36
None,N/A
None,N/A
None,999
None,N/A
D,D.
D,D.
D,D.
D,D.
A,A.
A,A.
A,A.
A,A.
D,A.
D,A.
D,A.
A,A.
No,No
No,No
No,No
No,No
D,A.
D,A.
D,A.
D,A.
0,108
0,108
36,24
0,24-36
D,B.
D,B.
D,D.
D,D.
A,B.
A,B.
A,B.
A,B.
A,A.
A,A.
A,B.
A,B.
"There are no other hazards mentioned for Kansas City Port Authority, MO.",Brief river/flash-flood potential on the Missouri River and tributaries if bands set up over the basin
"There are no additional hazards associated with the possible future storm at Kansas City Port Authority, MO.",Isolated river/stream rises or localized flooding in low-lying areas if heavier rain bands reach the Missouri River basin
"No additional hazards are associated with the possible future storm at Kansas City Port Authority, MO.",None
"No additional hazards are mentioned for Kansas City Port Authority, MO.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""99"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 1,
    ""in 48h"": 1,
    ""in 72h"": 2,
    ""in 96h"": 3
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 2,
    ""in 72h"": 3,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 2,
    ""in 48h"": 4,
    ""in 72h"": 7,
    ""in 96h"": 10
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
07-06-2020,None
07-06-2020,None
06-06-2020,None
07-06-2020,None
07-06-2020,None
12-06-2020,None
05-06-2020,None
10-06-2020,None
07-06-2020,None
07-06-2020,None
06-06-2020,None
06-06-2020,None
5,0
5,0
3,0
5,0
3,None
5,None
1,None
2,None
0,None
None,None
None,None
None,None
A,A.
A,A.
A,A.
A,A.
