response,ground_truth
No,No
No,No
A,A.
A,A.
A,A.
A,A.
None,None for Florida – warnings confined to Cape May NJ to Watch Hill RI including Long Island
None,"None for Florida; Tropical Storm Watch/Warning area begins at Cape May, NJ northward"
None,Cape May NJ to Watch Hill RI including Long Island and Long Island Sound
None,"Cape May, New Jersey to Watch Hill, Rhode Island including Long Island and Long Island Sound"
"36.7N, 74.9W","37.4N, 74.8W"
"35.5N, 74.9W","35.5N, 74.9W"
N,N
N,N
45,10 mph
7,7 mph
"New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Mid-Atlantic and New England coastline from Maryland northward
"New Jersey, New York, Connecticut, Rhode Island, Massachusetts",coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
"No location in the table is close to Jacksonville, FL.",OCEAN CITY MD
None,"None (Jacksonville, FL not listed in wind-probability table)"
X,0%
X,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
C,D.
B,D.
mid-Atlantic coast,Mid-Atlantic and New England coastline from Maryland northward
Cape May New Jersey to Watch Hill Rhode Island,coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
B,B.
B,B.
B,A.
A,C.
Outer Banks,Mid-Atlantic and New England coastline from Maryland northward
North Carolina,coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
6,18
15,20
None,0
None,0
C,D.
D,D.
A,A.
A,A.
D,A.
D,A.
No,No
No,No
D,A.
D,A.
0,18
0,20
D,D.
D,D.
A,B.
A,B.
A,B.
A,B.
"No additional hazards are mentioned for Jacksonville, FL.",None
"There are no additional hazards associated with the possible future storm at Jacksonville, FL, excluding rainfall, wind, and storm surge.","None anticipated that would affect port operations in Jacksonville, FL."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 11,
    ""in 24h"": 21,
    ""in 48h"": 1,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-07-2020,7/10/2020
09-07-2020,7/10/2020
10-07-2020,7/11/2020
09-07-2020,7/11/2020
10-07-2020,7/10/2020
11-07-2020,7/10/2020
3,2
3,2
1,1.0
1,1.0
None,0.404272409
None,0.404272409
A,B.
A,B.
