response,ground_truth
No,No
Yes,No
A,A.
A,A.
A,A.
A,A.
None,None affecting South Carolina; watches (yellow) only north of Cape May NJ
None,Tropical Storm Warning in effect from Cape May NJ to Watch Hill RI including Long Island and Long Island Sound
Block Island to Watch Hill,"Tropical Storm Warning from Cape May, NJ to Watch Hill, RI including Long Island and Long Island Sound"
None,same as watch area (Cape May NJ to Watch Hill RI)
"36.7N, 74.9W","37.4N, 74.8W"
"35.5N, 74.9W","35.5N, 74.9W"
N,N
N,N
45,10 mph
7,7 mph
"New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Mid-Atlantic coast from Delaware northward to southern New England
"New England, Mid-Atlantic",Mid-Atlantic coastline from North Carolina northward through New England
None,None listed for South Carolina; nearest table entries begin at Ocean City MD
"No location in the table is closest to Port of Charleston, SC.",N/A (Charleston not listed in wind-probability table)
0,0%
X,0%
0,0%
X,0%
N/A,0
N/A,N/A
N/A,0
N/A,N/A
N/A,0%
N/A,0%
D,B.
D,B.
Mid-Atlantic coast,Mid-Atlantic coast from Delaware northward to southern New England
Cape May New Jersey to Watch Hill Rhode Island,Mid-Atlantic coastline from North Carolina northward through New England
B,B.
B,B.
B,B.
B,B.
Outer Banks,Mid-Atlantic coast from Delaware northward to southern New England
Outer Banks,Mid-Atlantic coastline from North Carolina northward through New England
18,18
27,21
None,0
None,0
C,D.
D,D.
A,A.
B,A.
"The provided text does not contain any information for Port of Charleston, SC. Therefore, it's impossible to answer the question based on the given data.",A.
D,A.
No,No
No,No
D,A.
D,A.
0,18
0,21
D,D.
D,D.
A,B.
A,B.
B,B.
A,B.
"Tornadoes are possible in the Port of Charleston, SC area.",None
"There are no additional hazards mentioned for Port of Charleston, SC.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": 10,
    ""in 24h"": 25,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 7,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
10-07-2020,None
09-07-2020,None
10-07-2020,None
10-07-2020,None
10-07-2020,None
10-07-2020,None
3,0
3,0
0,None
2,None
0,None
0,None
A,A.
A,A.
