response,ground_truth
Yes,No
A,A.
A,A.
None,None in effect
None,None in effect
"32.6N, 76.5W","32.6N, 76.5W"
NE,NE
35,12 mph
"North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine",Surf and rip-current conditions mainly along the Outer Banks of North Carolina; no direct impact expected along the Georgia coast
MOREHEAD CITY,CAPE HATTERAS NC (closest point listed in probability table)
X,<1%
0,0%
N/A,
N/A,
N/A,0%
B,B.
No landfall expected.,Surf and rip-current conditions mainly along the Outer Banks of North Carolina; no direct impact expected along the Georgia coast
A,A.
A,B.
North Carolina,Surf and rip-current conditions mainly along the Outer Banks of North Carolina; no direct impact expected along the Georgia coast
24,
None,0
D,D.
A,A.
D,A.
No,No
C,A.
48,
D,D.
A,B.
A,B.
"No additional hazards are specified for the Port of Savannah, GA, other than those covered by rainfall, wind, and storm surge.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 2,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
02-09-2020,None
01-09-2020,None
01-09-2020,None
3,0
0,None
0,None
A,A.
