response,ground_truth
Yes,Yes
No,Yes
No,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,Yes
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None
None,"West of Morgan City to Intracoastal City, Louisiana (Tropical Storm Watch)"
Florida coast to Mississippi coast,"Tropical Storm Watch west of Morgan City to Intracoastal City, Louisiana"
None,"Storm-surge and hurricane watches limited to the northern Gulf Coast from Intracoastal City, LA, to the MS/AL border"
None,Hurricane and tropical-storm watches/warnings limited to the Yucatán Peninsula and Gulf Coast—none issued north of Louisiana yet
None,"Hurricane Watch/Warning from Tulum to Rio Lagartos, Mexico including Cozumel; Tropical-Storm Warning for Pinar del Rio, Cuba"
None,"Tulum to Rio Lagartos, Mexico including Cozumel (Tropical Storm Watch)"
None,"Tropical-storm watch only for Pinar del Rio, Cuba (far from Virginia)."
None,None
"Grand Isle, Louisiana to Sabine Pass, Texas",Hurricane Warning from Morgan City Louisiana to the Mississippi/Alabama border; Storm Surge Warning Mouth of Atchafalaya River LA to Navarre FL
Mobile Bay to Pensacola,Hurricane Warning Morgan City LA to Mississippi/Alabama border; Storm Surge Warning Intracoastal City LA to Navarre FL; Tropical Storm Warning Mississippi/Alabama border to Okaloosa/Walton County Line FL and Punta Allen to Progreso MX
None,Hurricane warnings only for the Yucatán Peninsula (Tulum-Dzilam) at this time
None,"Hurricane Warning: Tulum to Dzilam, Mexico; Tropical-Storm Warning: portions of western Cuba and northern Yucatán coast"
None,"Hurricane Warning from Tulum to Rio Lagartos, Mexico including Cozumel; Tropical-Storm Warning for Pinar del Rio, Cuba"
None,"Pinar del Rio, Cuba (Tropical Storm Warning)"
Florida Keys to Dry Tortugas,None in effect at this time.
"23.8N, 91.2W","25.1N, 91.8W"
"21.6N, 89.5W","22.7N, 90.3W"
"20.2N, 87.1W","21.0N, 88.4W"
"19.1N, 85.3W","19.5N, 86.0W"
"18.1N, 83.8W","18.7N, 84.3W"
"17.8N, 83.8W","17.7N, 83.4W"
"18.9N, 83.1W","17.7N, 83.5W"
"18.7N, 83.0W","18.7N, 83.0W"
NW,NNW
NW,NW
NW,NW
NW,NW
NNW,NW
STATIONARY,Stationary (expected to begin NW motion)
Stationary,N
NNW,NNW
70,17 mph
14,14 mph
13,14 mph
70,10 mph
2,9 mph
Stationary,0 mph
Stationary,1 mph
2,2 mph
"Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts","Northern Gulf Coast through the Southeast and Mid-Atlantic coastline, including Virginia and the Chesapeake Bay region"
"Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts","Northern Gulf Coast, then inland across the Southeast and Mid-Atlantic including Virginia coastline"
"Florida, Alabama, Mississippi, Louisiana, Georgia, South Carolina, North Carolina, Virginia","Northern Gulf Coast from Louisiana to the western Florida Panhandle Wednesday, then inland across Alabama, Georgia, the Carolinas and into the Mid-Atlantic coast (including Virginia) late Thursday"
"Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York, Connecticut, Rhode Island, Massachusetts, New Hampshire, Maine","Gulf Coast (LA-AL) Wednesday, then inland through MS-AL-GA and into the Carolinas and Virginia by Thursday night/Friday"
"Cuba, Florida, Alabama, Mississippi, Louisiana, Texas, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, New York","Primary impact zone from Yucatán Peninsula, across northern Gulf Coast (LA-MS-AL) and inland across GA, TN Valley, southern Appalachians, eventually Mid-Atlantic including coastal Virginia"
"Louisiana, Mississippi, Alabama, Florida","Northern Yucatan Peninsula, western Cuba, and the U.S. central Gulf Coast from Louisiana eastward to Alabama"
"Florida, Alabama, Mississippi, Louisiana, Texas","Northwestern Caribbean, western Cuba, northern Yucatan Peninsula, central Gulf Coast (LA-MS-AL)"
Florida,"Northern Yucatan Peninsula, north-central Gulf Coast from Texas-Louisiana border eastward to Alabama, then inland across Mississippi, Alabama, Tennessee Valley and eventually the Mid-Atlantic including Virginia."
NORFOLK NAS,NORFOLK VA
RICHMOND VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
RICHMOND VA,NORFOLK VA
RICHMOND VA,NORFOLK VA
"No location matching ""Virginia, VA"" or a similar variant is present in the provided table.",None (no Virginia sites listed in NHC wind-probability table)
"No location in Virginia, VA is listed in the provided table.",None (Virginia not listed in probability table)
"There is no location for Virginia, VA in the table provided.",CHARLOTTE NC
48,38%
20,17%
27,23%
13,12%
4,6%
0,<1%
0,0%
0,3%
11,11%
0,6%
27,5%
12,<3%
0,0%
0,<1%
0,0%
0,0%
48,33
