response,ground_truth
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,n/a – watches confined to Gulf Coast
None,"Tropical Storm Watch/Warning only in effect for Intracoastal City, LA eastward to the western Florida Panhandle"
None,None affecting the Mid-Atlantic; current watch area is along the north-central Gulf Coast
None,"Tropical-storm warnings from east of Morgan City, LA to the Okaloosa/Walton County line, FL including Lake Pontchartrain, Lake Maurepas and metro New Orleans"
None,"Intracoastal City, LA to Okaloosa/Walton County line, FL including Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans"
None,"Tropical Storm Warning from Intracoastal City, LA, eastward to the AL/FL border including Lakes Pontchartrain & Maurepas and metropolitan New Orleans"
"26.5N, 91.1W","27.9N, 91.2W"
"23.5N, 92.2W","25.2N, 91.5W"
"22.9N, 92.4W","22.9N, 92.4W"
NNE,N
N,N
N,N
14,16 mph
9,14 mph
9,9 mph
"Mississippi, Alabama, Florida","Louisiana, Mississippi, Alabama and far western Florida Panhandle; inland track through AL, GA, western SC/NC"
"Louisiana, Mississippi, Alabama, Florida","Northern Gulf Coast (LA-MS-AL-western FL Panhandle) and, later, inland portions of the Southeast U.S."
"Louisiana
Mississippi
Alabama
Florida","coast from Louisiana through Mississippi, Alabama, and the western Florida Panhandle, then inland through the Southeast U.S."
ATLANTA GA,ATLANTA GA
WILMINGTON DE,ATLANTA GA
ATLANTA GA,"No station in the wind-probability table is close to Wilmington, DE (nearest listed point is ATLANTA GA, >500 mi away)"
X,0%
0,0%
0,0
0,0%
X,0%
0,0
N/A,
N/A,N/A
N/A,N/A
N/A,
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
N/A,0
D,A.
D,A.
This question cannot be answered from the provided text. The advisory discusses potential tropical cyclone impacts on the Gulf Coast and does not mention any ports on the Atlantic coast.,A.
"Morgan City, Louisiana to Okaloosa/Walton County line Florida","Louisiana, Mississippi, Alabama and far western Florida Panhandle; inland track through AL, GA, western SC/NC"
Intracoastal City Louisiana to the Okaloosa/Walton County line,"Northern Gulf Coast (LA-MS-AL-western FL Panhandle) and, later, inland portions of the Southeast U.S."
"Intracoastal City, Louisiana to the Alabama/Florida border","coast from Louisiana through Mississippi, Alabama, and the western Florida Panhandle, then inland through the Southeast U.S."
B,B.
A,B.
A,B.
A,C.
D,A.
B,A.
Louisiana,"Louisiana, Mississippi, Alabama and far western Florida Panhandle; inland track through AL, GA, western SC/NC"
Mississippi Coast,"Northern Gulf Coast (LA-MS-AL-western FL Panhandle) and, later, inland portions of the Southeast U.S."
Louisiana,"coast from Louisiana through Mississippi, Alabama, and the western Florida Panhandle, then inland through the Southeast U.S."
21,≈12
15,24
33,36
None,≈60
None,96
None,120
D,B.
D,D.
D,D.
A,A.
A,B.
A,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
C,A.
D,A.
D,A.
0,≈12
0,24
0,36
D,B.
D,B.
D,D.
B,B.
B,B.
B,B.
B,B.
A,A.
B,B.
Tornadoes.,"None anticipated for port operations at Wilmington, DE"
"No additional hazards are indicated for Wilmington, DE.",Low-end tornado threat cannot be ruled out across the Delmarva if remnant circulation tracks close enough
Tornadoes.,None
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""21"",
    ""in 24h"": ""33"",
    ""in 48h"": ""7"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 5,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 9,
    ""in 72h"": 3,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
19-06-2021,6/18/2021
22-06-2021,6/18/2021
21-06-2021,6/18/2021
20-06-2021,6/19/2021
21-06-2021,6/19/2021
21-06-2021,6/19/2021
22-06-2021,6/18/2021
21-06-2021,6/18/2021
22-06-2021,6/18/2021
3,4
3,4
3,4
1,3.0
0,3.0
3,3.0
0,1.0
0,1.0
0,1.0
A,B.
A,B.
A,B.
