response,ground_truth
No,No
No,No
No,No
A,A.
A,A.
A,A.
A,A.
A,A.
A,A.
None,None – watches confined to the north-central Gulf Coast
None,None for the U.S. Northeast; watches confined to northern Gulf Coast
None,None (only warnings have been issued – no watches)
None,"Tropical-storm warning from east of Morgan City, LA to the Okaloosa/Walton County line, FL (incl. New Orleans, Lake Pontchartrain/Maurepas)"
None,"Tropical Storm Warning from Intracoastal City, LA, eastward to the Okaloosa/Walton County line, FL (Lake Pontchartrain, Lake Maurepas, and metro New Orleans included)"
None,Intracoastal City LA eastward to the AL/FL border including Lakes Pontchartrain & Maurepas and Metropolitan New Orleans
"26.5N, 91.1W","27.9N, 91.2W"
"23.5N, 92.2W","25.2N, 91.5W"
"22.9N, 92.4W","22.9N, 92.4W"
NNE,"N (north, trending NNE)"
N,N
N,N
14,16 mph
9,14 mph
9,9 mph
"Mississippi, Alabama, Florida",Central Gulf Coast (LA–MS–AL–western FL Panhandle) spreading inland across the Deep South
"Louisiana, Mississippi, Alabama, Florida",Northern Gulf Coast from Louisiana east to the western Florida Panhandle
"Louisiana, Mississippi, Alabama, Florida",Northern Gulf Coast from coastal Louisiana to the Alabama/Florida border
ATLANTA GA,"None listed for Boston, MA in wind-probability table"
ATLANTA GA,Not listed (Boston not included in probability table)
ATLANTA GA,"Not listed (Boston, MA not in wind-probability table – probabilities <1%)"
X,0%
X,0%
X,0%
0,0%
0,0%
X,0%
N/A,N/A
N/A,N/A
N/A,NA
N/A,N/A
N/A,N/A
N/A,NA
N/A,0%
N/A,0%
N/A,0%
C,C.
C,A.
C,A.
"East of Morgan City, Louisiana to the Okaloosa/Walton County line Florida",Central Gulf Coast (LA–MS–AL–western FL Panhandle) spreading inland across the Deep South
Intracoastal City Louisiana to the Okaloosa/Walton County line,Northern Gulf Coast from Louisiana east to the western Florida Panhandle
"Intracoastal City, Louisiana to the Alabama/Florida border",Northern Gulf Coast from coastal Louisiana to the Alabama/Florida border
B,B.
A,B.
A,B.
D,A.
D,A.
D,B.
Louisiana,Central Gulf Coast (LA–MS–AL–western FL Panhandle) spreading inland across the Deep South
Louisiana,Northern Gulf Coast from Louisiana east to the western Florida Panhandle
Gulf Coast,Northern Gulf Coast from coastal Louisiana to the Alabama/Florida border
14,≈8
21,24
40,30
None,≥96
None,N/A (system expected to be an inland remnant low long before reaching New England)
None,96
D,D.
D,D.
D,D.
A,A.
A,A.
A,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
D,A.
D,A.
D,A.
72,≈8
144,24
72,30
D,D.
D,B.
D,B.
B,A.
B,A.
A,B.
B,A.
A,A.
A,B.
"There are no additional hazards associated with the possible future storm at Boston, MA, excluding rainfall, wind, and storm surge.",None anticipated that would disrupt port operations.
"There are no additional hazards mentioned for Boston, MA.",None expected for port operations at this time
Tornadoes.,None of operational significance for Boston container or cruise operations.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""14"",
    ""in 24h"": ""16"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 2,
    ""in 48h"": 5,
    ""in 72h"": 1,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 3,
    ""in 72h"": 3,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
07-07-2021,6/20/2021
21-06-2021,6/20/2021
21-06-2021,6/20/2021
21-06-2021,6/20/2021
21-06-2021,6/20/2021
21-06-2021,6/20/2021
22-06-2021,6/20/2021
00-00-0000,6/20/2021
22-06-2021,6/20/2021
2,2
3,2
3,2
3,2.0
2,2.0
3,2.0
0,0.683341955
0,0.683341955
0,0.683341955
A,B.
A,B.
A,B.
