response,ground_truth
Yes,Yes
B,A.
B,B.
None,None
None,"Edisto Beach to South Santee River, South Carolina"
"31.9N, 78.3W","31.9N, 78.3W"
WNW,WNW
16,16 mph
"South Carolina, North Carolina",Georgia coast and the South Carolina coast from Savannah River to South Santee River
CHARLESTON SC,CHARLESTON SC
31,31%
0,0%
0,6
N/A,N/A
31,31%
B,B.
Edisto Beach to South Santee River South Carolina,Georgia coast and the South Carolina coast from Savannah River to South Santee River
A,A.
D,D.
South Carolina,Georgia coast and the South Carolina coast from Savannah River to South Santee River
12,8
None,12
D,B.
B,B.
A,B.
Yes,Yes
A,A.
12,8
A,A.
C,B.
D,B.
"There are no additional hazards associated with the possible future storm at Port of Charleston, SC, excluding rainfall, wind, and storm surge.",Rough seas and dangerous marine conditions for harbor and approach channels
"```json
{
  ""gale_probability"": {
    ""in 12h"": 31,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '31%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
28-06-2021,None
28-06-2021,None
01-07-2021,None
1,0
1,None
31,None
C,A.
