response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,A.
C,A.
C,C.
B,A.
B,A.
C,C.
C,C.
C,C.
C,C.
C,A.
A,A.
A,A.
"New Orleans, Louisiana to Mobile, Alabama",None
New Orleans to the Florida coast,None
None,Storm-surge watch from Sabine Pass TX to Rockefeller Wildlife Refuge LA and Mobile Bay AL
None,"Hurricane Watch from Cameron, LA to west of Intracoastal City, LA; Tropical Storm Watch from the Mississippi/Alabama border to the Alabama/Florida border"
None,"Cameron, Louisiana to the Mississippi/Alabama border, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
None,None issued yet
None,Tropical Storm Warning currently limited to Cayman Islands and western Cuba – none yet along the U.S. Gulf Coast.
Mississippi to Louisiana,"Intracoastal City, LA to the Mouth of the Pearl River, including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Louisiana coast to Mississippi coast,"Storm Surge Warning from east of Rockefeller Wildlife Refuge, LA to the Alabama/Florida border (including Vermilion Bay, Lake Borgne, Lake Pontchartrain, Lake Maurepas, Mobile Bay); Hurricane Warning from Intracoastal City, LA to the Mouth of the Pearl River including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
None,"Storm-surge warning east of Rockefeller Wildlife Refuge LA to the MS/AL border, including Lake Pontchartrain and Lake Maurepas; Hurricane warning Intracoastal City LA to the Mouth of the Pearl River including metropolitan New Orleans"
None,"Hurricane Warning from Intracoastal City, LA to the Mouth of the Pearl River including Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans; Storm Surge Warning east of Rockefeller Wildlife Refuge, LA to the MS/AL border including Vermilion Bay, Lake Borgne, Lake Pontchartrain and Lake Maurepas"
"Grand Isle, Louisiana to the Mouth of the Mississippi River","Storm Surge Watch from Sabine Pass, TX to the Alabama/Florida border including Vermilion Bay, Lake Borgne, Lake Pontchartrain, Lake Maurepas, and Mobile Bay"
None,None issued yet
None,Same as watch_coast – no U.S. coastal warnings with this advisory.
"27.2N, 88.0W","28.0N, 89.1W"
"24.8N, 86.1W","26.2N, 87.0W"
"23.0N, 84.0W","24.0N, 85.2W"
"20.7N, 82.1W","22.1N, 83.2W"
"18.6N, 80.5W","20.0N, 81.4W"
"16.9N, 79.2W","18.0N, 79.8W"
"16.9N, 79.2W","16.9N, 79.2W"
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
16,15 mph
16,16 mph
15,16 mph
15,15 mph
40,15 mph
35,14 mph
35,13 mph
Louisiana,Northern Gulf Coast from southeastern Louisiana eastward into Mississippi and Alabama
Louisiana,"Northern Gulf Coast from eastern Texas to the Alabama coast, with greatest impact expected for southeast Louisiana and coastal Mississippi"
"Cuba, Mississippi, Louisiana, Alabama, Florida",Northern Gulf Coast from central Louisiana eastward to coastal Mississippi and Alabama
"Cuba
Louisiana
Mississippi
Alabama
Florida","Southeast Louisiana, Mississippi coast, and portions of coastal Alabama"
"Louisiana, Mississippi, Alabama, Florida","Entire northern Gulf Coast from southeast Texas through Louisiana, Mississippi and Alabama"
"Cuba, Florida, Louisiana","Northern U.S. Gulf Coast from Texas to Alabama, with greatest risk along southeast Louisiana"
"Louisiana, Mississippi, Alabama, Florida","Entire northern U.S. Gulf Coast from Texas/Louisiana border eastward to Alabama and the western Florida Panhandle, with highest threat over southeast Louisiana."
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
99,99%
94,94%
91,91%
79,78%
69,69%
58,58%
58,58%
95,95%
71,59%
60,60%
78,46%
33,33%
28,23%
28,23%
12,0
36,24
48,72
36,40
48,72
72,120
48,72
12,0
48,36
53,72
72,72
120,72
N/A,120
72,96
99,99%
99,94%
99,91%
45,45%
70,53%
37,58%
37,37%
B,B.
B,B.
B,B.
A,A.
B,B.
B,D.
D,A.
Intracoastal City Louisiana to the Mouth of the Pearl River,Northern Gulf Coast from southeastern Louisiana eastward into Mississippi and Alabama
Intracoastal City Louisiana to the Mouth of the Pearl River,"Northern Gulf Coast from eastern Texas to the Alabama coast, with greatest impact expected for southeast Louisiana and coastal Mississippi"
"Intracoastal City, Louisiana to the Mouth of the Pearl River",Northern Gulf Coast from central Louisiana eastward to coastal Mississippi and Alabama
Intracoastal City Louisiana to the Mouth of the Pearl River,"Southeast Louisiana, Mississippi coast, and portions of coastal Alabama"
"Cameron, Louisiana to the Mississippi/Alabama border","Entire northern Gulf Coast from southeast Texas through Louisiana, Mississippi and Alabama"
Isle of Youth to western Cuba,"Northern U.S. Gulf Coast from Texas to Alabama, with greatest risk along southeast Louisiana"
Cayman Islands to Western Cuba,"Entire northern U.S. Gulf Coast from Texas/Louisiana border eastward to Alabama and the western Florida Panhandle, with highest threat over southeast Louisiana."
F,F.
C,D.
C,C.
C,C.
B,B.
A,A.
A,A.
A,A.
B,B.
C,B.
A,A.
A,A.
C,C.
B,B.
Louisiana,Northern Gulf Coast from southeastern Louisiana eastward into Mississippi and Alabama
Louisiana,"Northern Gulf Coast from eastern Texas to the Alabama coast, with greatest impact expected for southeast Louisiana and coastal Mississippi"
Florida,Northern Gulf Coast from central Louisiana eastward to coastal Mississippi and Alabama
Florida,"Southeast Louisiana, Mississippi coast, and portions of coastal Alabama"
Gulf Coast,"Entire northern Gulf Coast from southeast Texas through Louisiana, Mississippi and Alabama"
Louisiana,"Northern U.S. Gulf Coast from Texas to Alabama, with greatest risk along southeast Louisiana"
Louisiana coast,"Entire northern U.S. Gulf Coast from Texas/Louisiana border eastward to Alabama and the western Florida Panhandle, with highest threat over southeast Louisiana."
14,10
24,24
24,36
27,48
36,63
56,60
37,72
22,0
30,12
50,N/A
46,0
40,0
32,24
43,24
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
C,C.
C,C.
D,B.
D,B.
D,B.
B,B.
C,D.
A,A.
C,B.
B,D.
C,C.
C,D.
D,D.
D,D.
Yes,Yes
No,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
C,B.
C,B.
D,B.
C,C.
C,D.
C,D.
3,10
18,24
72,36
24,48
72,63
86,60
0,72
A,A.
A,A.
A,A.
A,A.
A,A.
D,A.
D,A.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
C,C.
Tornadoes will be possible.,"Isolated tornadoes, large dangerous waves, rip currents, and prolonged loss of power."
Tornadoes will be possible.,Tornado risk Sunday–Monday; dangerous surf and rip currents; prolonged power outages; navigation channel shoaling and debris due to high river flow and surge.
Tornadoes.,Tornado risk Sunday–Monday; dangerous surf and rip currents; prolonged power outages and infrastructure damage likely.
Dangerous surf and rip current conditions are also a potential hazard.,"High seas, dangerous rip currents, large breaking waves along river entrances; possible tornadoes in rain bands Sunday into Monday."
Rip currents.,"Dangerous seas, large battering waves, and long-period swells creating hazardous navigation conditions; rip currents, reduced visibility, and possible debris impacts to channels."
Surf,Very rough seas and large breaking waves in the Lower Mississippi River approaches; possible river flooding upriver after landfall.
The storm could produce dangerous surf and rip current conditions.,"Rough seas, large waves, possible tornadoes in outer rain bands, and prolonged port access restrictions."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 60,
    ""in 24h"": 2,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '97%', 'in 24h': '3%', 'in 48h': '<1%', 'in 72h': '<1%', 'in 96h': '<1%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 73,
    ""in 24h"": 73,
    ""in 48h"": 95,
    ""in 72h"": 99,
    ""in 96h"": 99
  }
}
```","{'in 12h': '2%', 'in 24h': '75%', 'in 48h': '94%', 'in 72h': '94%', 'in 96h': '94%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 5,
    ""in 48h"": 68,
    ""in 72h"": 16,
    ""in 96h"": 2
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '26%', 'in 72h': '5%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 41,
    ""in 24h"": 4,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '49%', 'in 72h': '76%', 'in 96h': '78%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""2"",
    ""in 48h"": ""31"",
    ""in 72h"": ""85"",
    ""in 96h"": ""2""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '3%', 'in 72h': '53%', 'in 96h': '12%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 14,
    ""in 72h"": 16,
    ""in 96h"": 16
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '37%', 'in 96h': '55%'}"
