response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
C,A.
C,A.
C,B.
C,B.
C,B.
A,A.
A,A.
C,B.
C,B.
C,A.
A,A.
C,A.
A,A.
A,A.
None,None
None,None
None,Mississippi/Alabama border to the Alabama/Florida border (TS Watch); Mobile Bay (Storm Surge Watch)
Florida Keys to Tampa,Mississippi/Alabama border eastward to the Alabama/Florida border (includes Mobile Bay)
None,Mississippi/Alabama border to the Alabama/Florida border (includes Mobile Bay)
None,Cayman Islands and western Cuba
None,Tropical-storm watches/warnings limited to the Cayman Islands and western Cuba at this time
None,"Tropical Storm Warning – Mouth of the Pearl River to the Alabama/Florida border; Storm Surge Warning – East of Rockefeller Wildlife Refuge, LA, to the Alabama/Florida border including Mobile Bay"
"Cameron, Louisiana to Mobile, Alabama","Mouth of the Pearl River, MS to the AL/FL border (includes Mobile Bay) for TS winds; Storm Surge Warning east of Rockefeller Wildlife Refuge, LA to the AL/FL border including Mobile Bay"
None,Mouth of the Pearl River to the Mississippi/Alabama border (Tropical Storm Warning) and Intracoastal City LA to Pearl River mouth (Hurricane Warning)
None,Tropical Storm Warning from the Mouth of the Pearl River to the Mississippi/Alabama border; Hurricane Warning Intracoastal City LA to Mouth of Pearl River LA
None,None
None,"Cayman Islands and Cuban provinces of Matanzas, Mayabeque, Havana, Artemisa, Pinar del Rio, and the Isle of Youth"
None,"Cayman Islands and the Cuban provinces of Matanzas, Mayabeque, Havana, Artemisa, Pinar del Rio, and Isle of Youth under Tropical-Storm Warning"
"27.2N, 88.0W","28.0N, 89.1W"
"24.8N, 86.1W","26.2N, 87.0W"
"23.0N, 84.0W","24.0N, 85.2W"
"20.7N, 82.1W","22.1N, 83.2W"
"18.6N, 80.5W","20.0N, 81.4W"
"16.9N, 79.2W","18.0N, 79.8W"
"16.9N, 79.2W","16.9N, 79.2W"
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
NW,NW
16,15 mph
16,16 mph
15,16 mph
15,15 mph
40,15 mph
35,14 mph
35,13 mph
"Louisiana, Mississippi, Alabama, Florida","Southeastern Louisiana, Mississippi, and Alabama coasts, including Mobile Bay"
"Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, Pennsylvania, New York",Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
"Cuba
Louisiana
Mississippi
Alabama
Florida",Northern Gulf Coast from southeast Louisiana eastward through Mississippi and coastal Alabama including Mobile Bay
Louisiana,Northern Gulf Coast from southeast Louisiana eastward through coastal Mississippi and Alabama
"Cuba, Louisiana, Mississippi, Alabama, Florida",Sabine Pass TX eastward to the AL/FL border including Mobile Bay and the northern Gulf Coast barrier islands
"Cuba, United States (Florida, Louisiana, Mississippi, Alabama, Texas), Mexico","Entire northern U.S. Gulf Coast from Texas to Alabama, with greatest risk from east Texas to Alabama"
"Louisiana, Mississippi, Alabama, Florida",Northern U.S. Gulf Coast from central Texas to the Alabama/Florida state line (including Mississippi and Louisiana coasts)
MOBILE AL,MOBILE AL
MOBILE AL,MOBILE AL
GFMX 290N 870W,MOBILE AL
MOBILE AL,MOBILE AL
MOBILE AL,MOBILE AL
MOBILE AL,MOBILE AL
MOBILE AL,MOBILE AL
55,55%
47,47%
53,52%
44,44%
41,41%
30,30%
30,30%
7,8%
7,7%
12,12%
44,9%
39,10%
27,6%
5,6%
12,18
48,72
38,72
48,96
96,120
96,120
96,120
12,18
27,72
48,72
48,96
96,120
48,120
132,96
55,44%
35,47%
38,52%
44,44%
41,41%
30,30%
30,30%
A,A.
A,A.
A,A.
C,C.
A,A.
C,B.
D,B.
Intracoastal City Louisiana to the Mouth of the Pearl River,"Southeastern Louisiana, Mississippi, and Alabama coasts, including Mobile Bay"
Intracoastal City Louisiana to the Mouth of the Pearl River,Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Intracoastal City Louisiana to the Mouth of the Pearl River,Northern Gulf Coast from southeast Louisiana eastward through Mississippi and coastal Alabama including Mobile Bay
"Intracoastal City, Louisiana to the Mouth of the Pearl River",Northern Gulf Coast from southeast Louisiana eastward through coastal Mississippi and Alabama
"Cameron, Louisiana to the Mississippi/Alabama border",Sabine Pass TX eastward to the AL/FL border including Mobile Bay and the northern Gulf Coast barrier islands
Isle of Youth to western Cuba,"Entire northern U.S. Gulf Coast from Texas to Alabama, with greatest risk from east Texas to Alabama"
Cayman Islands to Western Cuba,Northern U.S. Gulf Coast from central Texas to the Alabama/Florida state line (including Mississippi and Louisiana coasts)
F,F.
C,D.
C,C.
C,C.
B,B.
A,A.
A,A.
C,C.
B,B.
C,D.
B,D.
A,A.
C,A.
A,A.
Louisiana,"Southeastern Louisiana, Mississippi, and Alabama coasts, including Mobile Bay"
Louisiana,Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Florida,Northern Gulf Coast from southeast Louisiana eastward through Mississippi and coastal Alabama including Mobile Bay
Louisiana,Northern Gulf Coast from southeast Louisiana eastward through coastal Mississippi and Alabama
Louisiana Coast,Sabine Pass TX eastward to the AL/FL border including Mobile Bay and the northern Gulf Coast barrier islands
Louisiana,"Entire northern U.S. Gulf Coast from Texas to Alabama, with greatest risk from east Texas to Alabama"
Louisiana,Northern U.S. Gulf Coast from central Texas to the Alabama/Florida state line (including Mississippi and Louisiana coasts)
10,12
26,20
32,36
33,48
48,60
72,72
72,72
24,24
16,N/A
44,72
109,24
34,N/A
109,96
72,96
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
C,B.
C,C.
C,C.
C,C.
C,C.
C,B.
C,C.
B,B.
C,D.
C,D.
C,D.
D,D.
D,D.
D,D.
No,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,B.
B,B.
C,B.
C,C.
C,C.
C,D.
B,D.
12,12
36,20
24,36
36,48
72,60
96,72
120,72
A,A.
A,A.
A,A.
A,A.
A,A.
D,A.
D,A.
C,C.
C,C.
C,D.
C,C.
C,C.
A,D.
A,D.
C,C.
C,C.
C,C.
C,C.
Tornadoes will be possible.,Brief tornadoes possible Monday; dangerous rip currents and high surf through at least Tuesday
Tornadoes will be possible.,Isolated tornadoes Sunday–Monday; dangerous surf and rip currents along the Alabama coast.
Tornadoes will be possible Sunday through early Monday across southeast Louisiana and southern Mississippi.,Isolated tornadoes in outer rain bands; dangerous surf and rip currents beginning late Saturday.
Life-threatening surf and rip current conditions.,Dangerous surf and life-threatening rip currents beginning late Saturday; minor coastal erosion possible.
Swells are likely to cause life-threatening surf and rip current conditions.,Dangerous surf and rip currents beginning this weekend; a few tornadoes possible in outer rainbands on Monday.
Rip currents.,Isolated tornadoes in outer rainbands and dangerous rip currents well ahead of the center
Surf,"Brief tornadoes in outer rainbands, rough seas and dangerous rip-currents ahead of landfall"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 99,
    ""in 24h"": 3,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '9%', 'in 24h': '53%', 'in 48h': '55%', 'in 72h': '55%', 'in 96h': '55%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 73,
    ""in 24h"": 73,
    ""in 48h"": 95,
    ""in 72h"": 99,
    ""in 96h"": 99
  }
}
```","{'in 12h': '1%', 'in 24h': '8%', 'in 48h': '45%', 'in 72h': '47%', 'in 96h': '47%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 1,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '1%', 'in 24h': '11%', 'in 48h': '38%', 'in 72h': '52%', 'in 96h': '53%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 30,
    ""in 24h"": 32,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '10%', 'in 72h': '27%', 'in 96h': '5%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 38,
    ""in 48h"": 73,
    ""in 72h"": 60,
    ""in 96h"": 60
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '25%', 'in 96h': '13%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 14,
    ""in 72h"": 16,
    ""in 96h"": 16
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '13%', 'in 96h': '27%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 1,
    ""in 48h"": 14,
    ""in 72h"": 16,
    ""in 96h"": 16
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '13%', 'in 96h': '14%'}"
29-08-2021,8/28/2021
29-08-2021,8/28/2021
28-08-2021,8/28/2021
28-08-2021,8/28/2021
30-08-2021,8/28/2021
29-08-2021,8/28/2021
