response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
A,B.
C,A.
B,B.
B,A.
B,A.
"Sabine Pass, TX to Grand Isle, LA",No hurricane or tropical-storm watch posted for Sabine Pass–Port Arthur segment (Hurricane Watch only Port Aransas–San Luis Pass).
None,"East of High Island, TX to Sabine Pass"
None,"Tropical Storm Watch from north of Port Aransas to High Island, TX"
Corpus Christi to High Island,Tropical Storm Warning from the Mouth of the Rio Grande northward to Sabine Pass; Storm Surge Warning Port Aransas to Sabine Pass including Galveston Bay
None,"Mouth of the Rio Grande to High Island, TX"
None,"Tropical Storm Warning from Mouth of the Rio Grande to Port Aransas, TX"
"25.4N, 96.9W","26.9N, 96.5W"
"22.5N, 95.5W","25.1N, 96.5W"
"20.5N, 94.8W","21.7N, 95.5W"
NNW,N (010°)
N,NNW
NNW,NNW
60,12 mph
2,15 mph
40,15 mph
"Texas, Louisiana, Mississippi, Alabama, Florida",upper Texas coast from Matagorda Bay through Galveston Bay to Sabine Pass and into southwest Louisiana
Texas,Entire Texas coast from Port Aransas through Sabine Pass and portions of southwestern Louisiana
Texas,Entire Texas coast from the Rio Grande through the upper Texas coast and into southwest Louisiana
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
24,24%
41,41%
22,22%
0,0%
7,7%
4,4%
15,24
33,120
18,72
6,N/A
7,96
18,72
24,12%
41,41%
13,22%
B,B.
B,A.
D,D.
Port Aransas Texas to San Luis Pass Texas,upper Texas coast from Matagorda Bay through Galveston Bay to Sabine Pass and into southwest Louisiana
Mouth of the Rio Grande to High Island Texas,Entire Texas coast from Port Aransas through Sabine Pass and portions of southwestern Louisiana
Mouth of the Rio Grande to Port Aransas Texas,Entire Texas coast from the Rio Grande through the upper Texas coast and into southwest Louisiana
B,B.
B,B.
B,B.
A,A.
C,C.
D,A.
Texas Coast,upper Texas coast from Matagorda Bay through Galveston Bay to Sabine Pass and into southwest Louisiana
Texas Gulf Coast,Entire Texas coast from Port Aransas through Sabine Pass and portions of southwestern Louisiana
Texas Gulf Coast,Entire Texas coast from the Rio Grande through the upper Texas coast and into southwest Louisiana
26,8
36,16
27,36
36,0
None,N/A
19,60
D,D.
D,D.
D,D.
C,C.
C,C.
D,C.
A,B.
C,D.
C,D.
Yes,No
Yes,Yes
No,Yes
A,B.
A,B.
C,B.
12,8
36,16
36,36
A,A.
A,A.
B,B.
C,B.
C,B.
C,C.
D,C.
C,C.
C,C.
Tornadoes are possible.,A few tornadoes possible along the upper Texas coast; dangerous rip currents and elevated waves in Sabine Pass channel.
Tornadoes will be possible.,"Isolated tornadoes, dangerous surf and rip currents, possible short-term port access channel closures due to high water"
"Flash flooding is an additional hazard associated with the possible future storm at Port Arthur, TX.","Potential flash flooding of access roads, minor river rises in the Sabine/Neches system, and scattered power outages that could disrupt cargo handling and refinery operations."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 75,
    ""in 24h"": 15,
    ""in 48h"": 0,
    ""in 72h"": 0,
    ""in 96h"": 0
  }
}
```","{'in 12h': '1%', 'in 24h': '12%', 'in 48h': '3%', 'in 72h': '1%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""13"",
    ""in 24h"": ""70"",
    ""in 48h"": ""3"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '33%', 'in 72h': '40%', 'in 96h': '41%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 2,
    ""in 24h"": 18,
    ""in 48h"": 40,
    ""in 72h"": 5,
    ""in 96h"": 1
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '18%', 'in 96h': '21%'}"
13-09-2021,9/13/2021
13-09-2021,9/13/2021
13-09-2021,9/13/2021
14-09-2021,9/14/2021
13-09-2021,9/14/2021
13-09-2021,9/14/2021
15-09-2021,9/13/2021
17-09-2021,9/13/2021
17-09-2021,9/13/2021
5,3
3,3
3,3
3,2.0
3,2.0
3,2.0
24,0.77381778
23,0.77381778
18,0.77381778
B,C.
B,C.
A,C.
