response,ground_truth
No.,No
No.,No
No,No
No.,No
No.,No
No.,No
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,A.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
'Intracoastal City' to 'Grand Isle',Hurricane and Tropical Storm Watches extend from the Mouth of the Mississippi River to Cameron LA and eastward to the MS/AL border
'Intracoastal City' to 'Grand Isle',"Hurricane Watch: Mouth of the Mississippi River to Grand Isle, LA and Intracoastal City to Cameron, LA.  Tropical Storm Watch: east of the Mouth of the Pearl River to the MS/AL border."
'Intracoastal City' to 'Shell Beach',Hurricane Watch and Tropical Storm Watch extend from the mouth of the Mississippi River eastward to the MS/AL border and westward to Cameron LA (no Texas coast included)
'East of Cameron' to 'Mouth of the Pearl River',Tropical Storm Watch – east of the Mouth of the Pearl River to the MS/AL border; Lake Pontchartrain & Lake Maurepas including metro New Orleans
'East of the Mouth of the Pearl River' to 'Morgan City',"Storm Surge Watch: Pearl River‒Intracoastal City, LA; Hurricane Watch: Mouth of Mississippi River‒Cameron, LA; Tropical-Storm Watch: Mouth of Mississippi River‒Pearl River"
'Mouth of the Mississippi River' to 'Morgan City',"Tropical-storm and storm-surge watches from the Mouth of the Mississippi River to Morgan City, LA"
Intracoastal City to Grand Isle,Hurricane Warning from Intracoastal City to Grand Isle LA; Tropical Storm Warning from Mouth of the Pearl River to Grand Isle and Intracoastal City to Cameron LA
Intracoastal City to Grand Isle,"Hurricane Warning: Intracoastal City to Grand Isle, LA.  Tropical Storm Warning: Mouth of the Pearl River to Grand Isle, LA; Lake Pontchartrain and Lake Maurepas; Intracoastal City to Cameron, LA.  Storm-Surge Warning: Intracoastal City, LA to Biloxi, MS including Lake Pontchartrain."
Intracoastal City to Grand Isle,Hurricane and Tropical-Storm Warnings from Intracoastal City LA to Grand Isle LA and Pearl River mouth (no Texas coast included)
Intracoastal City to Shell Beach,Tropical Storm Warning – Mouth of the Pearl River to Morgan City LA; Storm Surge Warning – Mouth of the Atchafalaya River to Shell Beach LA
Intracoastal City to Shell Beach,None issued yet (all are watches at this time)
Intracoastal City to Shell Beach,None at this time
"28.7N, 90.9W","28.6N, 91.0W"
"28.1N, 90.2W","28.2N, 90.4W"
"27.8N, 89.3W","27.9N, 89.4W"
"27.5N, 88.2W","27.8N, 88.7W"
"28.1N, 87.4W","27.7N, 88.0W"
"28.5N, 86.4W","28.5N, 86.4W"
WNW,WNW
WNW,WNW
WNW,W
W,W
WSW,WSW
WSW,WSW
6,3 mph
5,5 mph
5,3 mph
5,5 mph
8,9 mph
8,8 mph
Louisiana,North-central Gulf Coast from the Louisiana coast eastward to coastal Mississippi and Alabama
