response,ground_truth
Yes,No
,No
Yes,No
Yes,No
,No
Yes,No
Yes,No
,A.
,A.
C,A.
,A.
B,A.
C,A.
B,A.
,A.
,A.
C,A.
C,A.
B,A.
C,A.
B,A.
,"Hurricane Watch from north of El Roblito to Mazatlán, Mexico"
,"Hurricane Watch north of El Roblito to Mazatlán, west-central Mexico"
Guatemala to Honduras,"Hurricane Watch north of Cabo Corrientes to El Roblito, including Las Islas Marias"
Tampico to Coatzacoalcos,Hurricane Watch from Playa Perula to San Blas; Tropical Storm Watch south of Playa Perula to Manzanillo (Pacific coast of Mexico)
Mexico's Yucatan Peninsula to El Salvador,
Belize to El Salvador,None issued
Guatemala to El Salvador,None
El Salvador to Honduras,"Hurricane Warning from Playa Pérula to El Roblito, including Las Islas Marías; Tropical-Storm Warning south of Playa Pérula to Manzanillo and north of El Roblito to Mazatlán"
Puerto Mexico to Belize,"Hurricane Warning Playa Pérula to El Roblito, including Islas Marías; Tropical Storm Warning south of Playa Pérula to Manzanillo"
,Hurricane Warning Playa Perula to Punta Mita; Tropical Storm Warning south of Playa Perula to Manzanillo
Puerto Barrios to Livingston,None in effect (as of Advisory 5A)
Belize to El Salvador,
Belize to El Salvador,None issued
,None
"18.4N, 90.6W","18.4N, 106.6W"
"16.9N, 95.8W","16.9N, 105.8W"
"16.4N, 83.5W","16.4N, 104.8W"
,"15.9N, 103.6W"
,"15.5N, 103.0W"
"15.1N, 90.5W","15.2N, 101.3W"
"15.2N, 91.3W","15.2N, 101.3W"
NNW,NNW
,NW
,WNW
WSW,WNW
,W
W,WNW
WNW,WNW
8,8 mph
7,7 mph
7,7 mph
,8 mph
7,7 mph
,5 mph
,5 mph
,"South-western and west-central Mexico from Michoacán through Jalisco, Colima and Nayarit to southern Sinaloa"
"Mexico
Belize
Guatemala
Honduras","Southwestern and west-central Mexico from Manzanillo northward to Mazatlán, including Islas Marías"
"Mexico
Belize
Honduras
Guatemala",South-western and west-central Mexico from Michoacán northward to southern Sinaloa
Bay of Campeche,"South-western and west-central Pacific coast of Mexico from Guerrero to southern Sinaloa, including Islas Marías"
"Mexico
Belize
Guatemala
Honduras",Southwestern and west-central Mexico from Guerrero northward to Sinaloa
,"Pacific coast of southwestern and west-central Mexico; no impact expected along the Gulf coast near Brownsville, TX"
"Mexico
Belize
Guatemala
Honduras
Nicaragua",Pacific coast of southwestern and west-central Mexico
"There is no Brownsville, TX listed in the provided table. The closest location would be Manzanillo.",Not listed (no Gulf-side station in table)
,"None (no wind-probability point near Brownsville, TX)"
,None
,None (Brownsville not listed and probabilities <1%)
,None
,N/A (Brownsville not listed in wind-probability table)
,None
,0%
,0%
0,0%
,0%
,0%
,0%
"There is no data for Brownsville, TX in the provided text.",0%
,0%
There is no-data,0%
,0%
"The provided text does not contain information about Brownsville, TX. Therefore, the answer is 0.",0%
,0%
,0%
,0%
N/A,N/A
N/A,N/A
N/A,N/A
,N/A
N/A,N/A
N/A,
,N/A
N/A,N/A
N/A,N/A
,N/A
,N/A
N/A,N/A
N/A,
,N/A
N/A,0%
N/A,0%
,0%
,0%
,0%
N/A,0%
,0%
D,C.
D,A.
D,C.
D,A.
,C.
,A.
C,C.
,"South-western and west-central Mexico from Michoacán through Jalisco, Colima and Nayarit to southern Sinaloa"
,"Southwestern and west-central Mexico from Manzanillo northward to Mazatlán, including Islas Marías"
Playa Perula to,South-western and west-central Mexico from Michoacán northward to southern Sinaloa
Playa Perula to San Blas,"South-western and west-central Pacific coast of Mexico from Guerrero to southern Sinaloa, including Islas Marías"
,Southwestern and west-central Mexico from Guerrero northward to Sinaloa
,"Pacific coast of southwestern and west-central Mexico; no impact expected along the Gulf coast near Brownsville, TX"
southwestern and west-,Pacific coast of southwestern and west-central Mexico
F,F.
,D.
B,B.
,B.
,B.
,A.
A,A.
C,C.
C,C.
,B.
,A.
C,C.
B,B.
C,C.
Guatemala,"South-western and west-central Mexico from Michoacán through Jalisco, Colima and Nayarit to southern Sinaloa"
Guatemala,"Southwestern and west-central Mexico from Manzanillo northward to Mazatlán, including Islas Marías"
Belize,South-western and west-central Mexico from Michoacán northward to southern Sinaloa
Mexico,"South-western and west-central Pacific coast of Mexico from Guerrero to southern Sinaloa, including Islas Marías"
El Salvador,Southwestern and west-central Mexico from Guerrero northward to Sinaloa
Belize,"Pacific coast of southwestern and west-central Mexico; no impact expected along the Gulf coast near Brownsville, TX"
,Pacific coast of southwestern and west-central Mexico
18,18
24,24
,36
,54
,60
,≈60
72,72
18,N/A
24,"N/A (system never approaches the Gulf side near Brownsville, TX)"
,N/A
24,N/A
24,N/A
,
,"N/A (storm remains on the Pacific side of Mexico, well away from Brownsville)"
,B.
B,D.
,D.
B,D.
B,D.
B,D.
,D.
,A.
C,A.
C,A.
,A.
,A.
C,A.
C,A.
D,A.
D,A.
D,A.
D,A.
,A.
D,A.
,A.
No,No
,No
,No
,No
No,No
,No
,No
,A.
