response,ground_truth
,Yes
Yes,Yes
C,A.
,A.
,B.
B,B.
Brownsville to Port Arthur,"Port O'Connor to Sargent, Texas"
Corpus Christi to Mobile,"Port O'Connor to Sargent, TX"
Corpus Christi to New Orleans,"Mouth of Rio Grande to Port O'Connor, Texas"
Corpus Christi to Mobile,"Mouth of Rio Grande to Port O'Connor, TX (includes Corpus Christi)"
"25.2N, 91.6W","25.2N, 91.6W"
,"25.0N, 89.9W"
ESE,W
,W
18,18 mph
,16 mph
,"South-Texas coastline including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
"Mexico
Texas
Louisiana","south Texas coast from the Mouth of the Rio Grande northward to Sargent, including Corpus Christi Bay"
CORPUS CHRISTI,CORPUS CHRISTI
,CORPUS CHRISTI
,5%
,5%
0,0%
,0%
24,9
24,21
N/A,N/A
24,0
5,5%
,5%
C,C.
A,A.
Mouth of Rio Grande to Sargent,"South-Texas coastline including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
,"south Texas coast from the Mouth of the Rio Grande northward to Sargent, including Corpus Christi Bay"
A,A.
D,C.
,D.
,"South-Texas coastline including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
Mexico,"south Texas coast from the Mouth of the Rio Grande northward to Sargent, including Corpus Christi Bay"
,18
27,21
,N/A
,0
B,B.
B,D.
C,B.
,B.
,B.
,B.
No,No
,No
B,B.
,B.
12,18
16,21
A,A.
A,A.
,B.
,B.
D,C.
D,C.
,Dangerous surf and rip currents; isolated tornadoes Tuesday
Large swells and rip current conditions.,Dangerous surf and rip currents along the middle Texas coast beginning Monday night.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""3"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '5%', 'in 48h': '5%', 'in 72h': '5%', 'in 96h': '5%'}"
,"{'in 12h': '1%', 'in 24h': '5%', 'in 48h': '5%', 'in 72h': '5%', 'in 96h': '5%'}"
22-08-2023,None
22-08-20,None
22-08-2023,None
,None
22-08-2023,None
,None
3,0
5,0
,None
,None
,None
,None
D,A.
,A.
