response,ground_truth
,No
Yes,No
,A.
B,A.
,A.
,A.
Brownsville to Port- Newcomb Port- Newcomb,"Port O'Connor to Sargent, Texas"
,"Port O'Connor to Sargent, Texas (tropical-storm watch area)"
,"Mouth of Rio Grande to Port O'Connor, Texas"
,"Mouth of Rio Grande to Port O'Connor, Texas (tropical-storm warning area)"
"25.2N, 91.6W","25.2N, 91.6W"
"25.0N, 89.9W","25.0N, 89.9W"
SE,W
W,W
,18 mph
16,16 mph
,"South Texas shoreline from the Mexico border northward to Sargent, including Baffin, Corpus Christi and Matagorda Bays"
"Texas
Louisiana
Mississippi
Alabama","South Texas shoreline from the Mouth of the Rio Grande northward through Baffin Bay, Corpus Christi Bay, and Matagorda Bay"
,MATAGORDA TX
MATAGORDA TX,MATAGORDA TX
X,3%
0,5%
,0%
X,0%
,24
N/A,24
,N/A
,0
N/A,3%
,5%
A,A.
,B.
,"South Texas shoreline from the Mexico border northward to Sargent, including Baffin, Corpus Christi and Matagorda Bays"
,"South Texas shoreline from the Mouth of the Rio Grande northward through Baffin Bay, Corpus Christi Bay, and Matagorda Bay"
A,A.
D,B.
B,A.
Texas,"South Texas shoreline from the Mexico border northward to Sargent, including Baffin, Corpus Christi and Matagorda Bays"
Mexico,"South Texas shoreline from the Mouth of the Rio Grande northward through Baffin Bay, Corpus Christi Bay, and Matagorda Bay"
26,20
,20
24,36
24,0
B,B.
,B.
C,A.
B,A.
B,B.
B,B.
No,No
,No
,B.
D,B.
,20
,20
A,B.
A,B.
,A.
A,B.
,A.
D,B.
Life-threatening surf and rip current conditions are possible.,Increased rip currents along upper Texas coast
Life-threatening surf and rip current conditions are likely.,Rough seas and dangerous rip currents along upper Texas coast may impede pilot boarding and small-craft movements
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""6"",
    ""in 48h"": ""5"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '3%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
,"{'in 12h': '0%', 'in 24h': '5%', 'in 48h': '6%', 'in 72h': '6%', 'in 96h': '6%'}"
22-08-2023,8/20/2023
21-08-2023,8/20/2023
22-08-2023,8/20/2023
,8/20/2023
,8/20/2023
22-08-2023,8/20/2023
3,3
3,3
2,3.0
,3.0
,0.201644195
,0.201644195
D,D.
,D.
