response,ground_truth
,No
,No
,No
Yes,No
B,A.
B,A.
,A.
,A.
,A.
B,A.
,A.
B,A.
Morehead City to Cape Hatteras,Hurricane Watch north of Surf City NC to Ocracoke Inlet; Storm Surge Watch Surf City NC to Bogue Inlet NC and parts of Pamlico/Albemarle Sounds
,"Storm Surge Watch from Surf City to Duck, NC; Chesapeake Bay north of Windmill Point to Smith Point; Tidal Potomac south of Colonial Beach; remainder of Pamlico and Albemarle Sounds"
FL to SC,"N/A – watches begin farther north (Surf City NC to Duck NC, Chesapeake Bay, Delaware Bay)."
Virginia to South Carolina,"Storm Surge Watch from Surf City, NC to Chincoteague, VA including Chesapeake Bay south of Smith Point and the Albemarle & Pamlico Sounds"
Morehead City to Cape Hatteras,"Storm Surge Warning Bogue Inlet NC to Chincoteague VA, Chesapeake Bay south of Colonial Beach VA, Neuse & Pamlico Rivers; Tropical Storm Warning Cape Fear NC to Fenwick Island DE, including Chesapeake Bay south of North Beach and Tidal Potomac south of Cobb Island"
Wilmington to Cape Hatteras,"Tropical Storm Warning from Cape Fear, NC to Fenwick Island, DE including Albemarle & Pamlico Sounds, Chesapeake Bay south of North Beach and Tidal Potomac south of Cobb Island"
Cape Hatteras to Vero Beach,"Tropical-storm warnings from Cape Fear NC northward to Fenwick Island DE, including Chesapeake Bay south of North Beach and the Tidal Potomac south of Cobb Island."
,"Tropical Storm Warning from Cape Fear, NC northward to Fenwick Island, DE including Albemarle & Pamlico Sounds and Chesapeake Bay south of Smith Point"
,"32.9N, 76.3W"
,"30.5N, 75.0W"
"29.2N, 75.9W","29.2N, 75.9W"
"28.7N, 75.9W","28.7N, 75.9W"
,NNW
ESE,N
,N
ENE,N
,13 mph
14,14 mph
8,8 mph
9,9 mph
"Virginia
North Carolina
South Carolina","Eastern North Carolina, southeastern Virginia, Delmarva Peninsula, parts of the mid-Atlantic coast"
"North Carolina
South Carolina
Virginia
Maryland","South Santee River, SC northward through North Carolina and the Mid-Atlantic coast to New Jersey"
"Florida
Georgia
South Carolina
North Carolina","South Santee River SC northward through North Carolina, Virginia and the Delmarva Peninsula."
,"Southeast coast from South Santee River, SC northward through the Mid-Atlantic states to New Jersey"
,CHARLESTON SC
BEAUFORT MCAS,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
,CHARLESTON SC
,8%
,11%
,5%
X,4%
,0%
X,1%
X,0%
X,0%
,24
,60
N/A,36
N/A,30
N/A,N/A
72,48
N/A,N/A
,
,8%
8,11%
,5%
N/A,2%
,C.
D,B.
,D.
,D.
"Surf City, NC to O to,1,0,2,1,3,0,4,1,2,3,1,4,3,1,2,1,1,3,4,3,0,3,3, 2,  1,0,","Eastern North Carolina, southeastern Virginia, Delmarva Peninsula, parts of the mid-Atlantic coast"
Cape Fear North Carolina to Fenwick Island Delaware,"South Santee River, SC northward through North Carolina and the Mid-Atlantic coast to New Jersey"
,"South Santee River SC northward through North Carolina, Virginia and the Delmarva Peninsula."
Surf City NC to Chincoteague VA,"Southeast coast from South Santee River, SC northward through the Mid-Atlantic states to New Jersey"
B,B.
A,B.
A,B.
,B.
D,C.
D,C.
D,D.
C,C.
,"Eastern North Carolina, southeastern Virginia, Delmarva Peninsula, parts of the mid-Atlantic coast"
North Carolina,"South Santee River, SC northward through North Carolina and the Mid-Atlantic coast to New Jersey"
North Carolina,"South Santee River SC northward through North Carolina, Virginia and the Delmarva Peninsula."
North Carolina,"Southeast coast from South Santee River, SC northward through the Mid-Atlantic states to New Jersey"
30,18
,24
26,44
36,42
24,0
21,24
,24
27,24
,B.
D,D.
,D.
D,D.
,A.
C,B.
C,B.
C,B.
D,B.
,D.
,C.
D,C.
,No
No,No
,No
No,No
D,B.
B,B.
D,B.
D,B.
,18
48,24
,44
36,42
D,B.
D,B.
D,B.
,B.
,B.
