response,ground_truth
Yes,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
,A.
B,A.
B,B.
C,A.
C,A.
C,A.
B,A.
B,A.
B,A.
B,B.
B,B.
B,B.
B,A.
,A.
B,A.
C,A.
B,A.
B,A.
,A.
Virginia to North Carolina,"Watch Hill RI to Stonington ME including Martha's Vineyard, Nantucket, and Block Island"
South Florida to North Carolina,N/A (port is not in a watch area)
South Florida to North Carolina,North of South Santee River SC to Surf City NC
Wilmington to Bermuda,"North of Ponte Vedra Beach, FL to South Santee River, SC"
,Storm-surge watch Jupiter Inlet FL to Ponte Vedra Beach FL; hurricane watch Hallandale Beach FL to south of Boca Raton FL; tropical-storm watch Volusia/Flagler Co. line FL to Ponte Vedra Beach FL
Turks and Caicos Islands to Bermuda,Hurricane Watch from Hallandale Beach FL to Boca Raton FL and from the Volusia-Brevard County line FL to the Flagler-Volusia County line FL. Tropical Storm Watch from Flagler-Volusia County line FL to Ponte Vedra Beach FL. Storm Surge Watch Jupiter Inlet FL to Ponte Vedra Beach FL.
Virginia to North Carolina,Tropical Storm Watch from Ocean Reef FL to Sebastian Inlet FL and Lake Okeechobee
Florida to Bermuda,East coast of Florida from Ocean Reef to Sebastian Inlet under Tropical Storm Watch
,"Tropical-storm watches confined to the north-western Bahamas (Andros, New Providence, Abacos, Berry Islands, Grand Bahama, Bimini)"
,Central Bahamas from Cat Island to San Salvador and Rum Cay
South Carolina to North Carolina,"Flagler/Volusia County Line FL northward to South Santee River SC, then north of Surf City NC to west of Watch Hill RI and adjacent bays/sounds"
None,"Sebastian Inlet, FL to Ocracoke Inlet, NC (includes entire Georgia coast)"
Miami to Bermuda,Hallandale Beach FL to South Santee River SC (includes the entire Georgia coast)
,"Hurricane Warning: Boca Raton to Volusia/Flagler County Line, FL; Tropical Storm Warning: Volusia/Flagler County Line to Ponte Vedra Beach, FL"
South Carolina to North Carolina,Hurricane warning Boca Raton FL to Volusia/Flagler County line FL; Northwestern Bahamas
Nicaragua to Bahamas to Virginia,Hurricane Warning Boca Raton FL to the Volusia-Brevard County line FL; Central and Northwestern Bahamas. Tropical Storm Warning North of Ocean Reef to Boca Raton FL and Lake Okeechobee.
Virginia to North Carolina,Hurricane Warnings for all of the Bahamas; Tropical-Storm Warnings for Turks & Caicos and Dominican Republic coasts
Florida to Bermuda,"Hurricane Warning for the Northwestern Bahamas; Tropical Storm Warnings for the Dominican Republic, Haiti, Turks and Caicos, Southeastern and Central Bahamas"
Grand Cayman to Turks and Caicos,"Tropical-storm warnings in effect for Puerto Rico, U.S./British Virgin Islands, Dominican Republic coasts, north Haiti coast, Turks & Caicos, south-central Bahamas"
Bahamas to Turks and Caicos,"Puerto Rico, U.S. & British Virgin Islands, entire Dominican Republic coast, north coast of Haiti east of Le Mole St-Nicholas, Turks & Caicos, and the southeastern Bahamas"
,"30.2N, 80.1W"
"27.8N, 79.8W","28.2N, 79.7W"
"26.3N, 79.5W","26.5N, 79.5W"
"25.1N, 78.7W","25.3N, 78.9W"
"23.9N, 77.1W","24.3N, 77.5W"
"24.6N, 75W","22.9N, 75.9W"
"17.3N, 75.3W","21.3N, 73.9W"
"19.5N, 70.6W","19.9N, 71.2W"
,"17.6N, 68.5W"
"18.4N, 65.6W","16.0N, 66.3W"
N,N
NNW,NNW
NW,NW
ENE,NW
NW,NW
WNW,NW
NW,NW
,NW
NW,NW
WNW,WNW
,13 mph
,9 mph
9,8 mph
10,9 mph
12,12 mph
15,15 mph
17,17 mph
20,20 mph
21,20 mph
23,18 mph
"Florida
Georgia
South Carolina
North Carolina
Virginia
Maryland",Entire southeast and Mid-Atlantic coastline from Florida to New England
,Florida east coast through Georgia and the Carolinas
"Florida
Georgia
South Carolina
North Carolina",East-central Florida through Georgia and the Carolinas
"Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, New Jersey",Entire southeast U.S. shoreline from south Florida through coastal Georgia and the Carolinas
"North Carolina
South Carolina
Georgia
Florida","Entire southeast U.S. coast from Florida through Georgia, South Carolina, North Carolina and into the Mid-Atlantic"
"Florida
Georgia
South Carolina
North Carolina",Entire southeast U.S. coastline from South Florida northward through Georgia and the Carolinas
"Jamaica
Hispaniola
Bahamas
Florida
Georgia
South Carolina
North Carolina","Entire Southeast U.S. coastline from Florida through the Carolinas, including coastal Georgia"
"Jamaica, Cayman Islands, Cuba, Bahamas, Turks and Caicos Islands",Entire southeast U.S. coast from Florida through Georgia and the Carolinas lies within or near the forecast cone
"Jamaica
Honduras
Belize
Guatemala
Nicaragua",From Florida’s Atlantic coast northward to the Georgia and Carolina coasts inside the 5-day cone
"Jamaica, Cayman Islands, Cuba, Bahamas","Leeward Islands through Puerto Rico, Hispaniola, Bahamas, Florida east coast, and the coasts of Georgia and South Carolina"
SAVANNAH GA,SAVANNAH GA
CHARLESTON SC,SAVANNAH GA
COLUMBIA SC,SAVANNAH GA
SAVANNAH,SAVANNAH GA
,SAVANNAH GA
"CHARLESTON, SC",SAVANNAH GA
GEORGIA,SAVANNAH GA
SAVANNAH FL,SAVANNAH GA
JACKSONVILLE,SAVANNAH GA
BIRMINGHAM,SAVANNAH GA
0,5%
0.000,5%
0.00,18%
,13%
0.0000,10%
0.0000,13%
0.1,10%
,12%
0,11%
