response,ground_truth
,Yes
Yes,Yes
,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
,C.
B,B.
,A.
,A.
C,A.
C,A.
C,A.
B,A.
B,A.
B,B.
B,B.
B,A.
,A.
C,A.
C,A.
C,A.
B,A.
B,A.
C,A.
,"Storm Surge Watch from Cape Fear, NC to Duck, NC including Pamlico and Albemarle Sounds"
Virginia to North Carolina,South Santee River SC to Surf City NC (Hurricane Watch)
South Carolina to North Carolina,North of South Santee River SC to Surf City NC (Tropical Storm Watch); Edisto Beach SC to Cape Fear NC (Storm Surge Watch)
,Tropical Storm Watch north of Ponte Vedra Beach FL to South Santee River SC (does not yet include NC)
Wilmington to Bermuda,No watch yet issued north of Ponte Vedra Beach FL
,Hallandale Beach FL to Ponte Vedra Beach FL (Hurricane/Tropical-storm watches)
,"East coast of Florida from Ocean Reef to Sebastian Inlet, and Lake Okeechobee (no watches yet for the Carolinas)"
,Tropical Storm Watch in effect for the Florida east coast from Ocean Reef to Sebastian Inlet
Belize to Turks and Caicos,No tropical cyclone watches yet issued for the U.S. East Coast
Bahamas to Turks and Caicos,"Central Bahamas including Cat Island, the Exumas, Long Island, Rum Cay and San Salvador"
Wilmington to Cape May,"Hurricane Warning South Santee River, SC to Surf City, NC; Storm Surge Warning Edisto Beach, SC to Cape Fear, NC; Tropical Storm Warning north of Surf City, NC to Watch Hill, RI"
Florida to North Carolina,Sebastian Inlet FL to Ocracoke Inlet NC (Tropical Storm Warning); Edisto Beach SC to Cape Fear NC (Storm Surge Warning)
Virginia to North Carolina,Hallandale Beach FL to South Santee River SC (Tropical Storm Warning)
Wilmington to Bermuda,"Hurricane Warning Boca Raton FL to Volusia/Flagler County Line; Tropical Storm Warning North of Ocean Reef FL to Ponte Vedra Beach FL, Lake Okeechobee, Volusia/Flagler County Line to Ponte Vedra Beach FL"
North Carolina to Bermuda,Hurricane Warning: Boca Raton FL to Volusia/Flagler County Line FL; Tropical-storm warnings confined to south-central FL at this time
Havana to Bermuda,Boca Raton FL to the Volusia/Brevard County Line FL and much of the Bahamas (Hurricane warning)
,"Southeastern, Central and Northwestern Bahamas"
Florida to Bermuda,"Hurricane Warning for the Northwestern Bahamas; Tropical Storm Warning for the Dominican Republic, north coast of Haiti, Turks & Caicos, and Central & Southeastern Bahamas"
Grand Cayman to Turks and Caicos,No tropical cyclone warnings yet issued for the U.S. East Coast
Cuba to Bahamas,"Entire coast of Puerto Rico and Virgin Islands, southern & northern Dominican Republic coast, north coast of Haiti east of Le Mole St-Nicholas, Turks & Caicos, and south-eastern Bahamas"
"29.7N, 79.9W","30.2N, 80.1W"
"27.8N, 79.8W","28.2N, 79.7W"
"26.3N, 79.5W","26.5N, 79.5W"
"25.1N, 78.7W","25.3N, 78.9W"
"23.9N, 77.1W","24.3N, 77.5W"
"22.6N, 75.7W","22.9N, 75.9W"
"20.9N, 73.3W","21.3N, 73.9W"
,"19.9N, 71.2W"
"17.2N, 67.9W","17.6N, 68.5W"
"18.4N, 79.6W","16.0N, 66.3W"
N,N
NNW,NNW
,NW
,NW
,NW
,NW
NW,NW
NW,NW
NW,NW
WNW,WNW
9,13 mph
9,9 mph
9,8 mph
10,9 mph
12,12 mph
15,15 mph
17,17 mph
20,20 mph
21,20 mph
,18 mph
"Florida
Georgia
South Carolina
North Carolina","Southeastern North Carolina coast, especially Cape Fear to Surf City, with effects spreading up the Mid-Atlantic"
"Florida
Georgia
South Carolina
North Carolina
Virginia
Delaware
New Jersey","Entire South Carolina and North Carolina coastline, extending northward along the Mid-Atlantic states"
"Florida
Georgia
South Carolina
North Carolina",Entire southeast U.S. coastline from Florida through the Carolinas and up the Mid-Atlantic coast
"Florida
Georgia
South Carolina
North Carolina
Virginia
Delaware
New Jersey
Maryland",Entire Southeast and Mid-Atlantic coast from Florida through North Carolina and New England over next 5 days
"South Carolina
North Carolina
Virginia
North Carolina",Entire southeast U.S. coastline from Florida through Georgia and the Carolinas
"Florida
Georgia
South Carolina
North Carolina",Entire southeast U.S. coast from Florida through the Carolinas and up toward the Mid-Atlantic
"Jamaica, Cayman Islands, Cuba, Florida, Georgia, South Carolina, North Carolina",Entire U.S. East Coast from Florida through the Carolinas and Mid-Atlantic
"Jamaica
Cuba
Bahamas
Florida",Entire southeast U.S. coastline from Florida through North Carolina is within the cone of uncertainty
,Entire Southeast U.S. coastline from Florida through the Carolinas is in the projected impact swath
"Jamaica
Cuba
Bahamas
Honduras
Belize","Bahamas, Florida Peninsula, Georgia and Carolina coasts within the day-4/5 cone"
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON SC,WILMINGTON NC
,WILMINGTON NC
WILMINGTON FL,WILMINGTON NC
,WILMINGTON NC
,WILMINGTON NC
WILMINGTON FL,WILMINGTON NC
WILMINGTON,WILMINGTON NC
WILMINGTON,WILMINGTON NC
0,91%
0.000,60%
0.00,56%
0,29%
0.00,24%
0,30%
0,24%
0.05,20%
0,15%
"Based on the provided text, there is no information available about wind speed or probabilities for Wilmington, NC. Therefore, I cannot answer your question.",7%
0.23,54%
0.0000,17%
0.1,17%
0.0000,5%
,4%
,6%
0.000,6%
,4%
0.00,5%
