response,ground_truth
,Yes
Yes,Yes
Yes,Yes
Yes,Yes
,Yes
,Yes
Yes,Yes
Yes,Yes
Yes,Yes
,Yes
C,A.
C,A.
C,C.
B,A.
,A.
B,A.
B,A.
B,A.
B,A.
,C.
,C.
B,C.
C,A.
C,A.
B,A.
B,A.
,A.
B,A.
B,A.
Brownsville to Morehead City,"East of Intracoastal City to west of Morgan City, Louisiana (Hurricane Watch)"
Corpus Christi to Morgan City,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA; Storm-surge watch Freeport TX to San Luis Pass TX and Mouth of Mississippi River to Ocean Springs MS"
Brownsville to Tampa,"Storm Surge Watch from Freeport TX to San Luis Pass and from the Mouth of the Mississippi River to Ocean Springs MS, including Lake Pontchartrain/Maurepas/Borgne"
Louisiana to Florida,"Port Bolivar, TX, to west of Morgan City, LA"
Brownsville to Florida Keys,None issued yet (hurricane and surge watches expected later for northwest Gulf Coast)
Brownsville to Vero Beach,No watches yet for the U.S. Gulf Coast (current watches confined to Cuba/Florida Keys)
Mexico to Bahamas,None issued yet – watches currently confined to the Caribbean and Florida Keys
Brownsville to Melbourne,None posted for U.S. Gulf Coast as of this advisory
Grand Cayman to Turks and Caicos,"Current watches confined to Puerto Rico, the Dominican Republic, Haiti, parts of Cuba and the Bahamas; no Gulf Coast watches yet."
Honduras to Nicaragua,None in effect along U.S. Gulf coast as of this advisory
,"San Luis Pass, TX to Intracoastal City, LA (Hurricane Warning – includes Lake Charles area)"
Brownsville to Morgan City,Hurricane Warning San Luis Pass TX to Intracoastal City LA; Storm Surge Warning San Luis Pass TX to Mouth of the Mississippi River
Brownsville to Morgan City,Hurricane Warning from San Luis Pass TX to Intracoastal City LA; Storm Surge Warning San Luis Pass TX to the Mouth of the Mississippi River
,None for this portion of the coast at the moment
Brownsville to Freeport,None issued yet
Brownsville to Morehead City,No warnings yet for the U.S. Gulf Coast (current warnings confined to Cuba/Florida Keys)
,"None issued yet – warnings currently confined to Hispaniola, Cuba and the southeastern Bahamas"
Brownsville to Savannah,None posted for U.S. Gulf Coast as of this advisory
Grand Cayman to Turks and Caicos,"Current warnings confined to Puerto Rico, the U.S./British Virgin Islands, the Dominican Republic, Haiti and the Turks & Caicos; none yet for the Gulf Coast."
Puerto Barrios to Roatan,None in effect along U.S. Gulf coast as of this advisory
"26.4N, 91.4W","27.3N, 92.5W"
,"25.6N, 90.2W"
"24.4N, 86.4W","24.3N, 87.6W"
"21.8N, 82.2W","22.6N, 85.0W"
"20.9N, -79.7","21.4N, 81.6W"
"18.1N, 75.3W","20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"17.7N, 66.0W","17.9N, 67.5W"
"16.8N, 82.6W","17.3N, 64.4W"
WNW,NW
,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,W
,WNW
15,16 mph
17,17 mph
,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
21,18 mph
,18 mph
"Texas
Louisiana","North-west Gulf Coast from Sea Rim State Park, TX to Intracoastal City, LA including Calcasieu and Sabine Lakes"
"Texas
Louisiana","Upper Texas and southwest Louisiana coasts, including Calcasieu Lake and the Lake Charles area"
,"Upper Texas and southwest Louisiana coastline, especially Sabine Lake, Calcasieu Lake, Cameron Parish, Vermilion Bay"
"Louisiana
Texas
Mississippi
Alabama
Florida","Upper Texas coast through south-central Louisiana, including Calcasieu and Vermilion Bays"
"Texas
Louisiana
Mississippi
Alabama
Florida",north-west Gulf Coast from upper Texas coast through southwest Louisiana
"Florida
Georgia
South Carolina
North Carolina","central and north-western Gulf Coast from Texas to Louisiana, especially the TX/LA border region"
"Yucatan Peninsula
Bay of Campeche
Mexico
Louisiana
Texas",Upper Texas coast to south-west Louisiana expected to receive the core of the storm
"Louisiana
Texas
Cuba
Florida
Alabama",Greater Antilles now; forecast impact stretches from the upper Texas coast eastward across all of coastal Louisiana by mid-week
