response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
,No
,No
,No
,No
Yes,No
Yes,No
B,A.
,A.
B,A.
B,A.
,A.
,A.
,A.
,A.
B,A.
B,A.
,A.
,A.
B,A.
,A.
,A.
B,A.
,A.
B,A.
B,A.
B,A.
Brownsville to Melbourne,None
Brownsville to Vero Beach,"Alabama/Florida border eastward to Navarre, FL (Tropical Storm Watch)"
,"Alabama/Florida border eastward to Ochlockonee River, FL (northern Gulf Coast)"
,None
Florida Keys to Bermuda,Tropical-storm watch area limited to portions of the Florida Panhandle and Alabama (none posted for Puerto Rico)
Florida Keys to Turks and Caicos,Southwest coast of Florida from Englewood south and east to Ocean Reef
,Ciego de Ávila to Granma (Cuba) and southwest Florida coast from Englewood south and east to Ocean Reef
Florida to Turks and Caicos,N/A
South Florida to Bermuda,"Haiti northern coast, southeastern Bahamas, multiple Cuban provinces"
,"Tropical-storm watch for northern Haiti, Turks & Caicos, southeastern Bahamas, several Cuban provinces"
,"Tropical Storm Warning from Navarre, FL to the Wakulla/Jefferson County line; Storm Surge Warning from Indian Pass to Yankeetown, FL (Florida Gulf Coast)"
Brownsville to Vero Beach,"Indian Pass to Yankeetown, FL (Storm‐Surge Warning); Navarre to Wakulla/Jefferson County line, FL (Tropical Storm Warning)"
Brownsville to Melbourne,None
,None
Acklins to Providenciales,Tropical-storm warning in effect for the Florida Keys west of the Seven-Mile Bridge to Dry Tortugas (far from Puerto Rico)
,"Florida Keys west of Ocean Reef to the Dry Tortugas, including Florida Bay"
,"Florida Keys west of Ocean Reef to Dry Tortugas, including Florida Bay"
Belize to Turks and Caicos,N/A
Eleuthera to Puerto Rico,None in effect – only watches issued
,Tropical-storm warning for portions of the Dominican Republic coastline
"27.3N, 85.9W","27.9N, 86.0W"
"26.1N, 84.9W","26.8N, 85.3W"
,"24.4N, 84.6W"
"23.3N, 83.2W","24.0N, 84.6W"
"22.7N, 76.0W","23.3N, 81.7W"
"22.3N, 78.4W","22.3N, 79.6W"
"17.8N, 75.2W","22.0N, 76.7W"
,"21.3N, 75.3W"
"19.5N, 72.2W","20.2N, 73.5W"
"18.2N, 69.7W","18.9N, 71.0W"
NNW,N
NNW,NNW
,NNW
WNW,WNW
,WNW
,W
WNW,WNW
,WNW
WNW,WNW
WNW,WNW
9,9 mph
12,10 mph
