response,ground_truth
Yes,No
Yes,No
Yes,No
No,No
,No
Yes,No
Yes,No
,No
Yes,No
,No
B,A.
,A.
C,A.
B,A.
B,A.
B,A.
B,A.
,A.
,A.
B,A.
B,A.
,A.
C,A.
B,A.
,A.
B,A.
B,A.
B,A.
B,A.
B,A.
,Storm Surge Warning: Indian Pass FL to Yankeetown FL
Brownsville to Vero Beach,Coast of the Florida Panhandle from the Alabama/Florida border to Navarre
Brownsville to Vero Beach,"Alabama/Florida border eastward to Ochlockonee River, FL (northern Gulf Coast)"
Brownsville to Melbourne,
,Tropical Storm Warning in effect for the Florida Keys west of the Seven Mile Bridge to the Dry Tortugas
,Southwest coast of Florida from Englewood south and east to Ocean Reef
Virginia to South Carolina,Cuban provinces of Ciego de Avila east to Granma and the southwest coast of Florida from Englewood south and east to Ocean Reef
,"Tropical Storm Watch in effect for the Florida Keys from Ocean Reef to Dry Tortugas and the southwest Florida coast from Bonita Beach south and east to Ocean Reef, including Florida Bay; portions of central Cuba"
Mexico to Turks and Caicos,"Haiti (northern border to Gonaives), southeastern Bahamas, and the Cuban provinces from Ciego de Avila eastward to Guantanamo"
Jamaica to Turks and Caicos,"Tropical Storm Watch for Haiti (northern coast to Gonaives), Turks & Caicos, southeastern Bahamas, and the Cuban provinces of Ciego de Avila eastward to Guantanamo."
Brownsville to Vero Beach,Tropical Storm Warning: Navarre FL to Wakulla/Jefferson County line FL
,"Coast of the Florida Panhandle from Navarre to the Wakulla/Jefferson County line; storm-surge warning from Indian Pass to Yankeetown, FL"
Brownsville to Melbourne,None issued for this advisory
,
,Same as watch area (Florida Keys west of Seven Mile Bridge to Dry Tortugas)
Florida to Bermuda,"Florida Keys west of Ocean Reef to the Dry Tortugas, including Florida Bay"
Florida to North Carolina,"Florida Keys west of Ocean Reef to the Dry Tortugas, including Florida Bay"
,None at this advisory
,None
Antigua to Turks and Caicos,Tropical Storm Warning for the Dominican Republic south coast from Punta Palenque eastward and north coast from the DR/Haiti border eastward.
,"27.9N, 86.0W"
,"26.8N, 85.3W"
"24.3N, 84.3W","24.4N, 84.6W"
,"24.0N, 84.6W"
"22.7N, 76.0W","23.3N, 81.7W"
,"22.3N, 79.6W"
"17.8N, 74.7W","22.0N, 76.7W"
"18.1N, 74.2W","21.3N, 75.3W"
,"20.2N, 73.5W"
