response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
B,A.
B,A.
,B.
B,B.
B,A.
Hatteras to Bermuda,North of Altamaha Sound GA to South Santee River SC (superseded by warning)
Bahamas to Turks and Caicos,North of Altamaha Sound GA to South Santee River SC
Bahamas to Bermuda,None in effect – interests along NE Florida through southern South Carolina advised to monitor.
Wilmington to Bermuda,"Sebastian Inlet, FL northward to South Santee River, SC – includes entire Georgia coast"
Bermuda to Bahamas,"Altamaha Sound GA southward to Sebastian Inlet FL (includes Port of Brunswick, GA)"
North Carolina to Bermuda,Tropical Storm Warning Indian Pass FL to Englewood FL (Gulf side)
"16.9N, 59.3W","27.0N, 87.0W"
"16.5N, 72.5W","23.6N, 87.8W"
,"21.9N, 88.1W"
ENE,NNE
NNW,N (expected to turn NNE/NE)
N,N
14,16 mph
9,9 mph
8,8 mph
Bermuda,"Florida Gulf Coast, across northern Florida and southeastern Georgia, then Atlantic coasts of Georgia and the Carolinas"
,"Florida Gulf coast, Florida peninsula, Georgia coast, South Carolina coast, and portions of North Carolina coast"
"Bahamas, Florida, Georgia, South Carolina, North Carolina","Florida Big Bend, northeastern Florida Atlantic coast, Georgia and southern South Carolina coasts"
,KINGS BAY GA
,KINGS BAY GA
,KINGS BAY GA
0,81%
0,50%
0,35%
,15%
0,8%
0,6%
68,6
72,21
68,48
72,6
37,33
60,48
0,78%
4,43%
5,35%
B,C.
B,B.
B,A.
Indian Pass to Englewood,"Florida Gulf Coast, across northern Florida and southeastern Georgia, then Atlantic coasts of Georgia and the Carolinas"
,"Florida Gulf coast, Florida peninsula, Georgia coast, South Carolina coast, and portions of North Carolina coast"
Indian Pass to Tampa Bay,"Florida Big Bend, northeastern Florida Atlantic coast, Georgia and southern South Carolina coasts"
B,B.
B,B.
,A.
C,B.
D,B.
C,A.
North Carolina,"Florida Gulf Coast, across northern Florida and southeastern Georgia, then Atlantic coasts of Georgia and the Carolinas"
Florida,"Florida Gulf coast, Florida peninsula, Georgia coast, South Carolina coast, and portions of North Carolina coast"
Virginia,"Florida Big Bend, northeastern Florida Atlantic coast, Georgia and southern South Carolina coasts"
72,9
72,20
,30
,24
24,36
28,36
,D.
,D.
D,D.
,B.
C,B.
C,B.
D,B.
D,B.
,C.
No,Yes
No,Yes
,Yes
A. 0 hours,A.
,B.
D,B.
,9
48,20
48,30
A,A.
A,A.
D,A.
D,B.
D,B.
,B.
D,C.
D,C.
D,B.
Tornadoes are possible.,Isolated tornadoes possible Monday night over coastal southeastern Georgia
Localized coastal flooding and dangerous surf are possible.,Isolated tornadoes possible across southern Georgia as the storm core passes; dangerous seas and strong rip currents in and near the harbor entrance
,Isolated tornadoes in squalls cannot be ruled out.
,"{'in 12h': '79%', 'in 24h': '81%', 'in 48h': '81%', 'in 72h': '81%', 'in 96h': '81%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""60%"",
    ""24_hours"": ""70%"",
    ""48_hours"": ""65%"",
    ""72_hours"": ""55%"",
    ""96_hours"": ""40%""
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '6%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""High"",
    ""24_hours"": ""Very High"",
    ""48_hours"": ""Extremely High"",
    ""72_hours"": ""High"",
    ""96_hours"": ""Moderate""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '35%', 'in 72h': '35%', 'in 96h': '35%'}"
,None
12-06-2016,None
02-07-2024,None
03-07-2024,None
03-07-2016,None
,None
01-08-2024,None
,None
05-07-2016,None
,0
2,0
,0
,None
,None
3,None
,None
1,None
1,None
A. None,A.
"Based on the provided text, it's impossible to determine the number of commercial vessels impacted at the Port of Brunswick, GA. The advisory focuses on the storm's hazards and doesn't mention specific impacts on port operations or vessel numbers.

Therefore, the answer is **A. None** because the text provides no information to answer the question.",A.
A. None,A.
