response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes,No
Yes,No
B,A.
B,A.
B,A.
C,A.
C,A.
C,A.
C,A.
,A.
C,A.
B,A.
B,A.
B,A.
B,A.
C,A.
C,A.
B,A.
B,A.
B,A.
"FL to GA1 Florida 
.",North of Surf City NC to Oregon Inlet including Pamlico Sound; Anclote River to Suwannee River FL; West of Mexico Beach to Walton/Bay County line
Savannah to Charleston,"Tropical Storm Watch is posted from Marineland, FL to South Santee River, SC (well north of PortMiami)."
Virginia to North Carolina,Hurricane Watch Anclote River to Indian Pass; Tropical Storm Watch Marineland FL to Altamaha Sound GA
Florida to North Carolina,"Hurricane Watch Anclote River to Indian Pass, Tropical Storm Watch west of Indian Pass to Walton/Bay County line (Gulf coast of FL)"
Panama City Beach to Edisto Beach,Hurricane Watch Anclote River to Indian Pass; Tropical-Storm Watch Indian Pass westward to Walton/Bay County line (all on Florida Gulf coast)
None,None in effect
Florida Keys to Bermuda,None
Florida Keys to South Carolina,None in effect
Florida to South Carolina,None
Miami to Norfolk,Englewood FL to Suwannee River FL; West of Mexico Beach to Walton/Bay County line; Flagler/Volusia County line FL to Surf City NC
Albany to Norfolk,Hurricane Warning from Suwannee River to Mexico Beach; Tropical Storm Warning from Anclote River to Destin (Gulf coast).
North Carolina to South Carolina,Tropical Storm Warning Anclote River to Walton/Bay County line
