response,ground_truth
,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
B,A.
B,A.
B,A.
B,A.
C,A.
C,A.
,A.
C,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
C,A.
B,A.
Virginia to North Carolina,North of Surf City NC to Oregon Inlet NC including Pamlico Sound (Tropical Storm Watch)
Savannah to Cape Hatteras,"Hurricane Watch: Anclote River to Suwannee River, and west of Mexico Beach to Destin; Tropical Storm Watch: Marineland FL to South Santee River SC"
South Carolina to North Carolina,"Hurricane Watch from Anclote River to Indian Pass, FL"
Florida to North Carolina,"Hurricane Watch: Anclote River to Indian Pass, FL; Tropical Storm Watch: Indian Pass westward to Walton/Bay County line, FL"
Florida to South Carolina,Hurricane Watch: Anclote River FL to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to Walton/Bay County line FL
Florida to Bermuda,None issued (interests in central and northern Florida and SE Georgia advised to monitor).
Florida to Bermuda,None
Florida Keys to South Carolina,None
Florida Keys to North Carolina,No coastal watches issued
None,Englewood FL to Suwannee River FL and west of Mexico Beach FL to Walton/Bay County line FL (Tropical Storm Warning); Suwannee River to Mexico Beach FL (Hurricane Warning)
None,Hurricane Warning: Suwannee River to Mexico Beach; Tropical Storm Warning: Anclote River to Suwannee River and west of Mexico Beach to Destin
Florida to South Carolina,"Tropical Storm Warning from Anclote River to Walton/Bay County line, FL"
Miami to Bermuda,None issued as of Advisory 10A
Melbourne to. to. Jacksonville,None in effect (as of this advisory)
None,None issued.
Florida to South Carolina,None
,None
None,No coastal warnings issued
"27.4N, 86.0W","27.8N, 85.6W"
"28.8N, 76.1W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 76.2W","24.3N, 88.1W"
"24.0N, 82.2W","24.4N, 87.3W"
"24.0N, 78.1W","23.8N, 86.6W"
"23.6N, 76.9W","23.6N, 84.3W"
"24.0N, 82.7W","23.4N, 82.7W"
"20.2N, 74.5W","23.7N, 81.7W"
ESE,NNE
ENE,N (turning NNE soon)
ESE,N
NNW,W
WNW,NW
W,W
W,W
W,W
ENE,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
"Florida
Georgia
South Carolina
North Carolina","Florida Gulf coast (Big Bend) through coastal Georgia, South Carolina, and North Carolina"
"Florida, Georgia, South Carolina, North Carolina, Virginia","Florida Big Bend and Panhandle, then Georgia and the Carolinas Atlantic coastline"
"Bahamas
Florida
Georgia
South Carolina
North Carolina","Florida Gulf coast from Aripeka to Indian Pass, then coastal Georgia and the Carolinas"
"Florida, Georgia, South Carolina, North Carolina",Florida Gulf Coast from Tampa Bay northward through the Big Bend and eastward across the peninsula
"Florida
Georgia
South Carolina
North Carolina",Florida Gulf coast (Big Bend to central peninsula) then Atlantic coast of GA/SC/NC
"Florida
Georgia
South Carolina
North Carolina
Bermuda","Central and northern Florida peninsula and Big Bend, then southeastern Georgia and the Atlantic coasts of the Carolinas."
