response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes,No
Yes,Yes
Yes,No
Yes,Yes
Yes,Yes
B,A.
B,A.
B,A.
B,A.
C,A.
,A.
,A.
B,A.
B,A.
B,A.
B,A.
,A.
,A.
B,A.
,A.
B,A.
,A.
B,A.
Florida to North Carolina,Tropical Storm Watch north of Surf City NC to Oregon Inlet NC (Pamlico Sound)
South Florida to North Carolina,Tropical Storm Watch in effect from Marineland FL northward to South Santee River SC (north of Port Canaveral)
Bahamas to North Carolina,"Marineland, FL to Altamaha Sound, GA (Tropical Storm Watch)"
Florida Keys to Bermuda,"Hurricane Watch from Anclote River to Indian Pass, FL (Gulf coast). Tropical Storm Watch west of Indian Pass to Walton/Bay County line"
South Florida to North Carolina,Hurricane Watch Anclote River to Indian Pass; Tropical Storm Watch west of Indian Pass to Walton/Bay County line (all on Gulf coast)
Florida to Bermuda,None
Florida to South Carolina,No coastal watches in effect
Florida Keys to South Carolina,None issued
Florida Keys to North Carolina,
None,Tropical Storm Warning Flagler/Volusia County line FL to Surf City NC; Hurricane Warning Suwannee River FL to Mexico Beach FL (Gulf side)
Panama City to Charleston,Hurricane Warning from Suwannee River to Mexico Beach FL (Gulf side – well west of Port Canaveral)
South Florida to North Carolina,"Anclote River to Walton/Bay County line, FL (Tropical Storm Warning); Anclote River to Indian Pass, FL (Hurricane Watch)"
Miami to Bermuda,None in effect at this advisory
None,None in effect at this advisory
Florida to North Carolina,None
Florida to North Carolina,No coastal warnings in effect
,None issued
Mobile to Wilmington,
"27.4N, 86.0W","27.8N, 85.6W"
"28.8N, 87.0W","26.0N, 87.0W"
"24.6N, 76.0W","24.7N, 88.0W"
"24.3N, 76.2W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"24.0N, 78.4W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"24.4N, 82.7W","23.4N, 82.7W"
"24.0N, 74.1W","23.7N, 81.7W"
SSE,NNE
ENE,"N (north, 10°)"
ESE,N (010°)
NNW,W
WNW,NW
W,W
W,W
W,W
ENE,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
