response,ground_truth
No,Yes
No,Yes
No,No
,No
No,No
Yes,Yes
No,No
No,No
No,No
B,A.
A,A.
A,A.
B,A.
A,A.
B,A.
A,A.
,A.
A,A.
A,A.
A,A.
A,A.
,A.
A,A.
A,A.
A,A.
A,A.
A,A.
Virginia to North Carolina,North of Surf City NC to Oregon Inlet including Pamlico Sound
Astoria to Bermuda,Tropical Storm Watch from Marineland FL to South Santee River SC
,Marineland Florida to Altamaha Sound Georgia (Tropical Storm Watch); Anclote River to Indian Pass (Hurricane Watch)
Florida to North Carolina,"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
Savannah to Melbourne,Hurricane Watch from Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to Walton/Bay County line FL
Florida to South Carolina,None in effect – interests in central/northern FL and southeast GA advised to monitor
Virginia to North Carolina,None in effect
Florida Keys to South Carolina,None in effect
North Carolina to South Carolina,
Florida to North Carolina,Flagler/Volusia County line FL to Surf City NC; Englewood FL to Suwannee River FL; west of Mexico Beach FL to Walton/Bay County line; Suwannee River to Mexico Beach under Hurricane Warning
Florida to South Carolina,Hurricane Warning Suwannee River–Mexico Beach FL; Tropical Storm Warning Anclote River–Suwannee River FL and west of Mexico Beach–Destin FL
South Florida to North Carolina,"Anclote River to Walton/Bay County line, FL (Tropical Storm Warning)"
Florida to South Carolina,None
None,None issued as of Advisory 9
Florida to North Carolina,None in effect
Florida to South Carolina,None in effect
Florida Keys to Savannah,None in effect
New Orleans to Savannah,
"27.4N, 86.0W","27.8N, 85.6W"
"28.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 76.1W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"24.3N, 77.2W","23.8N, 86.6W"
"23.6N, 76.7W","23.6N, 84.3W"
"24.4N, 82.7W","23.4N, 82.7W"
,"23.7N, 81.7W"
ESE,NNE
,N
ESE,N
NNW,W
WNW,NW
W,W
W,W
W,W
ENE,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
,7 mph
7,7 mph
9,9 mph
9,9 mph
"Florida
Georgia
South Carolina
North Carolina
Virginia","Florida Gulf Coast, Southeast Atlantic coast, Mid-Atlantic coast from NC to southern New England"
"Florida, Georgia, South Carolina, North Carolina, Virginia","Florida Big Bend Gulf Coast, then Atlantic coast from Georgia through the Carolinas, Virginia, Delmarva, New Jersey and southern New England"
"Florida 
Georgia
South Carolina
North Carolina","Gulf coast of Florida, then Atlantic coasts of Georgia, the Carolinas, and eventually the Mid-Atlantic and southern New England coasts"
"Florida
Georgia
South Carolina
North Carolina","Gulf coast of Florida Big Bend Thursday, then Atlantic coast from northern Florida through the Carolinas and offshore Mid-Atlantic by the weekend"
"Florida
Georgia
South Carolina","Florida Gulf Coast (Big Bend), then the coasts of GA, SC and NC as the system moves NE and offshore"
"Florida
Georgia
South Carolina
North Carolina
Virginia
Bermuda","Florida Big Bend through coastal GA/SC/NC, then out over the open Atlantic south of New England"
,"Florida Gulf Coast, then Atlantic coastline from Florida through the Carolinas and adjacent Atlantic waters"
,"Florida Gulf coast, Florida peninsula, Georgia and the Carolinas coastline, with the system then moving offshore of the Mid-Atlantic"
"Florida
Alabama
Mississippi
Louisiana","Gulf Coast of Florida, then Georgia–South Carolina–North Carolina coasts"
,PHILADELPHIA
,PHILADELPHIA
,PHILADELPHIA
WILMINGTON DE,PHILADELPHIA
WILMINGTON FL,CAPE HENLOPEN DE
,ATLANTIC CITY  NJ
WILMINGTON,CAPE HENLOPEN DE
WILMINGTON,OCEANA NAS VA
,CAPE HATTERAS NC (≈5 % cumulative 34-kt)
"I am sorry, but this data does not contain information about Philadelphia Regional Port, PA. Therefore, I cannot determine the cumulative probability of 34-kt wind arrival.",15%
"There is no data provided for Philadelphia Regional Port, PA in the text. Therefore, PA     34 34 PA   N    34    N 34  N N 3    N     N    N     N     N 3     34    N 3    N*     3*    N 3    N     3    N* 3 3N* 3N*    N* 3N* 3N* 3    * 3 N*     3*    N 3* 3    * 3*    * 3A 3* 3*    *    *A 3* 3A* * 3A*A 3A 3 *AS* 3S     * 3    * 3S 3    S 3*    *S* 3 3S 3S*S*A 3*S   S*A*    *S 3AS*S*    AS*SA*SA    SAS*SA*  SAS*SA *SA   SA SA 3     SA* 5* 5*X 5* 5x 5* 5. 5X 5 5 5 5 5 5 5x 5X 5 5 5 5  5 5 5 5 5 5 5, there are, if any is not given your 3  62 is: If not, don please 6 given, give any, you aF
 4 A
 don of A",18%
"There is no information about Philadelphia Regional Port, PA in the provided text. Therefore, I cannot answer the question.",10%
"Based on the provided text, there is no information about Philadelphia Regional Port, PA, nor wind probabilities. Therefore, I cannot answer the question.

0",9%
0,3%
"I am unable to answer the request, as the data provided does not cover Philadelphia Regional Port, PA.",3%
"The provided text does not contain any information about the cumulative probability of 34-kt wind arrival at Philadelphia Regional Port, PA. It's a list of wind forecasts for various locations.",3%
"There is no mention of Philadelphia Regional Port, PA in the provided text.",3%
,0%
,0%
0,3%
0,0%
0,<3%
"I am unable to answer the question about the cumulative probability of 50-kt wind arrival at Philadelphia Regional Port, PA, as the provided text does not contain this information. It appears to be a weather forecast report, but it does not specify wind probabilities for any particular location.",<1%
,0%
0,0%
2,<1%
X,0%
,60
"I am unable to answer the question. The provided text does not contain information about wind probabilities or forecasts for Philadelphia Regional Port, PA.",120
"I am unable to answer the question about the wind probability at Philadelphia Regional Port. The provided text does not contain that information. It appears to be a data table related to wind forecasts in the Gulf of Mexico and surrounding areas, not Philadelphia.",96
"This question is unanswerable. The provided text is a forecast discussion, not a specific forecast product. It contains information about various locations and wind probabilities, but it doesn't include any data or timing for Philadelphia Regional Port, PA.",96
"I am unable to answer this question. The provided text does not contain any information about wind probabilities or forecasts for Philadelphia Regional Port, PA.",120
"I cannot answer the question about Philadelphia Regional Port, PA. The provided text does not contain any information about forecasts for that location.",120
1,120
