response,ground_truth
No,Yes
Yes,Yes
Yes,No
Yes,No
Yes,Yes
C,A.
B,A.
B,A.
B,A.
B,A.
,A.
,A.
B,A.
B,A.
B,A.
Corpus Christi to Grand Isle of Orleans,"Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico; Storm Surge Watch south of Port Mansfield, TX, to the Mouth of the Rio Grande"
Brownsville to Port Arthur,N/A – no watches posted for Louisiana coast at this time
Brownsville to Corpus Christi,"Storm Surge Watch south of Port Mansfield TX to the Mouth of the Rio Grande and north of San Luis Pass to High Island TX; Hurricane Watch south of Port Mansfield TX to the Mouth of the Rio Grande; Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico"
Brownsville to Corpus Christi,Storm-surge watch Port Mansfield TX to High Island TX; Hurricane watch north of Port Mansfield to San Luis Pass; Tropical-storm watch Boca de Catan MX to Port Mansfield TX and north of San Luis Pass to High Island TX
Brownsville to Port Lavaca,Storm Surge Watch: Port Mansfield TX to High Island TX; Hurricane Watch: Port Mansfield to San Luis Pass; Tropical Storm Watch: Mouth of Rio Grande to Port Mansfield and San Luis Pass to High Island
Corpus Christi to Grand Isle,"Storm Surge Warning Port Mansfield to High Island, TX; Hurricane Warning Port Mansfield to Sargent, TX; Tropical Storm Warning North of Sargent to High Island, TX and south of Port Mansfield to Mouth of the Rio Grande"
Corpus Christi to Port Arthur,Hurricane Warning Port Mansfield TX to Sargent TX; Tropical-Storm Warning north of Sargent to High Island TX
Corpus Christi to Cameron,Storm Surge Warning Port Mansfield to San Luis Pass TX; Hurricane Warning Port Mansfield to Matagorda TX; Tropical Storm Warning north of Matagorda to High Island TX and south of Port Mansfield to the Mouth of the Rio Grande
Corpus Christi to Port Lavaca,None in effect yet (warnings expected Thursday for parts of the Texas coast)
Brownsville to Port Arthur,None
"25.9N, 95.4W","26.7N, 96.0W"
"25.1N, 93.4W","25.2N, 94.6W"
,"24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
,"21.5N, 92.5W"
