response,ground_truth
Yes,No
Yes,No
Yes,Yes
Yes,Yes
,Yes
Yes,Yes
Yes,Yes
Yes,No
C,A.
B,A.
C,A.
C,A.
C,A.
C,A.
C,A.
B,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
B,A.
Bahamas to Turks and Caicos,"Tropical Storm Watch in effect for British Virgin Islands, St. Thomas and St. John (northern U.S. Virgin Islands), Montserrat, St. Kitts and Nevis"
Turks and Caicos Islands to Bermuda,N/A
Antigua to Dominica,"Hurricane Watch – Antigua, Barbuda, Anguilla, Sint Maarten, St. Martin; Tropical Storm Watch – Montserrat, St. Kitts, Nevis, Saba, St. Eustatius"
Bahamas to Turks and Caicos,"Hurricane Watch: Antigua & Barbuda; Tropical Storm Watch: Anguilla, Montserrat, St. Kitts & Nevis, Saba, St. Eustatius"
Turks and Caicos Islands to Bermuda,None in effect
Puerto Rico to Leeward Islands,
Cayman Islands to Puerto Rico,None
Grand Cayman to Turks and Caicos,None
Turks and Caicos Islands to Bermuda,"Hurricane Warning for Barbuda, Anguilla, Sint Maarten, St. Martin, St. Barthelemy; Tropical-storm Warning for Antigua, Saba and St. Eustatius"
Bahamas to Bermuda,N/A
Antigua to Turks and Caicos,"Tropical Storm Warning – Antigua, Barbuda, Anguilla"
Antigua to Puerto Rico,None in effect
Belize to Honduras,None in effect
,
Turks and Caicos Islands to Puerto Rico,None
Turks and Caicos Islands to Puerto Rico,None
"16.7N, 58.8W","16.9N, 59.3W"
"16.1N, 56.2W","16.3N, 57.1W"
"15.6N, 53.2W","15.6N, 53.9W"
"14.8N, 49.1W","14.9N, 50.6W"
"13.9N, 45.8W","14.4N, 47.5W"
"12.5N, 77.3W","13.1N, 44.5W"
,"12.3N, 41.7W"
"12.3N, 77.6W","12.3N, 39.1W"
WNW,WNW
WNW,WNW
WNW,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,W
WNW,WNW
17,14 mph
16,18 mph
18,18 mph
18,18 mph
16,17 mph
13,17 mph
12,14 mph
13,13 mph
"Bahamas
Cuba
Jamaica
Cuba
Puerto Rico
Turks & Caicos Islands",Northern Leeward Islands from Guadeloupe northward to Anguilla and adjacent waters
