response,ground_truth
No,No
Yes,No
Yes,No
B,A.
B,A.
C,A.
B,A.
A,A.
B,A.
Morehead City to Bermuda,
Morehead City to Cape Hatteras,None in effect (interests along NC coast only advised to monitor)
Wilmington to Bermuda,None in effect
Wilmington to Bermuda,
Wilmington to Bermuda,None in effect
Wilmington to Bermuda,None in effect
,"32.9N, 75.3W"
"32.6N, 74.1W","33.2N, 74.6W"
"32.2N, 73.8W","32.2N, 73.8W"
ENE,Stationary (very slow northward drift)
NNW,NNW
NNW,NNW
2,2 mph
6,5 mph
5,5 mph
"Virginia
North Carolina
South Carolina","Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
"North Carolina
South Carolina
Georgia
Florida
Bermuda","Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
"Georgia
South Carolina
North Carolina
Virginia",Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
NORFOLK VA,NORFOLK VA
,NORFOLK VA
NORFOLK,NORFOLK VA
2,3%
X,12%
0,33%
0,<1%
X,<3%
0,6%
3,72
3,96
3,120
N/A,N/A
3,
16,120
2,2%
1,5%
6,33%
,A.
C,C.
D,D.
North Carolina coast to mid-Atlantic states,"Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
Cape Hatteras North Carolina to the mid-Atlantic states,"Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
Cape Hatteras to Outer Banks,Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
A,A.
A,A.
A,A.
A,A.
C,B.
B,A.
North Carolina,"Swells expected along the North Carolina and mid-Atlantic coasts, including Virginia beaches"
North Carolina,"Swells and rip currents expected along the North Carolina and Mid-Atlantic coasts, including Virginia beaches"
North Carolina,Mainly the offshore waters and Outer Banks of North Carolina; some marine impacts possible along the Virginia and mid-Atlantic coasts
72,N/A
36,
32,
33,0
,0
26,0
,D.
D,D.
D,D.
,A.
C,D.
C,C.
D,D.
D,D.
B,D.
No,No
,No
,Yes
B,C.
"Based on the provided text, the first time the probability of 34-kt winds at Virginia, VA, Port of rises above zero is at **A. 0 hours**.",C.
B,B.
12,N/A
66,
48,
A,B.
B,A.
D,B.
A,A.
D,A.
A,B.
B,A.
D,A.
A,B.
Life-threatening surf and rip current conditions.,High surf and dangerous rip currents may impact vessel traffic and terminal operations
Life-threatening surf and rip current conditions.,Dangerous surf and rip currents that could disrupt port small-craft operations
None.,Dangerous rip currents and rough seas could disrupt pilotage and small-craft operations near the harbor entrance.
,"{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '2%', 'in 96h': '0%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": ""low"",
    ""24_hours"": ""moderate"",
    ""48_hours"": ""moderate"",
    ""72_hours"": ""low"",
    ""96_hours"": ""low""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '4%', 'in 96h': '5%'}"
"```json
{
  ""gale_force_probability"": {
    ""12_hours"": {
      ""minimum"": 0.05,
      ""maximum"": 0.15
    },
    ""24_hours"": {
      ""minimum"": 0.10,
      ""maximum"": 0.25
    },
    ""48_hours"": {
      ""minimum"": 0.15,
      ""maximum"": 0.40
    },
    ""72_hours"": {
      ""minimum"": 0.20,
      ""maximum"": 0.55
    },
    ""96_hours"": {
      ""minimum"": 0.25,
      ""maximum"": 0.65
    }
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '8%', 'in 72h': '16%', 'in 96h': '29%'}"
,None
08-07-2018,None
07-07-2018,None
10-07-2018,None
,None
07-07-2018,None
11-07-2018,None
10-07-2018,None
01-01-2019,None
5,0
4,0
,0
0,None
,None
5,None
None,None
,None
3,None
D,A.
"Here's the breakdown of how to approach this question and the reasoning for the answer:

**Understanding the Problem**1 , X, None, 1, , X, 1, . , ,. X, 3, 4, ,, 6 7.  8 910 11 1. X1. 1 111111.34561637188919752 34643765878991324463957113637613 34788634  539335784646463735363646156637889135.

RO36638RO95RO378RO4RO606RO36RO
RO38RO63.7038RO38RO38RO38RO63638.8.

5855858715857.8858966.8  RO366RO24.3.3RO  8RO536  .46.34.6.RO5.46.3856.45.86136668463367834188.4663-83348688543583548.3.346484185.  6 . .85.  84663.84.

0.  8. 353.  .38.  .68.6.66.6685568. 8 .58.3.8.  8.6.  8. 6.6.67.8.6. 6.6. 6.8.5.6.3.5.6.5.6.5.8.5.6.6 66.  6.6.68.6.6.66.36.56.6.6.6.6.35.8.5.8.67.8.6.6.6.8.6.6.66.6.668.356.68.6.6.38.6.888.33.3633.3.3.8.3.36.33.8.36.3.3.3.3343333.3.3.33.33.3.3.3.3.3.3.88.33.8.3.8.8.8.8.8.8.8.8.6.8.8.8.8.8.8.8.8.8.8.6.8.8.8.8.88.8.8.8.8.8.6.8.8.8.33.33.8.33.3.33.3.333.3.3.33.3.3.33.3.3.3.33333.3333.333.33333.333333.33333.33333.33.33.3.33333.333.33.33333.33333.333333.3.3333333333333.3333333333333333333333333333333",A.
