response,ground_truth
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,C.
,C.
B,C.
,C.
C,C.
C,B.
B,B.
B,B.
B,B.
C,B.
,A.
C,A.
Corpus Christi to Tampa,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Brownsville to Mobile,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Brownsville to Pascagoula,Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron
Corpus Christi to Mobile,"Mouth of the Mississippi River westward to Cameron, LA"
Corpus Christi to Mobile,"Mouth of the Mississippi River to Cameron, LA"
Corpus Christi to Morehead City,"Mouth of the Mississippi River to Morgan City, Louisiana"
Corpus Christi to Morehead City,"Mouth of the Pearl River to Grand Isle, Lake Pontchartrain and Lake Maurepas including metropolitan New Orleans, Intracoastal City to Cameron"
Corpus Christi to Mobile,Mouth of the Pearl River to Grand Isle; Lake Pontchartrain and Maurepas including metropolitan New Orleans; Intracoastal City to Cameron
,Intracoastal City to Grand Isle (Hurricane) and Mouth of the Pearl River to Grand Isle including Lakes Pontchartrain & Maurepas (Tropical Storm)
Corpus Christi to Mobile,Mouth of the Pearl River to Morgan City (Tropical Storm); Mouth of the Atchafalaya River to Shell Beach (Storm Surge)
Corpus Christi to Morehead City,None in effect as of Advisory #3
,None
,"28.6N, 91.0W"
,"28.2N, 90.4W"
"29.8N, 89.3W","27.9N, 89.4W"
,"27.8N, 88.7W"
,"27.7N, 88.0W"
"28.5N, 86.4W","28.5N, 86.4W"
WNW,WNW
WNW,WNW
WNW,W
E,W
WSW,WSW
WSW,WSW
6,3 mph
5,5 mph
,3 mph
,5 mph
8,9 mph
8,8 mph
"Texas
Louisiana
Mississippi
Alabama",North-central Gulf Coast of Louisiana and Mississippi
"Texas
Louisiana",north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
"Louisiana
Mississippi
Alabama",North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
"Texas
Louisiana
Mississippi
Alabama","North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
"Texas
Louisiana
Mississippi
Alabama
Florida",North-central Gulf Coast including all of Louisiana and portions of Mississippi
"Texas
Louisiana
Mississippi
Alabama
Alabama","Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
BURAS LA,NEW ORLEANS LA
"Based on the provided table and data, the closest location to South Louisiana is **JASPER TX**.



Let me know if you'd like me to analyze anything else from the table.",NEW ORLEANS LA
,NEW ORLEANS LA
99,84%
,61%
1,58%
,53%
I am unable to determine the cumulative probability of a 34-kt wind arrival based on the provided data. The data consists of a list of locations and some wind data but it does not contain the information needed to calculate this type of forecast.,38%
0,37%
8,19%
,8%
2,18%
1,14%
"I am unable to answer this question. The provided text is a weather forecast, not a probability forecast. It provides observations and predictions about weather conditions, but it doesn't provide cumulative probabilities for 50-kt wind arrival at a specific location. Therefore, I cannot extract the necessary information to calculate the requested probability.",8%
0.00,7%
3,6
17,48
23,120
34,72
1,120
,120
19,12
2,36
20,96
35,72
5,96
3,120
99,82%
28,61%
,58%
,27%
3,38%
,37%
,B.
C,C.
C,C.
D,D.
A,A.
D,D.
Intracoastal City to Grand Isle,North-central Gulf Coast of Louisiana and Mississippi
Intracoastal City to Grand Isle,north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
,North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
,"North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
Mouth of the Mississippi River to Cameron,North-central Gulf Coast including all of Louisiana and portions of Mississippi
Mouth of the Pearl River to Morgan City,"Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
,B.
,B.
B,B.
B,B.
C,B.
C,B.
B,C.
D,A.
C,B.
D,C.
Florida,North-central Gulf Coast of Louisiana and Mississippi
Louisiana,north-central Gulf Coast from southeast Texas across all of coastal Louisiana to the Mississippi and Alabama coasts
Louisiana,North-central Gulf Coast from upper Texas coast eastward to the Mississippi/Alabama border
Texas,"North-central Gulf Coast, especially Louisiana coast from Intracoastal City to the Pearl River including the Mississippi Delta"
Louisiana,North-central Gulf Coast including all of Louisiana and portions of Mississippi
Florida,"Central U.S. Gulf Coast from the Upper Texas coast to the western Florida Panhandle, highest risk along the Louisiana coast"
28,15
26,28
28,36
28,38
33,48
28,69
24,24
24,36
24,72
24,60
24,24
,N/A
D,D.
,D.
D,D.
D,D.
D,D.
D,D.
C,C.
C,C.
C,C.
C,C.
C,B.
,C.
,B.
D,C.
D,D.
D,D.
