response,ground_truth
No,No
Yes,No
Yes,No
A,A.
B,A.
A,A.
A,A.
A,A.
A,A.
Corpus Christi to New Orleans,"Tropical-storm watch area extends east of Morgan City LA to the Okaloosa/Walton County line FL, including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
Corpus Christi to Tampa,None in the Mid-Atlantic; tropical-storm watches cover Intracoastal City LA eastward to the Florida Panhandle
Corpus Christi to Tampa,"Intracoastal City, Louisiana to the Alabama/Florida border including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans"
Louisiana to South Carolina,Same segment of the north-central Gulf Coast (East of Morgan City LA to the Okaloosa/Walton County line FL) now under Tropical Storm Warning
Brownsville to Morehead City,"Tropical-Storm Warning from Intracoastal City, LA to the Okaloosa/Walton County line, FL including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
Louisiana to South Carolina,"Intracoastal City, Louisiana to the Alabama/Florida border including Lake Pontchartrain, Lake Maurepas, and Metropolitan New Orleans (Tropical Storm Warning)"
"26.5N, 91.1W","27.9N, 91.2W"
"23.5N, 92.2W","25.2N, 91.5W"
"22.9N, 92.4W","22.9N, 92.4W"
ENE,N
N,N
N,N
14,16 mph
9,14 mph
9,9 mph
"Texas
Louisiana
Mississippi
Alabama
Florida","Central Gulf Coast from Louisiana eastward to the western Florida Panhandle; interior track through MS, AL, GA and the Carolinas"
"Texas
Louisiana
Mississippi
Alabama
Florida",Northern Gulf Coast initially (LA-MS-AL-FL Panhandle) then interior Southeast and Appalachians; Mid-Atlantic could see rain and gusty winds early next week
"Louisiana
Mississippi
Alabama
Florida","Northern Gulf Coast from Louisiana to Alabama, with impacts spreading inland across the Southeast"
Atlanta GA,ATLANTA GA
ATLANTA GA,ATLANTA GA
Atlanta GA,ATLANTA GA
"There is no data for Baltimore, MD in the provided text.",0%
"There is no information about Baltimore, MD in the provided text. Therefore, the answer is 0.",0%
0,3%
X,0%
0,0%
0,0%
N/A,N/A
N/A,N/A
N/A,72
N/A,N/A
N/A,N/A
N/A,N/A
N/A,0%
N/A,0%
N/A,3%
D,C.
D,D.
C,D.
"Cameron, LA to Okaloosa/Walton County Line, FL","Central Gulf Coast from Louisiana eastward to the western Florida Panhandle; interior track through MS, AL, GA and the Carolinas"
Intracoastal City Louisiana to the Okaloosa/Walton County line,Northern Gulf Coast initially (LA-MS-AL-FL Panhandle) then interior Southeast and Appalachians; Mid-Atlantic could see rain and gusty winds early next week
Intracoastal City Louisiana to the Alabama/Florida border,"Northern Gulf Coast from Louisiana to Alabama, with impacts spreading inland across the Southeast"
A,B.
A,B.
C,D.
D,B.
D,B.
Florida,"Central Gulf Coast from Louisiana eastward to the western Florida Panhandle; interior track through MS, AL, GA and the Carolinas"
Florida,Northern Gulf Coast initially (LA-MS-AL-FL Panhandle) then interior Southeast and Appalachians; Mid-Atlantic could see rain and gusty winds early next week
Florida,"Northern Gulf Coast from Louisiana to Alabama, with impacts spreading inland across the Southeast"
21,12
72,24
28,36
24,72
72,96
24,96
C,D.
B,D.
C,D.
B,A.
C,B.
C,B.
D,A.
D,A.
D,D.
No,No
No,No
No,No
D,A.
D,A.
D,D.
0,12
0,24
60,36
D,B.
D,B.
D,B.
A,B.
B,B.
A,B.
B,A.
B,A.
B,B.
Tornadoes.,None
Tornadoes.,"Very low-end risk of an isolated short-lived tornado in the Mid-Atlantic if moisture and shear align, but confidence is low"
Tornadoes.,Isolated thunderstorms; very low tornado threat
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""5"",
    ""in 48h"": ""6"",
    ""in 72h"": ""6"",
    ""in 96h"": ""6""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""13"",
    ""in 48h"": ""18"",
    ""in 72h"": ""16"",
    ""in 96h"": ""11""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""3"",
    ""in 48h"": ""8"",
    ""in 72h"": ""11"",
    ""in 96h"": ""11""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '3%'}"
19-06-2021,None
19-06-2021,None
17-06-2021,None
18-06-2021,None
20-06-2021,None
18-06-2021,None
19-06-2021,None
20-06-2021,None
21-06-2021,None
3,0
3,0
3,0
2,None
2,None
1,None
None,None
None,None
None,None
A,A.
A,A.
D,A.
