response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C,A.
C,A.
C,A.
C,C.
B,A.
C,A.
C,A.
B,A.
B,A.
C,A.
C,C.
C,C.
C,C.
C,A.
C,A.
C,A.
B,A.
B,A.
C,A.
C,A.
Corpus Christi to New Orleans,None
Mexico to Louisiana,"Tropical Storm Watch east of the mouth of the Pearl River to Bay St. Louis, MS"
Mexico to Louisiana,Storm Surge Watch from High Island TX to Sabine Pass
Brownsville to Port Isabelle,"High Island, TX to Grand Isle, LA (Hurricane Watch); High Island, TX to AL/FL border including Calcasieu Lake (Storm Surge Watch)"
Amatenango to Campeche,No watches yet issued along the northern Gulf Coast (expected later today)
Brownsville to Cancun,None in force yet (watches expected to be issued Wednesday for the northern Gulf Coast).
Veracruz to Yucatán,None in effect for U.S. Gulf Coast as of this advisory
Tulum to Freeport,No U.S. coastal watches are yet in effect (current watches/warnings confined to Cuba and the Yucatán Peninsula).
Quintana Roo to Cuba,
Quintana Roo to Puerto Rico,Hurricane Watch for Pinar del Rio & Artemisa (Cuba) and Isle of Youth; Tropical Storm Watch La Habana (Cuba)
Brownsville to New Orleans,"High Island, TX to Morgan City, LA (includes Lake Charles/Cameron)"
Mexico to Florida,"Hurricane Warning from High Island, TX to Morgan City, LA; Storm Surge Warning from High Island, TX to Ocean Springs, MS including Calcasieu Lake"
Brownsville to Port Fourchon,Hurricane Warning east of Sabine Pass to Morgan City LA; Storm Surge Warning Sabine Pass to Ocean Springs MS including Calcasieu Lake
Corpus Christi to New Orleans,No hurricane or tropical-storm warnings currently in effect for the northern Gulf coast (Yucatan Peninsula only)
Campeche to Yucatán,None in effect along northern Gulf Coast as of this advisory
Campeche to Yucatán,None in force yet (warnings expected later).
Tampico to Morelia,None in effect for U.S. Gulf Coast as of this advisory
Quintana Roo to Turks and Caicos,No U.S. coastal warnings are yet in effect (current warnings confined to Cuba and the Yucatán Peninsula).
Belize to Turks and Caicos,
Belize to Puerto Rico,Tropical Storm Warning for the Cayman Islands
"26.2N, 93.6W","27.5N, 93.8W"
"24.4N, 93.1W","25.3N, 93.5W"
"23.0N, 91.3W","23.7N, 92.3W"
"21.8N, 88.8W","22.3N, 90.2W"
"20.0N, 85.7W","21.1N, 87.4W"
"18.5N, 83.5W","19.2N, 84.5W"
"17.1N, 80.6W","17.8N, 82.0W"
"16.1N, 79.2W","16.5N, 79.6W"
"18.9N, 77.8W","16.4N, 78.4W"
"16.7N, 76.6W","16.9N, 76.9W"
NNW,N
WNW,NNW
WNW,NW
NW,NW
WNW,NW
WNW,WNW
WNW,WNW
W,WNW
WNW,WNW
WNW,WNW
12,12 mph
13,12 mph
17,15 mph
17,17 mph
16,17 mph
16,17 mph
7,15 mph
7,8 mph
9,9 mph
10,10 mph
"Louisiana
Mississippi
Alabama","Upper Texas coast through south-central Louisiana, highest impacts southwest and south-central Louisiana including Calcasieu and Vermilion Bays"
"Mexico, Yucatan, Louisiana, Mississippi, Alabama, Florida",upper Texas coast through south-central Louisiana coastline
"Mexico, Texas, Louisiana, Mississippi, Alabama",Southwest and south-central Louisiana coast (High Island TX eastward to Morgan City LA)
"Mexico
Louisiana
Texas","Northern Gulf Coast from High Island, TX eastward to the Alabama/Florida border, greatest impacts focused on southwest and south-central Louisiana"
"Mexico, Yucatan Peninsula, Cuba, Florida",Texas–Louisiana border eastward to Mississippi/Alabama coastline
"Yucatán Peninsula
Bay of Campeche",Upper Texas coast eastward across all of Louisiana and Mississippi coasts.
"Yucatán Peninsula
Campeche
Quintana Roo",Western and central Gulf Coast from the upper Texas shoreline eastward through Louisiana and into Mississippi
"Yucatán Peninsula
Belize
Honduras
Nicaragua
Cuba
Bahamas
Florida","Entire Louisiana coast eastward to western Alabama is shown in the day-4/5 portion of the cone, with highest risk along southwest and south-central Louisiana."
"Cuba
Jamaica
Bahamas
Honduras
Nicaragua
Belize",Upper Texas coast eastward across all of Louisiana into coastal Mississippi and Alabama
"Mexico
Belize
Honduras
Nicaragua
Costa Rica","North-western Caribbean Islands, western Cuba, northern Gulf Coast from Texas–Louisiana border eastward to Mississippi/Alabama coast"
LAKE CHARLES,LAKE CHARLES
Lake Charles,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES
LAKE CHARLES,LAKE CHARLES
Lake Charles,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES
Lake Charles,LAKE CHARLES LA
Lake Charles,LAKE CHARLES LA
LAKE CHARLES,LAKE CHARLES LA
54,97%
79,94%
73,85%
18,72%
27,63%
37,68%
16,46%
13,35%
3,31%
1,17%
67,67%
50,74%
47,55%
15,39%
11,35%
7,38%
2,22%
2,14%
17,12%
2,6%
4,6
34,36
21,72
36,48
18,96
33,120
7,120
13,120
48,120
12,120
67,12
13,48
18,72
11,48
46,96
15,120
2,120
10,120
14,120
7,120
56,56%
94,94%
71,85%
48,46%
41,63%
37,68%
7,46%
23,35%
18,31%
1,17%
B,B.
D,D.
D,A.
C,C.
D,B.
D,D.
D,C.
D,C.
D,C.
B,A.
"Rockefeller Wildlife Refuge, LA to Morgan City, LA","Upper Texas coast through south-central Louisiana, highest impacts southwest and south-central Louisiana including Calcasieu and Vermilion Bays"
"Rockefeller Wildlife Refuge, LA to Morgan City, LA",upper Texas coast through south-central Louisiana coastline
"Cameron, LA to Pecan Island, LA",Southwest and south-central Louisiana coast (High Island TX eastward to Morgan City LA)
"Cameron, LA to Pecan Island, LA","Northern Gulf Coast from High Island, TX eastward to the Alabama/Florida border, greatest impacts focused on southwest and south-central Louisiana"
Tulum to Progreso,Texas–Louisiana border eastward to Mississippi/Alabama coastline
Tulum to Progreso,Upper Texas coast eastward across all of Louisiana and Mississippi coasts.
Tulum to Dzilam,Western and central Gulf Coast from the upper Texas shoreline eastward through Louisiana and into Mississippi
Tulum to Rio Lagartos Mexico,"Entire Louisiana coast eastward to western Alabama is shown in the day-4/5 portion of the cone, with highest risk along southwest and south-central Louisiana."
Isle of Youth to western Cuba,Upper Texas coast eastward across all of Louisiana into coastal Mississippi and Alabama
Isle of Youth to western Cuba,"North-western Caribbean Islands, western Cuba, northern Gulf Coast from Texas–Louisiana border eastward to Mississippi/Alabama coast"
E,E.
E,E.
D,D.
C,C.
D,D.
F,F.
D,D.
C,C.
B,B.
D,D.
B,B.
B,B.
B,B.
B,A.
D,D.
C,A.
D,B.
D,B.
D,D.
Mississippi,"Upper Texas coast through south-central Louisiana, highest impacts southwest and south-central Louisiana including Calcasieu and Vermilion Bays"
Carolinas,upper Texas coast through south-central Louisiana coastline
Louisiana,Southwest and south-central Louisiana coast (High Island TX eastward to Morgan City LA)
Texas,"Northern Gulf Coast from High Island, TX eastward to the Alabama/Florida border, greatest impacts focused on southwest and south-central Louisiana"
Yucatán Peninsula,Texas–Louisiana border eastward to Mississippi/Alabama coastline
Yucatán Peninsula,Upper Texas coast eastward across all of Louisiana and Mississippi coasts.
Yucatán Peninsula,Western and central Gulf Coast from the upper Texas shoreline eastward through Louisiana and into Mississippi
Yucatán Peninsula,"Entire Louisiana coast eastward to western Alabama is shown in the day-4/5 portion of the cone, with highest risk along southwest and south-central Louisiana."
Yucatán Peninsula,Upper Texas coast eastward across all of Louisiana into coastal Mississippi and Alabama
Yucatán Peninsula,"North-western Caribbean Islands, western Cuba, northern Gulf Coast from Texas–Louisiana border eastward to Mississippi/Alabama coast"
26,12
25,20
23,36
29,48
72,60
48,60
26,84
70,72
28,96
72,116
22,0
27,36
24,24
24,60
16,12
24,24
24,12
24,0
24,120
24,140
B,D.
B,D.
B,D.
D,D.
C,D.
C,D.
B,D.
D,D.
B,D.
D,D.
C,B.
C,B.
C,B.
C,B.
C,B.
C,B.
C,B.
C,B.
C,B.
C,B.
B,B.
B,C.
D,D.
D,C.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
No,Yes
No,Yes
Yes,Yes
No,Yes
No,Yes
Yes,Yes
No,Yes
No,Yes
Yes,Yes
No,No
B,A.
B,A.
B,B.
B,C.
B,C.
B,C.
B,D.
B,D.
B,D.
B,D.
12,12
6,20
7,36
18,48
30,60
68,60
36,84
84,72
"There is no mention of Lake Charles Harbor District, LA in the provided text. Therefore, it is impossible to determine when they might experience tropical storm conditions based solely on this advisory.",96
54,116
A,A.
A,A.
C,A.
A,A.
D,A.
A,A.
D,A.
D,A.
D,A.
D,A.
D,C.
D,C.
C,C.
D,C.
D,C.
D,C.
B,D.
C,C.
C,C.
C,C.
D,C.
D,C.
D,C.
Life-threatening surf and rip current conditions are possible.,Isolated tornadoes in Delta’s rainbands; life-threatening surf and rip currents; rapid water-level rise in canals and the ship channel.
Swells from Delta are likely to cause life-threatening surf and rip current conditions.,Tornado risk beginning late Thursday night and continuing through Friday; life-threatening surf and rip currents
Life-threatening surf and rip current conditions are possible.,Isolated tornadoes Friday; dangerous surf and rip currents beginning Thursday night.
Swells are likely to cause life-threatening surf and rip current conditions.,Scattered tornadoes beginning late Thursday night; dangerous surf and rip currents from large swells ahead of landfall.
