response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
B,A.
B,A.
B,A.
B,C.
B,C.
C,C.
B,A.
C,A.
B,A.
B,B.
B,B.
B,B.
B,B.
B,B.
C,A.
B,A.
B,A.
B,A.
Corpus Christi to Grand Isle,"Baffin Bay to Port Aransas, TX"
Brownsville to Grand Isle,"Baffin Bay to Port Aransas, TX (tropical-storm watch section)"
Louisiana to South Carolina,"Baffin Bay to Port Aransas, Texas"
Brownsville to Grand Isle,Port Aransas TX to High Island TX
Corpus Christi to Morgan City,Port Aransas TX to High Island TX
Corpus Christi to Grand Isle,"Hurricane Watch from Port Aransas TX to High Island TX; Storm Surge Watch from Port Mansfield TX to High Island TX including all adjacent bays (Baffin, Corpus Christi, Copano, Aransas, San Antonio, Matagorda and Galveston Bays)"
Brownsville to Tampa,None
Brownsville to Tampico,None
Mexico to Belize,None issued yet – interests along the western Gulf should monitor
Brownsville to Grand Isle,"Port Aransas, TX to Morgan City, LA (including San Antonio, Matagorda & Galveston Bays)"
Louisiana to South Carolina,"Port Aransas, TX to Morgan City, LA for TS winds; Port Aransas, TX to Rockefeller Wildlife Refuge, LA for storm surge"
Louisiana to South Carolina,"Port Aransas, Texas to Morgan City, Louisiana"
Corpus Christi to New Orleans,Port Aransas TX to Morgan City LA
Corpus Christi to Mobile,Port Aransas TX to Intracoastal City LA
Corpus Christi to Grand Isle,None issued as of Advisory 6A
Brownsville to Tampa,None
Brownsville to Veracruz,None
Campeche to Quintana Roo,None issued yet – could be added for portions of the Texas coast in later advisories
"27.8N, 95.5W","28.1N, 96.0W"
"27.6N, 94.1W","27.6N, 94.8W"
"27.1N, 92.8W","27.6N, 93.6W"
"26.7N, 92.2W","26.9N, 92.4W"
"26.5N, 92.4W","26.6N, 92.7W"
"25.5N, 92.3W","25.8N, 92.2W"
"23.8N, 93.9W","23.8N, 93.9W"
"22.0N, 94.2W","22.0N, 94.2W"
"21.9N, 94.3W","21.9N, 94.3W"
E,WNW
WNW,WNW
WNW,WNW
WNW,N
N,W
ENE,NNE
ENE,NNE
NE,NE
WSW,NE
6,7 mph
6,6 mph
3,5 mph
60,2 mph
8,2 mph
12,12 mph
7,7 mph
3,3 mph
5,5 mph
"Texas
Louisiana
Mississippi
Alabama",Central and upper Texas coastline from Corpus Christi/Port Aransas through Sabine Pass and adjacent bays
"Texas
Louisiana
Mississippi
Alabama
Florida",middle Texas coast through southern Louisiana
"Texas
Louisiana
Mississippi
Alabama",Middle and upper Texas coast and southwestern Louisiana coast
"Texas 
Louisiana","Central and upper Texas coast from Baffin Bay to High Island, and southwestern Louisiana"
"Texas
Louisiana",Much of the Texas coast and southwest Louisiana coast
"Texas
Louisiana","Entire Texas coast from Port Mansfield to High Island and adjacent bays, with greatest impact expected along the middle Texas coast near Matagorda and San Antonio Bays"
"Louisiana
Mississippi
Alabama","Western Gulf coast from northern Mexico to Louisiana, including the entire Texas coastline"
Mexico,"Western Gulf coast from northern Mexico to the Texas coastline, especially the mid-Texas coast"
Mexico,"Western Gulf Coast from northeastern Mexico to upper Texas, especially the middle Texas coast"
KEESLER AB,PORT O CONNOR TX
MATAGORDA TX,PORT O CONNOR TX
ROCKPORT TX,PORT O CONNOR TX
MATAGORDA TX,PORT O'CONNOR TX
MATAGORDA TX,PORT O CONNOR TX
MATAGORDA TX,PORT O CONNOR TX
CAMERON LA,PORT O CONNOR
PORT ARTHUR TX,PORT O CONNOR TX
PORT ARTHUR TX,PORT O CONNOR TX
0,99%
0,88%
1,63%
1,59%
3,78%
1,72%
1,57%
1,32%
1,32%
1,16%
2,27%
0,19%
0,19%
2,41%
2,37%
1,18%
1,7%
0,7%
N/A,0
N/A,6
N/A,12
N/A,36
13,36
N/A,36
25,120
N/A,60
N/A,120
N/A,36
N/A,18
N/A,30
N/A,48
N/A,48
3,72
N/A,120
N/A,72
N/A,120
N/A,99%
N/A,65%
N/A,28%
N/A,24%
N/A,78%
N/A,19%
N/A,57%
N/A,16%
N/A,32%
C,C.
C,C.
D,D.
D,A.
C,C.
D,D.
B,B.
D,D.
D,A.
"Port Aransas, Texas to Sabine Pass, Texas",Central and upper Texas coastline from Corpus Christi/Port Aransas through Sabine Pass and adjacent bays
"Port Aransas, Texas to Morgan City Louisiana",middle Texas coast through southern Louisiana
"Port Aransas, Texas to Morgan City Louisiana",Middle and upper Texas coast and southwestern Louisiana coast
Port Aransas Texas to Morgan City Louisiana,"Central and upper Texas coast from Baffin Bay to High Island, and southwestern Louisiana"
Port Aransas Texas to Intracoastal City Louisiana,Much of the Texas coast and southwest Louisiana coast
"Port Mansfield, TX to High Island, TX","Entire Texas coast from Port Mansfield to High Island and adjacent bays, with greatest impact expected along the middle Texas coast near Matagorda and San Antonio Bays"
Tampico Mexico to Mouth of the Rio Grande,"Western Gulf coast from northern Mexico to Louisiana, including the entire Texas coastline"
"Tampico, Mexico to Mouth of the Rio Grande","Western Gulf coast from northern Mexico to the Texas coastline, especially the mid-Texas coast"
Tampico to Mouth of the Rio Grande,"Western Gulf Coast from northeastern Mexico to upper Texas, especially the middle Texas coast"
B,B.
B,B.
B,B.
B,B.
B,B.
B,B.
A,A.
A,A.
A,A.
C,B.
C,C.
D,D.
C,A.
D,C.
B,C.
B,A.
C,B.
D,A.
Louisiana,Central and upper Texas coastline from Corpus Christi/Port Aransas through Sabine Pass and adjacent bays
Louisiana,middle Texas coast through southern Louisiana
Louisiana,Middle and upper Texas coast and southwestern Louisiana coast
Louisiana,"Central and upper Texas coast from Baffin Bay to High Island, and southwestern Louisiana"
Louisiana,Much of the Texas coast and southwest Louisiana coast
Texas,"Entire Texas coast from Port Mansfield to High Island and adjacent bays, with greatest impact expected along the middle Texas coast near Matagorda and San Antonio Bays"
Mexico,"Western Gulf coast from northern Mexico to Louisiana, including the entire Texas coastline"
Mexico,"Western Gulf coast from northern Mexico to the Texas coastline, especially the mid-Texas coast"
Mexico,"Western Gulf Coast from northeastern Mexico to upper Texas, especially the middle Texas coast"
28,8
72,18
27,36
30,48
28,60
72,60-66
72,72
70,120
30,96
24,48
24,36
24,60
21,48
21,48
18,Not expected to move back offshore within the 5-day forecast period
24,96
25,48
24,72
D,D.
D,D.
D,D.
D,D.
B,D.
B,D.
B,D.
D,D.
C,D.
C,D.
C,D.
B,C.
C,C.
C,D.
C,A.
C,C.
C,C.
C,C.
D,A.
D,B.
D,B.
D,C.
D,C.
D,C.
D,D.
D,D.
D,D.
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,No
No,Yes
No,No
No,Yes
D,A.
D,A.
D,A.
B,A.
B,B.
B,A.
A,B.
D,C.
C,C.
18,8
12,18
24,36
24,48
48,60
48,60-66
48,72
66,120
38,96
A,A.
C,A.
C,C.
C,C.
A,A.
A,A.
C,A.
C,B.
D,A.
D,C.
D,C.
D,C.
D,C.
D,C.
D,D.
D,C.
D,C.
B,D.
C,C.
C,C.
C,C.
C,C.
D,C.
D,C.
D,C.
Rip currents.,"Dangerous surf/rip currents, minor river flooding, and an isolated tornado threat in rain bands."
Life-threatening surf and rip current conditions are possible.,Isolated tornadoes possible Monday; dangerous surf and rip currents affecting vessel approaches.
Rip currents and dangerous surf conditions are likely.,Isolated tornadoes Monday; dangerous surf and rip currents; possible minor to moderate river flooding.
Rip currents and hazardous swells are possible.,"Dangerous surf and rip currents, minor river flooding, and possible port-channel restrictions."
Life-threatening surf and rip current conditions are likely.,"Dangerous surf, rip currents, and prolonged coastal flooding due to Beta’s slow motion."
Life-threatening surf and rip current conditions are likely.,Dangerous surf and rip currents along the entrance channel; minor coastal flooding and possible port access restrictions due to rough seas
Life-threatening surf and rip currents.,"Dangerous surf and rip currents, minor coastal flooding during high tides, and possible brief tornadoes in rain bands."
Life-threatening surf and rip currents.,"Dangerous surf and rip currents, possible channel siltation/ shoaling, and reduced visibility in squalls."
"Marine hazards, navigational hazards, and potential infrastructure damage are possible.","Coastal flooding, dangerous seas, and possible port operational restrictions for small craft and cargo handling"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""2"",
    ""in 24h"": ""5"",
    ""in 48h"": ""7"",
    ""in 72h"": ""10"",
    ""in 96h"": ""11""
  }
}
```","{'in 12h': '99%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 48h"": ""1"",
    ""in 72h"": ""2"",
    ""in 96h"": ""2"",
    ""in 12h"": ""X"",
    ""in 24h"": ""X""
  }
}
```","{'in 12h': '65%', 'in 24h': '17%', 'in 48h': '2%', 'in 72h': '1%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""1""
  }
}
```","{'in 12h': '11%', 'in 24h': '39%', 'in 48h': '59%', 'in 72h': '63%', 'in 96h': '63%'}"
