response,ground_truth
,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
,Yes
Yes,Yes
Yes,Yes
C,A.
B,A.
B,A.
B,C.
B,A.
C,A.
B,A.
B,A.
C,C.
C,C.
C,C.
,A.
C,A.
C,A.
,A.
,A.
,"West of Morgan City to Intracoastal City, Louisiana (Tropical Storm Watch)"
Mexico to Bahamas,"Tropical Storm Watch west of Morgan City to Intracoastal City, LA"
,"West of Morgan City to Intracoastal City, Louisiana (Tropical Storm Watch)"
Tampico to Florida,"Morgan City, LA to the Mississippi/Alabama border (including Lake Pontchartrain, Lake Maurepas, metropolitan New Orleans, and Plaquemines Parish); Storm Surge Watch Intracoastal City, LA to Navarre, FL"
,None
Brownsville to Vero Beach,Hurricane Watch/Warning limited to Yucatán Peninsula (Tulum to Río Lagartos) – none yet for U.S. Gulf Coast
Mexico to Cuba,"Tropical-storm watch in effect Tulum to Rio Lagartos, Mexico including Cozumel"
Brownsville to Tampa,"Tropical Storm Watch in effect for Pinar del Rio, Cuba only (no U.S. coast yet)."
,"Morgan City, LA to the MS/AL border including Lake Pontchartrain, Lake Maurepas and Metropolitan New Orleans (Hurricane Warning); Mouth of the Atchafalaya River to Navarre, FL under Storm-Surge Warning"
Brownsville to Morehead City,"Hurricane Warning Morgan City, LA to the Mississippi/Alabama border, including Lake Pontchartrain, Lake Maurepas, and metropolitan New Orleans"
Padre Island National Seashore to Vero Beach,"Hurricane Warning – Morgan City LA to the Mississippi/Alabama border including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans; Storm Surge Warning – Intracoastal City LA to Navarre FL including Lake Borgne, Lake Pontchartrain, Vermilion Bay, Pensacola Bay and Mobile Bay"
Tenerife to Bermuda,None for northern Gulf at this time (warnings confined to Yucatán)
Brownsville to Melbourne,None
Brownsville to Vero Beach,"Hurricane Warning for Tulum-Río Lagartos (Yucatán), Tropical-Storm Warning for Pinar del Río Cuba"
Brownsville to Tampa,"Tropical-storm warning in effect Pinar del Río, Cuba"
Brownsville to Vero Beach,None issued at this advisory.
"28.1N, 91.2W","25.1N, 91.8W"
"21.6N, 89.5W","22.7N, 90.3W"
"20.2N, 87.1W","21.0N, 88.4W"
"18.1N, 85.3W","19.5N, 86.0W"
"18.1N, 83.8W","18.7N, 84.3W"
"17.8N, 83.3W","17.7N, 83.4W"
"18.9N, 83.1W","17.7N, 83.5W"
"18.7N, 83.0W","18.7N, 83.0W"
NW,NNW
NW,NW
NW,NW
WNW,NW
NNW,NW
Stationary,Stationary (forecast to begin moving NW)
Stationary,N
NNW,NNW
15,17 mph
14,14 mph
13,14 mph
,10 mph
2,9 mph
Stationary,0 mph
Stationary,1 mph
2,2 mph
,Southeastern Louisiana through coastal Mississippi and Alabama
"Mexico, Belize, Cuba, Bahamas, Florida, United States","Northern Gulf Coast from Port Fourchon, LA eastward to the Alabama–Florida border"
"Yucatán Peninsula
Cuba
Florida
Alabama
Mississippi
Louisiana",Northern Gulf Coast from southeast Louisiana through the western Florida Panhandle
"Yucatan Peninsula
Cuba
Florida
Alabama
Mississippi",Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
,Central U.S. Gulf Coast from southeast Louisiana eastward to coastal Alabama
"Mexico
Cuba
Florida",Central and north-central Gulf Coast from southeast Louisiana eastward to Alabama–Florida border
"Mexico
Belize
Guatemala
Honduras
Cuba
Jamaica
Bahamas",Northern Gulf Coast from southeast Louisiana eastward to Alabama
"Yucatán Peninsula
Cuba
Bahamas
Florida","Entire northern Gulf Coast from Texas upper coast eastward to the Florida Panhandle, with highest risk along Louisiana–Mississippi shoreline."
BURAS LA,BURAS LA
BURAS LA,BURAS LA
MORGAN CITY LA,BURAS LA
BURAS,BURAS LA
BURAS,BURAS LA
GFMX 280N 910W,BURAS LA
BURAS,BURAS LA
BURAS LA,BURAS LA
0,96%
0,82%
,65%
0,48%
0,48%
,34%
"I am sorry, but the data provided does not include Plaquemines Port District, LA. Therefore, I am unable to answer this question.",34%
0,23%
0,80%
0.1,49%
0.2,28%
0.00,16%
0.1,15%
X,9%
5,11%
0,4%
1,24
,24
1,36
24,72
60,96
2,96
,96
10,120
6,24
28,30
,36
18,72
68,96
6,96
18,96
72,120
96,96%
"I am sorry, but I am unable to provide a numerical answer to the question ""What is the peak 34-kt wind probability at Plaquemines Port District, LA over the next 5 days?"". The provided text contains a large amount of weather data for various locations, but does not contain data for the exact location of ""Plaquemines Port District, LA"".",82%
6,52%
,46%
X,48%
,22%
"There is no mention of ""Plaquemines Port District, LA"" in the provided text.",34%
2,14%
,C.
C,C.
C,C.
B,B.
,A.
A,D.
A,D.
,A.
Southeastern Louisiana to Mississippi,Southeastern Louisiana through coastal Mississippi and Alabama
Morgan City Louisiana to the Mississippi/Alabama border,"Northern Gulf Coast from Port Fourchon, LA eastward to the Alabama–Florida border"
Morgan City Louisiana to the Mississippi/Alabama border,Northern Gulf Coast from southeast Louisiana through the western Florida Panhandle
Yucatan Peninsula to Northern Gulf Coast,Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
,Central U.S. Gulf Coast from southeast Louisiana eastward to coastal Alabama
,Central and north-central Gulf Coast from southeast Louisiana eastward to Alabama–Florida border
