response,ground_truth
Yes,Yes
C,A.
C,B.
Savannah to Wilmington,None
,"Edisto Beach to South Santee River, South Carolina"
"31.9N, 78.3W","31.9N, 78.3W"
,WNW
16,16 mph
"Alabama
Mississippi
Louisiana
Florida",Georgia coast and the South Carolina coast from Savannah River to South Santee River
CHARLESTON SC,CHARLESTON SC
31,31%
0,0%
31,6
N/A,N/A
31,31%
B,B.
Edisto Beach to South Santee River,Georgia coast and the South Carolina coast from Savannah River to South Santee River
A,A.
D,D.
,Georgia coast and the South Carolina coast from Savannah River to South Santee River
24,8
24,12
B,B.
B,B.
,B.
No,Yes
A,A.
12,8
A,A.
D,B.
,B.
Tidal fluctuations and potential for navigational hazards due to debris.,Rough seas and dangerous marine conditions for harbor and approach channels
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""13"",
    ""in 24h"": ""31"",
    ""in 48h"": ""4"",
    ""in 72h"": ""3"",
    ""in 96h"": ""3""
  }
}
```","{'in 12h': '31%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
,None
,None
01-07-2021,None
5,0
0,None
None,None
,A.
