response,ground_truth
Yes,Yes
,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
,A.
C,A.
,C.
B,C.
B,C.
,A.
B,A.
C,B.
C,B.
,B.
C,B.
B,A.
B,A.
B,A.
Corpus Christi to Morehead City,None
Corpus Christi to Tampa,None
Texas to Louisiana,Mouth of the Pearl River to the Mississippi/Alabama border
Brownsville to Vero Beach,Mouth of the Pearl River to the Mississippi/Alabama border
Brownsville to Tampa,"Hurricane Watch: Cameron, LA to the MS/AL border; Storm Surge Watch: Sabine Pass, TX to the AL/FL border (includes entire Mississippi coast)"
Jamaica to Turks and Caicos,No watches yet – guidance indicates they may be issued for the northern Gulf Coast later tonight or Friday
Puerto Rico to Turks and Caicos,None issued for U.S. coast as of Advisory #1
,"Mouth of the Pearl River, MS to the Alabama/Florida border (Tropical-Storm-Warning coast segment)"
,Mouth of the Pearl River eastward to the Alabama/Florida border (includes entire Mississippi coast)
,Mouth of the Pearl River to the Mississippi/Alabama border
,Mouth of the Pearl River to the Mississippi/Alabama border
Brownsville to Morehead City,No coastal warnings yet for Mississippi–Alabama section
,None issued for U.S. coast as of Advisory #2
,None issued for U.S. coast as of Advisory #1
"27.2N, 88.0W","28.0N, 89.1W"
,"26.2N, 87.0W"
"28.0N, 82.4W","24.0N, 85.2W"
"18.1N, 74.2W","22.1N, 83.2W"
"18.6N, 80.5W","20.0N, 81.4W"
,"18.0N, 79.8W"
,"16.9N, 79.2W"
,NW
NW,NW
NW,NW (315°)
NW,NW
,NW
NW,NW
NW,NW
16,15 mph
16,16 mph
,16 mph
15,15 mph
12,15 mph
13,14 mph
,13 mph
,Northern Gulf Coast from southeast Louisiana eastward across Mississippi and coastal Alabama
"Louisiana
Mississippi
Alabama","Louisiana and Mississippi Gulf coasts, extending eastward to the AL/FL border"
,"Northern Gulf Coast from Morgan City, LA eastward to the Alabama/Florida border, including the entire Mississippi Coast"
"Louisiana
Mississippi
Alabama
Florida",Northern Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
,Northern Gulf Coast from southeast Louisiana eastward through coastal Mississippi and Alabama
,"Northern Gulf Coast from southeast Texas eastward to the western Florida Panhandle, including Louisiana and Mississippi coasts"
